team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Stanford,2022,1,no meet title,Jan-16-2022,California,Ira Alexeeva,,9.2000,,7.6500
Stanford,2022,1,no meet title,Jan-16-2022,California,Madison Brunette,9.7500,9.7750,,9.7750
Stanford,2022,1,no meet title,Jan-16-2022,California,Kyla  Bryant,9.8750,9.9500,9.9250,9.9250
Stanford,2022,1,no meet title,Jan-16-2022,California,Jade Chrobok,9.6750,,,
Stanford,2022,1,no meet title,Jan-16-2022,California,Anapaula Gutierrez,9.0500,9.8000,,9.8250
Stanford,2022,1,no meet title,Jan-16-2022,California,Lauren Navarro,9.7500,,9.7500,
Stanford,2022,1,no meet title,Jan-16-2022,California,Brenna Neault,9.7500,9.8250,9.8750,9.7750
Stanford,2022,1,no meet title,Jan-16-2022,California,Isabela Onyshko,,,9.8750,
Stanford,2022,1,no meet title,Jan-16-2022,California,Wesley Stephenson,,,9.8500,
Stanford,2022,1,no meet title,Jan-16-2022,California,Grace Waguespack,,9.7750,9.6000,
Stanford,2022,1,no meet title,Jan-16-2022,California,Amanda Zeng,,,,9.7750
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Ira Alexeeva,,9.1000,,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Madison Brunette,9.7500,9.8000,,9.7000
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Kyla  Bryant,9.8250,9.8500,9.8250,9.9000
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Jade Chrobok,9.7250,,,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Anapaula Gutierrez,9.7500,9.7500,,9.8500
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Morgan Hoang,,,,9.6000
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Lauren Navarro,9.6500,,9.8000,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Brenna Neault,9.7500,9.8000,9.8750,9.8000
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Isabela Onyshko,,,9.8500,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Wesley Stephenson,,,9.6250,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Grace Waguespack,,9.8000,9.7250,
Stanford,2022,2,no meet title,Jan-22-2022,Arizona,Amanda Zeng,,,,8.9500
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Ira Alexeeva,,9.7000,,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Madison Brunette,9.7750,9.8000,,9.8000
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Kyla  Bryant,9.8000,9.8250,9.7250,9.9000
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Jade Chrobok,9.7250,,,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Anapaula Gutierrez,9.8250,9.7500,,9.8500
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Morgan Hoang,,,,9.7750
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Taylor Lawson,,9.7750,9.7750,9.8250
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Isabela Onyshko,,,9.8000,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Wesley Stephenson,,,9.8500,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Sze En Tan,,,9.7000,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Grace Waguespack,,9.8750,9.7750,
Stanford,2022,3,no meet title,Jan-29-2022,Utah,Amanda Zeng,9.7500,,,9.8000
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Ira Alexeeva,,9.7500,,
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Madison Brunette,9.7250,9.8250,,9.8750
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Kyla  Bryant,9.9250,9.8250,9.7250,9.9500
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Jade Chrobok,9.7250,,,
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Anapaula Gutierrez,9.2250,,,9.8250
Stanford,2022,4,no meet title,Feb-04-2022,Stanford,Taylor Lawson,,9.8000,9.8000,9.8500
