team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Jaidyn Bryant,9.3750,,,9.5000
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Mackenzie Butler,,,9.5000,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Alexa Chuy,9.2000,8.8500,9.2000,9.6750
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Diamond Cook,,,,9.4000
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Jamilia Duffus,9.5750,9.2000,,8.9250
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Sidnei Heubach,,,9.4000,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Promise Jean-Marie,,8.8500,,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Krystin Johnson,9.6500,9.0500,,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Alondra Maldonado,,,9.7750,9.8250
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Kiora Peart-Williams,9.5250,9.4250,,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Morgan Swaby,,,8.8500,
Talladega,2024,1,no meet title,Jan-12-2024,Florida,Landyn Williams,9.0000,,9.2750,9.5000
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Jaidyn Bryant,9.5500,,,9.7500
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Mackenzie Butler,,,9.4000,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Alexa Chuy,9.4000,9.0250,9.4000,9.6000
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Diamond Cook,,,,9.6500
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Jamilia Duffus,9.2000,9.6250,,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Sidnei Heubach,,,8.9500,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Promise Jean-Marie,,8.7000,,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Krystin Johnson,9.8250,9.2250,9.2250,9.7500
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Alondra Maldonado,,,9.6000,9.7750
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Kiora Peart-Williams,9.4250,9.6250,,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Morgan Swaby,,7.9500,9.7250,
Talladega,2024,2,no meet title,Jan-26-2024,S.E. Missouri,Landyn Williams,9.6750,,,9.8250
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Jaidyn Bryant,9.5500,,,8.9250
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Mackenzie Butler,9.3000,,8.2750,
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Alexa Chuy,9.7500,8.8500,9.6750,9.5750
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Jamilia Duffus,,8.8000,,
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Sidnei Heubach,,,9.2000,
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Promise Jean-Marie,,8.7000,,
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Krystin Johnson,9.7500,9.6250,9.1250,9.6000
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Alondra Maldonado,,,9.7750,9.6000
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Kiora Peart-Williams,9.5750,9.7250,,9.2000
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Morgan Swaby,,8.2250,9.7750,
Talladega,2024,3,no meet title,Feb-02-2024,Auburn,Landyn Williams,9.4250,,,9.6000
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Jaidyn Bryant,9.3500,,,9.4750
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Mackenzie Butler,9.3000,,,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Alexa Chuy,9.3000,9.6750,9.7500,9.5500
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Diamond Cook,,,,8.6000
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Jamilia Duffus,9.5500,9.6750,,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Sidnei Heubach,,,9.5500,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Promise Jean-Marie,,9.3250,,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Krystin Johnson,9.6500,9.8250,9.7250,9.7500
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Alondra Maldonado,,,9.8000,9.8250
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Kiora Peart-Williams,9.4750,9.7500,9.6250,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Morgan Swaby,,8.2000,9.2750,
Talladega,2024,4,no meet title,Feb-09-2024,Centenary College,Landyn Williams,,,,9.5750
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Jaidyn Bryant,9.6500,,9.4250,9.4500
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Mackenzie Butler,,,9.6000,
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Alexa Chuy,9.7250,9.6000,8.9250,9.6000
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Diamond Cook,,,,9.3750
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Jamilia Duffus,9.4750,9.4000,,
Talladega,2024,5,no meet title,Feb-11-2024,Centenary College,Sidnei Heubach,,,9.6750,
