team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Mackenzie Aresta,9.7250,,9.3000,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Amelia Budd,9.7500,,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Reese DeHaan,,9.7000,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Brooke Donabedian,,,9.5500,9.7750
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Madison Dorunda,9.7500,8.9000,8.7750,9.4250
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Madisson Elmore,,9.6750,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Angelina Hogan,,9.6250,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Payton Monk,,,,9.8250
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Summer Ruskey,,,,9.7000
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Renee Schugman,9.7000,,9.7000,9.7500
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Hannah Stallings,9.6750,,,9.6750
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Sarah Stallings,,9.8750,8.9500,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Hannah Weklar,9.6250,,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Cyrena Whalen,,9.7000,,
Temple,2024,1,no meet title,Jan-05-2024,Pennsylvania,Megan White,,,8.8500,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Mackenzie Aresta,9.5000,,8.9500,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Reese DeHaan,,9.4500,,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Brooke Donabedian,,,9.7500,9.8250
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Madison Dorunda,9.7750,,9.7750,9.7500
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Madisson Elmore,,9.3500,,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Angelina Hogan,,9.4250,,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Payton Monk,,,,9.7750
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Summer Ruskey,9.6000,,,9.6500
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Renee Schugman,9.6750,,9.8000,9.0250
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Hannah Stallings,8.7000,,,9.6500
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Sarah Stallings,,9.8000,9.7500,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Hannah Weklar,9.5750,8.8750,,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Cyrena Whalen,,9.0500,,
Temple,2024,2,no meet title,Jan-07-2024,West Virginia,Megan White,,,8.9750,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Hailey Best,9.6500,,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Amelia Budd,9.5750,,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Reese DeHaan,,9.7000,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Brooke Donabedian,,9.1000,9.7500,9.9000
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Madison Dorunda,,,9.8500,9.7250
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Angelina Hogan,,9.6250,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Emily Johnson,,9.7500,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Payton Monk,,,,9.8500
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Summer Ruskey,9.6500,,9.7000,9.8000
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Renee Schugman,9.7000,,9.8250,9.8500
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Hannah Stallings,9.6750,,,9.7750
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Sarah Stallings,,9.8000,9.0500,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Hannah Weklar,9.6250,,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Cyrena Whalen,,9.5750,,
Temple,2024,3,no meet title,Jan-14-2024,George Washington,Megan White,,,8.8000,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Mackenzie Aresta,9.8250,,9.6250,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Reese DeHaan,,9.6000,,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Brooke Donabedian,,9.7000,9.8750,9.8750
Temple,2024,4,no meet title,Jan-21-2024,Temple,Madison Dorunda,,,9.8250,9.8000
Temple,2024,4,no meet title,Jan-21-2024,Temple,Angelina Hogan,,9.7250,,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Emily Johnson,,9.8250,,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Payton Monk,9.7750,,,9.8500
Temple,2024,4,no meet title,Jan-21-2024,Temple,Summer Ruskey,9.8750,,9.8250,9.8000
Temple,2024,4,no meet title,Jan-21-2024,Temple,Renee Schugman,9.8000,,9.8250,9.8000
Temple,2024,4,no meet title,Jan-21-2024,Temple,Hannah Stallings,9.8000,,,9.8500
Temple,2024,4,no meet title,Jan-21-2024,Temple,Sarah Stallings,,8.9500,9.0250,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Hannah Weklar,9.7500,,,
Temple,2024,4,no meet title,Jan-21-2024,Temple,Cyrena Whalen,,9.8250,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Mackenzie Aresta,9.7000,,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Amelia Budd,9.8000,,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Reese DeHaan,,9.7500,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Brooke Donabedian,,,9.5250,9.7250
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Madison Dorunda,,,9.0250,9.7000
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Madisson Elmore,,9.5250,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Angelina Hogan,,9.4500,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Emily Johnson,,9.7750,,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Payton Monk,9.6500,,,9.7750
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Summer Ruskey,9.7500,,9.3750,9.2500
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Renee Schugman,9.7500,,9.7000,9.8250
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Hannah Stallings,9.6250,,,9.7500
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Sarah Stallings,,9.7750,9.6000,
Temple,2024,5,no meet title,Feb-02-2024,Auburn,Cyrena Whalen,,9.7250,9.2500,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Mackenzie Aresta,9.8000,,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Amelia Budd,9.7750,,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Reese DeHaan,,9.6750,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Brooke Donabedian,,,9.8250,9.9000
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Madison Dorunda,,,9.8000,9.7500
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Madisson Elmore,,8.7750,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Angelina Hogan,,7.4500,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Emily Johnson,,9.7750,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Payton Monk,9.5750,,9.7000,9.8000
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Summer Ruskey,9.7000,,9.5500,9.6250
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Renee Schugman,,,9.8000,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Skylar Shafran,,,,9.6000
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Hannah Stallings,8.4250,,,9.7500
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Sarah Stallings,,9.8500,9.6250,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Hannah Weklar,9.8000,,,
Temple,2024,6,no meet title,Feb-09-2024,Pennsylvania,Cyrena Whalen,,9.7750,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Mackenzie Aresta,9.7750,,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Amelia Budd,9.6500,,,9.6000
Temple,2024,7,no meet title,Feb-16-2024,Temple,Reese DeHaan,,9.7500,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Brooke Donabedian,,,9.8750,9.9000
Temple,2024,7,no meet title,Feb-16-2024,Temple,Madison Dorunda,,9.5750,9.7750,9.7250
Temple,2024,7,no meet title,Feb-16-2024,Temple,Angelina Hogan,,9.7500,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Emily Johnson,,9.7000,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Payton Monk,9.6000,,9.6250,9.8750
Temple,2024,7,no meet title,Feb-16-2024,Temple,Summer Ruskey,9.6750,,9.5500,9.8250
Temple,2024,7,no meet title,Feb-16-2024,Temple,Renee Schugman,9.6250,,9.6250,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Hannah Stallings,,,,9.7250
Temple,2024,7,no meet title,Feb-16-2024,Temple,Sarah Stallings,,9.8500,9.7000,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Hannah Weklar,9.7000,,,
Temple,2024,7,no meet title,Feb-16-2024,Temple,Cyrena Whalen,,9.7500,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Mackenzie Aresta,9.7750,,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Hailey Best,9.7250,,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Amelia Budd,9.8000,,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Reese DeHaan,,9.7500,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Brooke Donabedian,,,9.8000,9.9000
Temple,2024,8,no meet title,Feb-23-2024,Towson,Madison Dorunda,,,9.8500,9.7250
Temple,2024,8,no meet title,Feb-23-2024,Towson,Angelina Hogan,,9.6500,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Emily Johnson,,9.1000,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Payton Monk,,,9.7500,9.9000
Temple,2024,8,no meet title,Feb-23-2024,Towson,Summer Ruskey,9.8250,,9.1000,9.8500
Temple,2024,8,no meet title,Feb-23-2024,Towson,Renee Schugman,9.8750,,9.7750,9.8000
Temple,2024,8,no meet title,Feb-23-2024,Towson,Hannah Stallings,,,,9.8000
Temple,2024,8,no meet title,Feb-23-2024,Towson,Sarah Stallings,,9.8750,9.0000,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Hannah Weklar,9.7750,9.8000,,
Temple,2024,8,no meet title,Feb-23-2024,Towson,Cyrena Whalen,,9.8750,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Mackenzie Aresta,9.8500,,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Amelia Budd,9.7000,,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Reese DeHaan,,9.5750,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Brooke Donabedian,,,9.8250,9.8500
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Madison Dorunda,,,9.8000,9.7500
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Angelina Hogan,,9.6250,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Emily Johnson,,9.7250,,
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Payton Monk,9.6750,,9.5750,9.7500
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Summer Ruskey,9.7250,,9.6250,9.8250
Temple,2024,9,no meet title,Mar-02-2024,North Carolina State,Renee Schugman,9.7750,,9.8000,9.8500
