team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Delaney Bruns,,8.4500,,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Brooke Ferrari,,9.8750,,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Ruby Goad,,,9.7750,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Madeline Gose,9.6500,,9.6750,9.7500
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Maddie Griffith,9.6750,9.8250,,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Mara Johnson,9.7250,8.8250,,9.8250
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Beth Lazarus,9.5250,,,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Sierra Muns,,,,8.9500
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Alixandra Pierce,,,9.0750,8.8500
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Kyla Podges,,9.6250,9.6750,9.6250
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Emily Six,9.4250,,9.7250,
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Daisy Woodring,9.7500,,9.1250,9.6500
Texas Woman's,2023,1,no meet title,Jan-08-2023,Denver,Kami Zarlengo,,9.7250,,
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Brooke Ferrari,,9.7500,,
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Ruby Goad,,,9.8000,9.7250
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Madeline Gose,9.6750,,9.7250,9.7750
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Maddie Griffith,9.5250,9.4500,,
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Mara Johnson,9.7250,9.5250,,9.8250
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Beth Lazarus,9.7000,9.6500,,
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Alixandra Pierce,,,9.6750,9.7750
Texas Woman's,2023,2,no meet title,Jan-14-2023,Arizona,Kyla Podges,,9.4250,9.7500,9.6250
