team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Polina Belanovski,9.8250,,,9.7750
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Lauren Bolen,9.7750,,9.6750,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Carmella Calafati,,,,9.8500
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Paige Casper,,,,9.8000
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Mia Davis,9.7500,,,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Sarah Girot,,,9.7750,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Lauren Greene,,9.6750,,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Clara Hong,,9.8000,9.7250,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Lauren Keener,,9.8250,9.7500,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Steph Macasu,,9.7000,,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Isabella Minervini,,9.9000,,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Amy Stewart,,,,9.7000
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Elise Tisler,9.8000,,,9.8000
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Grace Vaillancourt,,9.9250,9.8250,9.7500
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Camille Vitoff,9.8250,,,
Towson,2023,1,no meet title,Jan-14-2023,Rutgers,Jenna Weitz,9.7000,,9.6500,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Polina Belanovski,9.7500,,,9.3000
Towson,2023,2,no meet title,Jan-20-2023,Towson,Lauren Bolen,9.7000,,9.7250,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Carmella Calafati,,,,9.8750
Towson,2023,2,no meet title,Jan-20-2023,Towson,Paige Casper,,,,9.7500
Towson,2023,2,no meet title,Jan-20-2023,Towson,Mia Davis,9.7250,,,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Sarah Girot,,,9.7250,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Lauren Greene,,9.8000,,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Clara Hong,,9.6750,9.1500,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Lauren Keener,,9.8250,9.7250,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Steph Macasu,,9.8000,,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Isabella Minervini,,9.8750,,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Amy Stewart,,,,9.8000
Towson,2023,2,no meet title,Jan-20-2023,Towson,Elise Tisler,9.7000,,,9.4750
Towson,2023,2,no meet title,Jan-20-2023,Towson,Grace Vaillancourt,,9.8250,9.7750,9.8250
Towson,2023,2,no meet title,Jan-20-2023,Towson,Camille Vitoff,9.7500,,,
Towson,2023,2,no meet title,Jan-20-2023,Towson,Jenna Weitz,9.7000,,9.6500,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Polina Belanovski,9.7750,,,9.7750
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Lauren Bolen,9.7250,,9.7500,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Carmella Calafati,,,,9.8750
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Paige Casper,,,,9.8250
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Mia Davis,9.7750,,,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Sarah Girot,,,9.8000,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Lauren Greene,,9.8500,,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Adriana Hoffman,9.7000,,,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Clara Hong,,9.8750,9.8000,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Lauren Keener,,9.7500,9.8250,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Steph Macasu,,9.8500,,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Isabella Minervini,,9.9000,,9.8750
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Elise Tisler,,,,8.8000
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Grace Vaillancourt,,9.8750,9.7500,9.6250
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Camille Vitoff,9.7750,,,
Towson,2023,3,no meet title,Jan-29-2023,West Virginia,Jenna Weitz,9.7250,,9.7250,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Polina Belanovski,9.8250,,,9.8250
Towson,2023,4,no meet title,Feb-01-2023,Towson,Lauren Bolen,9.7500,,9.7000,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Carmella Calafati,,,,9.8750
Towson,2023,4,no meet title,Feb-01-2023,Towson,Paige Casper,,,,9.8500
Towson,2023,4,no meet title,Feb-01-2023,Towson,Mia Davis,9.6750,,,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Sarah Girot,,,9.7750,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Lauren Greene,,9.8250,,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Adriana Hoffman,9.8000,,,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Clara Hong,,9.9250,9.7750,9.8000
Towson,2023,4,no meet title,Feb-01-2023,Towson,Lauren Keener,,9.8500,9.7000,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Steph Macasu,,9.8500,,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Isabella Minervini,,9.8250,,9.9000
Towson,2023,4,no meet title,Feb-01-2023,Towson,Amy Stewart,,,,9.9250
Towson,2023,4,no meet title,Feb-01-2023,Towson,Grace Vaillancourt,,9.8250,9.6250,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Camille Vitoff,9.7750,,,
Towson,2023,4,no meet title,Feb-01-2023,Towson,Jenna Weitz,9.7000,,9.6750,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Polina Belanovski,9.9000,,,9.8250
Towson,2023,5,no meet title,Feb-10-2023,Towson,Lauren Bolen,9.8500,,9.7500,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Paige Casper,,,,9.7250
Towson,2023,5,no meet title,Feb-10-2023,Towson,Mia Davis,9.7500,,,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Sarah Girot,,,9.7000,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Lauren Greene,,9.2000,,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Adriana Hoffman,9.6500,,,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Clara Hong,,9.8000,9.8000,9.8250
Towson,2023,5,no meet title,Feb-10-2023,Towson,Lauren Keener,,9.8750,9.7500,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Steph Macasu,,9.8750,,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Isabella Minervini,,9.9500,,9.8500
Towson,2023,5,no meet title,Feb-10-2023,Towson,Amy Stewart,,,,9.6750
Towson,2023,5,no meet title,Feb-10-2023,Towson,Cassidy Stuart,,,9.7500,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Grace Vaillancourt,,9.9000,9.6000,9.8500
Towson,2023,5,no meet title,Feb-10-2023,Towson,Camille Vitoff,9.8500,,,
Towson,2023,5,no meet title,Feb-10-2023,Towson,Jenna Weitz,9.8000,,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Polina Belanovski,9.9000,,,9.8500
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Lauren Bolen,9.8250,,9.7500,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Paige Casper,,,,9.9250
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Mia Davis,9.8000,,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Sarah Girot,,,9.8000,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Lauren Greene,,9.8500,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Adriana Hoffman,9.8000,,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Clara Hong,,9.8250,9.7000,9.8250
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Lauren Keener,,9.8250,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Steph Macasu,,9.8000,9.5000,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Isabella Minervini,,9.9250,,9.7750
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Amy Stewart,,,,9.9000
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Cassidy Stuart,,,9.8000,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Grace Vaillancourt,,9.9500,,9.8500
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Camille Vitoff,9.6250,,,
Towson,2023,6,no meet title,Feb-12-2023,Pennsylvania,Jenna Weitz,9.6250,,9.7250,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Polina Belanovski,9.8500,,,9.8250
Towson,2023,7,no meet title,Feb-18-2023,LIU,Lauren Bolen,9.8000,,9.8000,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Paige Casper,,,,9.8750
Towson,2023,7,no meet title,Feb-18-2023,LIU,Sarah Girot,,,9.0000,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Lauren Greene,,9.8250,,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Adriana Hoffman,9.6750,,,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Clara Hong,9.6000,9.6750,,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Lauren Keener,,9.8250,9.8000,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Steph Macasu,,8.4500,,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Isabella Minervini,,9.8250,,9.8250
Towson,2023,7,no meet title,Feb-18-2023,LIU,Amy Stewart,,,,9.8750
Towson,2023,7,no meet title,Feb-18-2023,LIU,Cassidy Stuart,,,9.7000,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Grace Vaillancourt,,9.8750,9.6750,9.8750
Towson,2023,7,no meet title,Feb-18-2023,LIU,Camille Vitoff,9.7250,,,
Towson,2023,7,no meet title,Feb-18-2023,LIU,Jenna Weitz,9.7750,,9.8250,9.7250
Towson,2023,8,no meet title,Feb-20-2023,LIU,Polina Belanovski,9.8750,,,9.7750
Towson,2023,8,no meet title,Feb-20-2023,LIU,Lauren Bolen,9.7750,,9.8250,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Carmella Calafati,,,,9.8000
Towson,2023,8,no meet title,Feb-20-2023,LIU,Paige Casper,,,,9.8000
Towson,2023,8,no meet title,Feb-20-2023,LIU,Sarah Girot,,,9.8000,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Lauren Greene,,9.8000,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Adriana Hoffman,9.7000,,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Lauren Keener,,9.8500,9.8000,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Steph Macasu,,9.7500,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Isabella Minervini,,9.7750,,9.8750
Towson,2023,8,no meet title,Feb-20-2023,LIU,Amanda Pedicelli,,9.4500,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Felicia Poblete,9.7000,,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Amy Stewart,,,,9.8750
Towson,2023,8,no meet title,Feb-20-2023,LIU,Cassidy Stuart,,,9.8250,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Grace Vaillancourt,,9.9000,9.3250,9.8750
Towson,2023,8,no meet title,Feb-20-2023,LIU,Camille Vitoff,9.8250,,,
Towson,2023,8,no meet title,Feb-20-2023,LIU,Jenna Weitz,9.7500,,9.8750,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Polina Belanovski,9.9250,,,9.8250
Towson,2023,9,no meet title,Feb-26-2023,Towson,Lauren Bolen,9.9000,,9.7750,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Carmella Calafati,,,,9.8250
Towson,2023,9,no meet title,Feb-26-2023,Towson,Paige Casper,,,,9.9250
Towson,2023,9,no meet title,Feb-26-2023,Towson,Mia Davis,9.8750,,,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Sarah Girot,,,9.2250,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Lauren Greene,,9.7750,,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Adriana Hoffman,9.8250,,,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Lauren Keener,,9.8250,9.8750,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Steph Macasu,,8.9500,,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Isabella Minervini,,9.8500,,9.9000
Towson,2023,9,no meet title,Feb-26-2023,Towson,Amy Stewart,,,,9.8250
Towson,2023,9,no meet title,Feb-26-2023,Towson,Cassidy Stuart,,,9.8250,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Grace Vaillancourt,,9.9000,9.6250,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Camille Vitoff,9.8750,9.8250,,
Towson,2023,9,no meet title,Feb-26-2023,Towson,Jenna Weitz,9.7250,,9.8000,9.8250
Towson,2023,10,no meet title,Mar-02-2023,Temple,Polina Belanovski,9.8250,,,9.7500
Towson,2023,10,no meet title,Mar-02-2023,Temple,Lauren Bolen,9.8750,,9.7500,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Carmella Calafati,,,,9.8250
Towson,2023,10,no meet title,Mar-02-2023,Temple,Paige Casper,,,,9.5750
Towson,2023,10,no meet title,Mar-02-2023,Temple,Mia Davis,9.8000,,,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Lauren Greene,,9.7500,,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Adriana Hoffman,9.8000,,,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Lauren Keener,,9.8000,9.8000,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Steph Macasu,,9.9000,9.7500,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Isabella Minervini,,9.8250,,9.8000
Towson,2023,10,no meet title,Mar-02-2023,Temple,Amy Stewart,,,,9.8000
Towson,2023,10,no meet title,Mar-02-2023,Temple,Cassidy Stuart,,,9.7000,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Grace Vaillancourt,,9.8750,9.7500,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Camille Vitoff,9.9250,9.8250,,
Towson,2023,10,no meet title,Mar-02-2023,Temple,Jenna Weitz,9.9000,,9.6250,9.4750
