team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Alexis Brown,,9.7750,9.8250,
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Jordan Helgesen,,9.6250,,
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Miranda Holder,9.6250,9.3000,,9.6500
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Kara Jones,9.7500,,9.5000,9.7000
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Danielle Judal,,8.9000,,9.6750
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Rachel Kreager,,9.0000,9.6500,
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Yonni Michovska,9.6250,9.7500,,
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Katy Nogaki,9.7750,,9.1000,
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Amanda Presswood,,,,9.7750
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Stephanie Stamates,9.5750,,9.7500,9.2000
UC Davis,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Yasmine Yektaparast,9.7000,,9.5500,9.7000
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Alexis Brown,9.7000,9.7000,9.8000,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Jordan Helgesen,,9.5000,,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Miranda Holder,9.6000,9.4500,,9.7750
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Kara Jones,9.6750,,9.8000,9.6000
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Danielle Judal,,9.8000,,9.6750
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Rachel Kreager,,,9.7750,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Yonni Michovska,9.6500,9.7750,,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Katy Nogaki,9.7500,,9.8000,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Amanda Presswood,,,,9.7500
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Stephanie Stamates,9.5500,,9.8500,9.1500
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Jaime Yamashita,,9.5500,9.1500,
UC Davis,2016,2,no meet title,Jan-15-2016,UC Davis,Yasmine Yektaparast,,,,9.8000
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Alexis Brown,9.7250,9.7000,9.7750,
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Miranda Holder,9.7000,9.4750,,9.7750
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Kara Jones,9.6250,,8.9750,9.7500
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Danielle Judal,,9.7750,9.8000,9.7500
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Rachel Kreager,,9.6750,9.6750,
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Yonni Michovska,9.7250,9.6250,,
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Katy Nogaki,9.8000,,9.8500,
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Amanda Presswood,,,,9.8250
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Stephanie Stamates,,,9.8500,9.8250
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Jaime Yamashita,,8.8750,,
UC Davis,2016,3,no meet title,Jan-22-2016,BYU,Yasmine Yektaparast,9.6750,,,9.1500
UC Davis,2016,4,no meet title,Jan-29-2016,Sacramento State,Alexis Brown,,7.0500,9.0750,
UC Davis,2016,4,no meet title,Jan-29-2016,Sacramento State,Jordan Helgesen,,8.9000,,
