team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UIC,2015,1,no meet title,Jan-09-2015,UIC,Chelsea Bailey,9.5250,,,9.3250
UIC,2015,1,no meet title,Jan-09-2015,UIC,Riley Cholod,,9.6750,8.2500,
UIC,2015,1,no meet title,Jan-09-2015,UIC,Citlali Cuevas,9.4500,9.7000,9.6750,8.8250
UIC,2015,1,no meet title,Jan-09-2015,UIC,Emily DeCesare,,,9.6750,
UIC,2015,1,no meet title,Jan-09-2015,UIC,Giulia Hindermann,9.4000,,8.5000,
UIC,2015,1,no meet title,Jan-09-2015,UIC,Gabrielle May,9.6250,9.7500,9.0000,9.6750
UIC,2015,1,no meet title,Jan-09-2015,UIC,Amelia Rafferty,,,,7.4750
UIC,2015,1,no meet title,Jan-09-2015,UIC,Kimberly Randall,9.7250,9.7500,,9.3750
UIC,2015,1,no meet title,Jan-09-2015,UIC,Nicole Szabo,,9.7750,,
UIC,2015,1,no meet title,Jan-09-2015,UIC,Nikki Woodruff,9.2000,9.7000,9.4750,9.6500
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Chelsea Bailey,9.4500,,,8.6250
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Riley Cholod,,8.9500,,
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Citlali Cuevas,9.3750,9.6500,9.4250,
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Emily DeCesare,,,9.0250,8.3000
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Giulia Hindermann,9.5000,,8.4500,
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Gabrielle May,9.7250,9.1500,8.7750,9.6250
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Kimberly Randall,9.8500,9.7750,,9.5500
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Katie Snyder,,,9.5750,
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Nicole Szabo,,9.6250,,8.9750
UIC,2015,2,no meet title,Jan-16-2015,Arizona,Nikki Woodruff,9.1500,9.4000,9.3500,8.8750
UIC,2015,3,no meet title,Jan-25-2015,UIC,Chelsea Bailey,9.6500,,,8.6500
UIC,2015,3,no meet title,Jan-25-2015,UIC,Riley Cholod,,9.4250,9.6500,
UIC,2015,3,no meet title,Jan-25-2015,UIC,Ryann Conners,9.4500,,,
UIC,2015,3,no meet title,Jan-25-2015,UIC,Citlali Cuevas,9.5500,9.7250,9.6250,8.9750
UIC,2015,3,no meet title,Jan-25-2015,UIC,Emily DeCesare,,,9.4750,9.4500
UIC,2015,3,no meet title,Jan-25-2015,UIC,Gabrielle May,9.8000,9.6750,9.7000,9.7500
UIC,2015,3,no meet title,Jan-25-2015,UIC,Kimberly Randall,9.8750,9.7250,,9.5750
UIC,2015,3,no meet title,Jan-25-2015,UIC,Nicole Szabo,,9.2500,9.1000,
UIC,2015,3,no meet title,Jan-25-2015,UIC,Nikki Woodruff,9.5500,9.5250,8.5500,9.5750
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Chelsea Bailey,9.5750,,8.6500,9.2250
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Riley Cholod,,9.7250,9.4750,
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Ryann Conners,9.4500,,,
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Citlali Cuevas,9.4750,9.6500,9.1000,
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Emily DeCesare,,,9.5000,9.6750
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Gabrielle May,9.7500,9.8000,8.2250,9.7500
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Kimberly Randall,9.6750,9.7250,,8.9000
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Nicole Szabo,,9.8000,,9.6000
UIC,2015,4,no meet title,Jan-31-2015,Illinois State,Nikki Woodruff,9.7000,9.6000,8.7000,9.3750
UIC,2015,5,no meet title,Feb-08-2015,UIC,Chelsea Bailey,9.6750,,,9.6250
UIC,2015,5,no meet title,Feb-08-2015,UIC,Riley Cholod,,9.6250,8.8750,
UIC,2015,5,no meet title,Feb-08-2015,UIC,Ryann Conners,9.5500,,,
UIC,2015,5,no meet title,Feb-08-2015,UIC,Citlali Cuevas,9.6250,9.7250,9.6750,
UIC,2015,5,no meet title,Feb-08-2015,UIC,Emily DeCesare,,,9.7500,9.6250
UIC,2015,5,no meet title,Feb-08-2015,UIC,Gabrielle May,9.8250,9.7750,9.6000,9.7000
UIC,2015,5,no meet title,Feb-08-2015,UIC,Kimberly Randall,9.7000,9.7250,,9.5500
UIC,2015,5,no meet title,Feb-08-2015,UIC,Nicole Szabo,,9.2500,,9.4500
UIC,2015,5,no meet title,Feb-08-2015,UIC,Alexandra Vedenin,,,9.3000,
UIC,2015,5,no meet title,Feb-08-2015,UIC,Nikki Woodruff,9.7250,9.6500,9.7000,9.3250
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Chelsea Bailey,9.6750,,,9.6500
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Riley Cholod,,9.7500,9.6750,
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Ryann Conners,9.4000,,,
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Citlali Cuevas,9.6000,9.7000,9.6750,
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Emily DeCesare,,,9.1500,9.6250
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Gabrielle May,9.8250,9.7250,9.7500,9.8750
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Kimberly Randall,9.8500,9.6500,,
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Nicole Szabo,,8.2500,,8.3750
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Alexandra Vedenin,,,6.9500,9.5750
UIC,2015,6,no meet title,Feb-15-2015,Eastern Michigan,Nikki Woodruff,9.7000,9.6750,8.5500,9.7500
UIC,2015,7,no meet title,Feb-22-2015,UIC,Chelsea Bailey,9.6500,,,8.8500
UIC,2015,7,no meet title,Feb-22-2015,UIC,Riley Cholod,,9.7750,9.7500,
UIC,2015,7,no meet title,Feb-22-2015,UIC,Ryann Conners,9.5000,8.1500,,9.6000
UIC,2015,7,no meet title,Feb-22-2015,UIC,Emily DeCesare,,,9.1000,8.9000
UIC,2015,7,no meet title,Feb-22-2015,UIC,Giulia Hindermann,9.5750,,9.0750,8.8500
UIC,2015,7,no meet title,Feb-22-2015,UIC,Gabrielle May,9.7750,9.8250,9.7500,9.7250
UIC,2015,7,no meet title,Feb-22-2015,UIC,Kimberly Randall,9.8750,9.8500,,
UIC,2015,7,no meet title,Feb-22-2015,UIC,Katie Snyder,,,9.7000,
UIC,2015,7,no meet title,Feb-22-2015,UIC,Nicole Szabo,,9.1250,,
UIC,2015,7,no meet title,Feb-22-2015,UIC,Nikki Woodruff,9.7250,9.8000,9.1000,9.7000
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Chelsea Bailey,9.6000,,,9.6250
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Riley Cholod,,9.7000,9.7000,
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Ryann Conners,9.4750,,,9.2750
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Citlali Cuevas,,9.7000,9.6000,
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Emily DeCesare,,,9.0500,
UIC,2015,8,no meet title,Feb-28-2015,Lindenwood,Giulia Hindermann,9.5750,,,
