team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Emma Barry,,,,9.0000
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Sierra Bradford,,7.9500,,8.5000
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Molly Campbell,9.3000,,8.7000,9.3500
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Kelsey Donovan,8.4500,,,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Haiven Gipson,9.0500,,,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Georgia Guynn,,,8.5250,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Christina Leikam,,8.5000,8.5750,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Andrea O'Connell,9.1250,,,8.5750
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Ava Obermoller,,8.9500,,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Tia Ravara,9.2250,9.1500,8.1250,8.7750
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Liliana Shank,,8.7000,8.7500,
UW-Eau Claire,2023,1,no meet title,Jan-10-2023,UW-Eau Claire,Harriet Toth,9.3250,9.0250,8.9000,9.1750
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Emma Barry,,,,9.4500
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Molly Campbell,8.8250,8.5250,9.5250,9.3000
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Kelsey Donovan,9.2500,,,
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Haiven Gipson,9.5000,,,9.1000
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Georgia Guynn,,,9.5000,
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Christina Leikam,,8.1500,9.4500,
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Andrea O'Connell,8.4500,,,9.2750
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Ava Obermoller,,8.5500,,
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Tia Ravara,9.1250,9.3750,8.3250,9.2250
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Liliana Shank,,7.7500,9.6250,
UW-Eau Claire,2023,2,Chow's Winter Classic,Jan-14-2023,,Harriet Toth,9.1250,9.2000,9.5000,8.3250
UW-Eau Claire,2023,3,no meet title,Jan-20-2023,Texas Woman's,Emma Barry,,,,9.2500
