team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Dani Barmore,9.6750,9.0000,9.5750,9.4000
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Amy Enright,,9.2000,,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Allison Jahns,9.2750,,,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Savana Kettner,9.4250,,9.5000,9.5500
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Carly Kiesow,,8.6500,,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Janelle Kopa,,9.2500,,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Monique Muehlethaler,,9.2750,,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Chelsie Richards,,,,9.1250
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Sheree Romesburg,,,,9.2250
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Leah Spankowski,9.4750,,9.3000,9.1750
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Samantha Wiekamp,9.6250,8.0500,9.4250,8.8500
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Emiko Wiks,,,8.7500,
UW-La Crosse,2016,1,no meet title,Jan-08-2016,UW-Stout,Kari Willett,9.4250,,9.7000,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Gabby Aquilar,,8.7750,9.1500,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Dani Barmore,9.2000,8.7250,9.3000,9.0750
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Amy Enright,,9.7000,,9.5000
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Allison Jahns,9.3750,,,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Savana Kettner,9.3500,,9.0000,9.4750
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Carly Kiesow,,9.4000,,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Monique Muehlethaler,,9.1000,,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Chelsie Richards,,,,9.5500
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Leah Spankowski,9.4250,,9.0000,
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Hailey Warner,,,,8.4500
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Samantha Wiekamp,9.6250,9.3750,9.4500,8.2500
UW-La Crosse,2016,2,no meet title,Jan-16-2016,UW-Oshkosh,Kari Willett,9.4750,,9.0750,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Gabby Aquilar,,8.1500,8.0000,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Dani Barmore,9.2250,9.5000,9.6500,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Amy Enright,8.3500,8.8000,,9.2250
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Allison Jahns,9.1500,,,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Savana Kettner,,,9.6000,9.4750
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Carly Kiesow,,9.2500,,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Chelsie Richards,,,,9.2500
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Sheree Romesburg,,,,9.1500
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Leah Spankowski,9.4250,,9.0500,8.6000
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Samantha Wiekamp,9.2500,9.4750,9.4000,9.3000
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Emiko Wiks,,,8.5000,
UW-La Crosse,2016,3,no meet title,Jan-22-2016,Hamline,Lauren Wilson,9.2250,8.9000,,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Gabby Aquilar,,8.0000,,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Dani Barmore,9.3500,9.4500,9.3500,9.4500
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Amy Enright,,9.4750,9.2500,9.6250
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Ana Ginter,8.9750,,8.4000,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Allison Jahns,9.3500,,,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Savana Kettner,9.2750,,9.2750,9.7250
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Carly Kiesow,,9.3750,,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Chelsie Richards,,,,9.5500
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Leah Spankowski,9.6500,,9.4000,
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Elsa Spitzmueller,,,,8.9000
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Samantha Wiekamp,9.5750,9.5500,9.2500,9.5750
UW-La Crosse,2016,4,no meet title,Jan-29-2016,UW-La Crosse,Lauren Wilson,,9.6250,,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Dani Barmore,9.2750,9.5000,9.6750,8.1750
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Amy Enright,,9.6000,9.1500,9.5000
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Ana Ginter,,,9.1500,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Allison Jahns,9.1750,,,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Savana Kettner,,,9.4750,9.4750
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Carly Kiesow,,9.3750,,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Janelle Kopa,,9.2000,,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Chelsie Richards,,,,9.2250
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Leah Spankowski,9.2500,,9.5750,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Elsa Spitzmueller,,,,9.5750
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Samantha Wiekamp,9.2750,9.3500,9.2250,9.1000
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Kari Willett,9.2500,,,
UW-La Crosse,2016,5,"Gershon, Mclellan Invitational",Feb-05-2016,UW-La Crosse,Lauren Wilson,9.2250,9.6250,,
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Dani Barmore,9.6750,9.5000,9.6250,
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Amy Enright,,9.5500,9.3750,9.3500
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Allison Jahns,9.3500,,,
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Savana Kettner,,,9.4750,9.4500
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Carly Kiesow,,8.6250,,
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Janelle Kopa,,8.6500,,
UW-La Crosse,2016,6,no meet title,Feb-12-2016,UW-La Crosse,Chelsie Richards,,,,9.5250
