team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Jessica  Bernardo,9.1750,8.1500,8.6250,9.4000
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Bailey Finin,,,,9.5000
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Bailee Hardy,,9.1750,,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Karen King,9.0000,,,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Dana LoCascio,9.0750,,8.6750,8.0500
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Amanda McBrayer,8.8000,,7.5000,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Madison Reiter,,7.4250,,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Kasandra Stamopoulos,,8.9250,9.3250,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Baylee Tkaczuk,,4.5500,9.3750,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Danielle Turner,8.6250,,8.4250,9.1000
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Kailee Willhalm,,7.7500,,
UW-Oshkosh,2017,1,no meet title,Jan-07-2017,UW-Oshkosh,Krysten Zytniowski,,,,8.1500
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Jessica  Bernardo,9.3250,9.3500,8.6000,9.5750
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Bailey Finin,,,,9.7250
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Bailee Hardy,,9.1000,,
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Karen King,9.2500,,,
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Dana LoCascio,9.3250,,8.8750,8.8250
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Amanda McBrayer,9.3000,,8.9500,
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Madison Reiter,,8.5000,,
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Kasandra Stamopoulos,,9.2750,9.4250,
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Baylee Tkaczuk,,9.6000,9.3250,7.8500
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Danielle Turner,9.5000,,9.3500,9.6000
UW-Oshkosh,2017,2,no meet title,Jan-13-2017,Iowa State,Kailee Willhalm,8.1750,7.8500,,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Jessica  Bernardo,8.9750,9.3250,7.9000,9.3250
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Bailey Finin,,,,9.4000
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Bailee Hardy,,8.2000,,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Karen King,9.1500,,,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Dana LoCascio,9.1500,,8.6250,7.4500
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Amanda McBrayer,8.7750,,9.3500,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Madison Reiter,,9.1750,,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Kasandra Stamopoulos,,9.2750,9.5250,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Alexa Swenn,,8.6000,,
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Baylee Tkaczuk,9.0250,9.5750,9.6250,9.1250
UW-Oshkosh,2017,3,no meet title,Jan-20-2017,UW-Oshkosh,Danielle Turner,9.3000,,8.8000,9.4000
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Jessica  Bernardo,9.5500,9.7250,,9.1250
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Bailey Finin,,,9.6250,9.8000
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Bailee Hardy,,9.5000,,
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Karen King,9.6750,,,
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Dana LoCascio,9.5750,,9.7250,9.7000
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Amanda McBrayer,8.7500,,9.5250,
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Madison Reiter,,8.9000,,8.4000
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Kasandra Stamopoulos,,9.6250,9.8000,
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Alexa Swenn,,9.3500,,
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Baylee Tkaczuk,9.2750,9.8250,9.8250,8.2500
UW-Oshkosh,2017,4,no meet title,Jan-27-2017,Centenary College,Danielle Turner,9.6750,,9.7500,9.7250
UW-Oshkosh,2017,5,no meet title,Feb-03-2017,UW-La Crosse,Jessica  Bernardo,9.1750,9.0500,,8.6000
UW-Oshkosh,2017,5,no meet title,Feb-03-2017,UW-La Crosse,Bailey Finin,,,9.2000,9.4500
UW-Oshkosh,2017,5,no meet title,Feb-03-2017,UW-La Crosse,Bailee Hardy,,8.8000,,
