team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Jamie Beatty,,9.1000,8.9500,
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Emma Brittingham,,8.8000,,
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Jaidyn Carroll,9.4250,,,
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Gillian Cummins,9.5500,9.3750,9.5750,9.0000
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Effie Ferguson,,9.5750,9.6250,9.6000
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Kaylie Kassing,,,,8.6750
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Isabela Krulich,,,8.4000,9.1750
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Sarah Lutz,,9.4000,,
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Anna Mielke,8.7750,,,9.5000
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Jessica Qualich,9.7000,,,
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Taylar Schaefer,9.5750,7.3000,9.6250,9.5250
UW-Stout,2025,1,no meet title,Jan-10-2025,UW-Stout,Gabrielle Winstead,9.4000,,8.5750,
UW-Stout,2025,2,Windy City,Jan-17-2025,,Jamie Beatty,,9.3000,9.1500,
UW-Stout,2025,2,Windy City,Jan-17-2025,,Jaidyn Carroll,9.3500,,,
UW-Stout,2025,2,Windy City,Jan-17-2025,,Gillian Cummins,9.5000,7.7000,9.6500,9.3750
UW-Stout,2025,2,Windy City,Jan-17-2025,,Effie Ferguson,,9.6750,9.7750,9.4250
UW-Stout,2025,2,Windy City,Jan-17-2025,,Kaylie Kassing,,,,9.6500
UW-Stout,2025,2,Windy City,Jan-17-2025,,Isabela Krulich,,,9.4250,9.4250
UW-Stout,2025,2,Windy City,Jan-17-2025,,Sarah Lutz,,9.6000,,
UW-Stout,2025,2,Windy City,Jan-17-2025,,Anna Mielke,8.8750,7.6000,,9.5750
UW-Stout,2025,2,Windy City,Jan-17-2025,,Jessica Qualich,9.0250,,,
UW-Stout,2025,2,Windy City,Jan-17-2025,,Taylar Schaefer,9.6750,8.7000,9.5250,9.5250
UW-Stout,2025,2,Windy City,Jan-17-2025,,Gabrielle Winstead,9.3500,,8.0000,
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Jamie Beatty,8.8250,9.2250,9.3500,
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Emma Brittingham,,9.0000,,
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Jaidyn Carroll,9.5000,,,
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Gillian Cummins,9.4000,9.4000,9.5500,
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Effie Ferguson,,8.2750,9.6750,9.8000
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Kaylie Kassing,,,,9.6750
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Isabela Krulich,,,9.6000,9.7000
UW-Stout,2025,3,no meet title,Jan-24-2025,Hamline,Cassidy Lennard,,,9.5000,
