team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Erika Briscoe,9.4500,,8.9250,9.5750
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Bailey Fitzpatrick,,9.5250,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Acacia Fossum,,8.2000,9.2500,9.3750
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Abby Helmke,,9.5500,9.0000,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Franchesca Hutton,,,9.5750,9.6750
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Rachel Lewellen,8.5000,,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Brooke Lutz,,8.1000,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Abigail Missiaen,9.6500,,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Emily North,,,,9.4000
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Vanessa Olinger,,,9.1500,9.1250
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Jessi  Rondeau,9.2000,,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Ashleigh Turek,8.5500,9.1000,,
UW-Whitewater,2019,1,no meet title,Jan-18-2019,UW-Stout,Blaise Wilson,9.4250,9.7000,8.7250,9.7250
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Erika Briscoe,9.3000,,8.2750,9.5000
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Lewa Evans,,,,8.5000
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Bailey Fitzpatrick,,9.4250,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Acacia Fossum,,8.5000,8.7750,9.4250
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Abby Helmke,,9.4250,9.6250,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Franchesca Hutton,,,9.6500,9.6000
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Rachel Lewellen,9.3750,,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Lauren Marshall,9.5750,,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Abigail Missiaen,9.4000,,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Emily North,,,9.1500,9.3250
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Vanessa Olinger,,,9.4750,9.5250
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Jessi  Rondeau,9.0250,7.2000,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Ashleigh Turek,,8.0250,,
UW-Whitewater,2019,2,no meet title,Jan-26-2019,UW-Whitewater,Blaise Wilson,9.1000,,,
UW-Whitewater,2019,3,no meet title,Feb-01-2019,UW-La Crosse,Erika Briscoe,8.9750,,9.4750,8.9500
UW-Whitewater,2019,3,no meet title,Feb-01-2019,UW-La Crosse,Lewa Evans,,,,9.1750
UW-Whitewater,2019,3,no meet title,Feb-01-2019,UW-La Crosse,Bailey Fitzpatrick,,9.5250,,
