team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Heather Brubaker,9.4750,8.9500,9.4000,8.8000
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Olivia Byrne,,8.5000,,8.8750
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Breanna  Couts,,,,9.1750
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Eleanor LaFountain,,8.7750,,9.3750
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Kelly McLaughlin,9.3000,,9.7750,
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Matisen O'Brien,,,9.3250,
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Amanda Palladino,,8.9250,9.7250,
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Alexandra Puryear,9.2250,,9.1250,9.5500
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Lindsay  Rush,9.2250,9.2500,,
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Autumn Snape,,,9.2500,
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Kelsey Stewart,9.1000,8.6500,,9.3750
Ursinus College,2018,1,no meet title,Jan-13-2018,West Chester,Danielle  Terrenzio,9.3250,,,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Heather Brubaker,9.4750,8.1500,8.9750,9.6000
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Olivia Byrne,,8.6500,,9.1000
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Skylar Haas,,,9.2000,9.3750
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Eleanor LaFountain,,8.5250,,9.7500
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Kelly McLaughlin,9.3250,,8.9750,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Matisen O'Brien,,,9.5000,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Amanda Palladino,,9.7000,9.6750,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Alexandra Puryear,9.3250,,,9.5500
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Lindsay  Rush,9.3250,9.1250,,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Autumn Snape,,,9.4500,
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Kelsey Stewart,9.3750,9.3250,,9.5750
Ursinus College,2018,2,no meet title,Jan-21-2018,Ursinus College,Danielle  Terrenzio,9.3250,,,
Ursinus College,2018,3,no meet title,Jan-26-2018,Towson,Heather Brubaker,8.9750,9.3500,9.2250,9.6750
Ursinus College,2018,3,no meet title,Jan-26-2018,Towson,Breanna  Couts,,,,9.2000
Ursinus College,2018,3,no meet title,Jan-26-2018,Towson,Skylar Haas,,,9.5000,9.5500
Ursinus College,2018,3,no meet title,Jan-26-2018,Towson,Eleanor LaFountain,9.3000,,,9.7750
Ursinus College,2018,3,no meet title,Jan-26-2018,Towson,Kelly McLaughlin,,,8.4250,
