team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utah State,2022,1,Best of Utah,Jan-07-2022,,Carley Bayles,,,9.7750,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Brianna Brooks,9.7000,9.8500,9.8250,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Trinity Brown,9.7750,,,9.8250
Utah State,2022,1,Best of Utah,Jan-07-2022,,Brie Clark,9.7750,,9.6000,9.9250
Utah State,2022,1,Best of Utah,Jan-07-2022,,Amari Evans,,9.0000,,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Maia Fishwick,,9.7250,,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Jessica Gutierrez,,9.7250,,9.7000
Utah State,2022,1,Best of Utah,Jan-07-2022,,Eve Jackson,9.8000,9.7750,,9.6500
Utah State,2022,1,Best of Utah,Jan-07-2022,,Kielyn McCright,,,9.8500,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Angel Stuart,9.7250,,,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Sofi Sullivan,,,9.8500,
Utah State,2022,1,Best of Utah,Jan-07-2022,,Ariel Toomey,,,,9.8500
Utah State,2022,1,Best of Utah,Jan-07-2022,,Rebecca Wells,9.7500,9.7750,9.8000,9.8000
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Lexi Aragon,,8.9000,9.3750,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Molly Arnold,9.8000,9.7750,,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Carley Bayles,,,9.3750,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Brianna Brooks,9.1250,9.8750,9.7250,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Trinity Brown,9.8250,,,9.7500
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Brie Clark,9.7500,,9.5500,9.9500
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Amari Evans,,,,9.8000
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Jessica Gutierrez,,9.7750,,9.7500
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Eve Jackson,9.1750,9.9000,,9.8250
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Kielyn McCright,,,9.8000,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Angel Stuart,9.8250,,,
Utah State,2022,2,no meet title,Jan-14-2022,Utah State,Sofi Sullivan,,9.8500,9.8750,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Molly Arnold,9.7000,,,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Carley Bayles,,,9.8750,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Brianna Brooks,9.8000,9.8750,9.9000,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Trinity Brown,9.8250,,,9.7500
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Brie Clark,9.7500,,9.8000,9.9250
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Amari Evans,,,,9.8250
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Maia Fishwick,,9.0000,,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Jessica Gutierrez,,9.8250,,9.6500
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Eve Jackson,9.6500,9.8000,,9.7500
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Kielyn McCright,,,9.9250,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Sofi Sullivan,,9.8250,9.9000,
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Ariel Toomey,,,,9.5000
Utah State,2022,3,no meet title,Jan-22-2022,Arizona,Rebecca Wells,9.8250,9.7250,9.9000,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Molly Arnold,9.8000,,,9.8000
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Carley Bayles,,,9.9250,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Brianna Brooks,9.8750,9.9000,9.8500,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Trinity Brown,9.8000,,,9.8000
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Brie Clark,9.7500,,9.9000,9.9250
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Amari Evans,,,,9.7250
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Maia Fishwick,,9.9250,,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Jessica Gutierrez,,9.7750,,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Eve Jackson,,9.7750,,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Kielyn McCright,,,9.7500,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Sofi Sullivan,,9.1250,9.7750,
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Ariel Toomey,,,,9.4750
Utah State,2022,4,no meet title,Jan-28-2022,BYU,Rebecca Wells,9.8750,9.6750,9.8250,9.7750
Utah State,2022,5,no meet title,Feb-04-2022,Utah State,Molly Arnold,9.7500,,,9.5750
Utah State,2022,5,no meet title,Feb-04-2022,Utah State,Carley Bayles,,,9.9000,
