team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utah,2022,1,Best of Utah,Jan-07-2022,,Alexia Burch,9.8500,,,
Utah,2022,1,Best of Utah,Jan-07-2022,,Kara Eaker,,,9.8750,9.8000
Utah,2022,1,Best of Utah,Jan-07-2022,,Cammy Hall,9.8750,,,
Utah,2022,1,Best of Utah,Jan-07-2022,,Jillian Hoffman,9.8000,,,
Utah,2022,1,Best of Utah,Jan-07-2022,,Cristal Isa,,9.8750,9.9000,
Utah,2022,1,Best of Utah,Jan-07-2022,,Grace McCallum,9.9000,9.3250,9.8750,9.8500
Utah,2022,1,Best of Utah,Jan-07-2022,,Amelie Morgan,,9.8250,9.8750,
Utah,2022,1,Best of Utah,Jan-07-2022,,Maile O'Keefe,,9.8750,9.8500,
Utah,2022,1,Best of Utah,Jan-07-2022,,Abby Paulson,,9.8500,9.4250,9.8750
Utah,2022,1,Best of Utah,Jan-07-2022,,Jaedyn Rucker,9.9000,,,9.8250
Utah,2022,1,Best of Utah,Jan-07-2022,,Sydney Soloski,,,,9.8250
Utah,2022,1,Best of Utah,Jan-07-2022,,Lucy Stanhope,9.8000,,,9.6250
Utah,2022,1,Best of Utah,Jan-07-2022,,Sage Thompson,,9.8000,,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Alexia Burch,9.8750,,,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Cammy Hall,9.9000,,,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Jillian Hoffman,9.8000,,,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Cristal Isa,,9.8500,9.9250,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Grace McCallum,9.9000,9.8750,9.9250,9.9750
Utah,2022,2,no meet title,Jan-14-2022,Utah,Amelie Morgan,,9.8250,9.7500,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Maile O'Keefe,,9.8750,9.9250,9.8500
Utah,2022,2,no meet title,Jan-14-2022,Utah,Abby Paulson,,9.7750,9.9000,9.8250
Utah,2022,2,no meet title,Jan-14-2022,Utah,Adrienne Randall,,,9.8000,
Utah,2022,2,no meet title,Jan-14-2022,Utah,Jaedyn Rucker,9.8500,,,9.9250
Utah,2022,2,no meet title,Jan-14-2022,Utah,Sydney Soloski,,,,9.9250
Utah,2022,2,no meet title,Jan-14-2022,Utah,Lucy Stanhope,9.9250,,,9.8250
Utah,2022,2,no meet title,Jan-14-2022,Utah,Sage Thompson,,9.9250,,
Utah,2022,3,no meet title,Jan-21-2022,Utah,Alexia Burch,9.9000,9.9000,,
Utah,2022,3,no meet title,Jan-21-2022,Utah,Cammy Hall,9.8000,,,
Utah,2022,3,no meet title,Jan-21-2022,Utah,Jillian Hoffman,9.8000,,,9.9750
Utah,2022,3,no meet title,Jan-21-2022,Utah,Cristal Isa,,9.7750,9.9750,
Utah,2022,3,no meet title,Jan-21-2022,Utah,Grace McCallum,9.8250,9.9250,9.2000,9.7500
Utah,2022,3,no meet title,Jan-21-2022,Utah,Amelie Morgan,,9.8750,9.7750,
