team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Morgan Bowles,,8.4000,9.7000,
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Talia Brovedani,,9.3250,9.7000,
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Amara Cunningham,9.7500,,,9.8750
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Skylar Killough-Wilhelm,9.8000,9.6750,9.3000,9.8000
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Katie McNamara,,9.6000,9.7500,9.4500
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Allie Smith,9.7000,,,9.6750
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Lauren Thomas,9.6000,9.6500,8.3250,
Washington,2021,1,no meet title,Jan-23-2021,Oregon State,Geneva Thompson,9.9000,9.7500,9.1250,9.7500
Washington,2021,2,no meet title,Jan-30-2021,Utah,Morgan Bowles,,9.5750,9.1250,
Washington,2021,2,no meet title,Jan-30-2021,Utah,Talia Brovedani,,,9.5500,
Washington,2021,2,no meet title,Jan-30-2021,Utah,Amara Cunningham,9.8500,,,9.8750
Washington,2021,2,no meet title,Jan-30-2021,Utah,Skylar Killough-Wilhelm,9.7750,9.8500,9.7750,9.6000
Washington,2021,2,no meet title,Jan-30-2021,Utah,Katie McNamara,9.8000,9.2500,9.1250,9.7500
Washington,2021,2,no meet title,Jan-30-2021,Utah,Allie Smith,9.6750,,,9.7250
Washington,2021,2,no meet title,Jan-30-2021,Utah,Lauren Thomas,9.5250,8.4000,9.6500,
Washington,2021,2,no meet title,Jan-30-2021,Utah,Geneva Thompson,9.7500,9.7000,9.8000,8.7500
Washington,2021,2,no meet title,Jan-30-2021,Utah,Gabi Wickman,,9.7250,,9.7000
Washington,2021,3,no meet title,Feb-08-2021,Washington,Morgan Bowles,,9.6500,8.9500,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Talia Brovedani,,9.6250,9.7000,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Amara Cunningham,9.8250,,,9.9000
Washington,2021,3,no meet title,Feb-08-2021,Washington,Cathy Eksteen,,,9.7250,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Skylar Killough-Wilhelm,,9.7750,,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Katie McNamara,9.7250,9.7000,9.1750,9.7000
Washington,2021,3,no meet title,Feb-08-2021,Washington,Allie Smith,9.7250,,,9.7250
Washington,2021,3,no meet title,Feb-08-2021,Washington,Lauren Thomas,9.5250,8.9250,9.7000,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Geneva Thompson,9.8000,9.9000,9.5750,9.8250
Washington,2021,3,no meet title,Feb-08-2021,Washington,Isa Weiss,9.5750,,,
Washington,2021,3,no meet title,Feb-08-2021,Washington,Gabi Wickman,,,,9.7250
Washington,2021,4,no meet title,Feb-14-2021,Washington,Morgan Bowles,,9.5250,,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Talia Brovedani,,9.7000,9.8500,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Amara Cunningham,9.7500,,,9.9250
Washington,2021,4,no meet title,Feb-14-2021,Washington,Cathy Eksteen,,,9.1250,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Skylar Killough-Wilhelm,,9.7750,9.7250,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Katie McNamara,9.7000,8.8500,9.8000,9.6000
Washington,2021,4,no meet title,Feb-14-2021,Washington,Allie Smith,9.6250,,,9.7750
Washington,2021,4,no meet title,Feb-14-2021,Washington,Lauren Thomas,9.5000,,8.8500,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Geneva Thompson,9.8750,9.8750,9.5500,9.9000
Washington,2021,4,no meet title,Feb-14-2021,Washington,Isa Weiss,9.6500,,,
Washington,2021,4,no meet title,Feb-14-2021,Washington,Gabi Wickman,,9.0000,,9.7750
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Morgan Bowles,,9.7250,,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Talia Brovedani,,9.7000,9.6750,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Amara Cunningham,9.8500,,,9.8500
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Cathy Eksteen,,,9.7250,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Skylar Killough-Wilhelm,,9.8500,9.8250,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Katie McNamara,9.8750,9.8000,9.6000,9.8000
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Allie Smith,9.8000,,,9.7500
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Lauren Thomas,9.6000,,9.7000,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Geneva Thompson,9.8250,9.8500,8.9000,9.0000
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Isa Weiss,9.5250,,,
Washington,2021,5,no meet title,Feb-20-2021,Arizona,Gabi Wickman,,9.7250,,9.3000
Washington,2021,6,no meet title,Feb-28-2021,Washington,Morgan Bowles,,8.8500,9.5500,
Washington,2021,6,no meet title,Feb-28-2021,Washington,Amara Cunningham,9.7750,,,9.8750
Washington,2021,6,no meet title,Feb-28-2021,Washington,Cathy Eksteen,,,9.8250,
Washington,2021,6,no meet title,Feb-28-2021,Washington,Skylar Killough-Wilhelm,9.7000,9.7250,9.7250,
Washington,2021,6,no meet title,Feb-28-2021,Washington,Katie McNamara,9.7500,9.1250,9.8250,9.7500
Washington,2021,6,no meet title,Feb-28-2021,Washington,Allie Smith,9.7750,,,9.8250
Washington,2021,6,no meet title,Feb-28-2021,Washington,Lauren Thomas,,9.5500,9.8250,
Washington,2021,6,no meet title,Feb-28-2021,Washington,Geneva Thompson,9.7250,9.8750,9.1750,9.8500
Washington,2021,6,no meet title,Feb-28-2021,Washington,Isa Weiss,9.5000,,,9.6750
Washington,2021,6,no meet title,Feb-28-2021,Washington,Gabi Wickman,,8.6000,,
Washington,2021,7,no meet title,Mar-07-2021,Washington,Morgan Bowles,,9.8000,9.7750,
Washington,2021,7,no meet title,Mar-07-2021,Washington,Amara Cunningham,9.7500,,,9.9250
Washington,2021,7,no meet title,Mar-07-2021,Washington,Cathy Eksteen,,,9.7750,
Washington,2021,7,no meet title,Mar-07-2021,Washington,Skylar Killough-Wilhelm,9.7750,9.8500,9.7750,9.8750
Washington,2021,7,no meet title,Mar-07-2021,Washington,Katie McNamara,9.6750,9.7250,8.9000,9.8000
Washington,2021,7,no meet title,Mar-07-2021,Washington,Allie Smith,9.8250,,,9.8250
Washington,2021,7,no meet title,Mar-07-2021,Washington,Lauren Thomas,,9.7250,8.8500,
Washington,2021,7,no meet title,Mar-07-2021,Washington,Geneva Thompson,9.8500,9.7750,9.7500,9.8500
Washington,2021,7,no meet title,Mar-07-2021,Washington,Isa Weiss,9.4000,,,9.7500
Washington,2021,7,no meet title,Mar-07-2021,Washington,Gabi Wickman,,9.7000,,
Washington,2021,8,no meet title,Mar-10-2021,Washington,Morgan Bowles,,9.7750,9.8250,
Washington,2021,8,no meet title,Mar-10-2021,Washington,Amara Cunningham,9.8750,,,9.9500
Washington,2021,8,no meet title,Mar-10-2021,Washington,Cathy Eksteen,,,9.8000,
Washington,2021,8,no meet title,Mar-10-2021,Washington,Skylar Killough-Wilhelm,9.7500,9.8500,9.7500,9.9000
Washington,2021,8,no meet title,Mar-10-2021,Washington,Katie McNamara,9.8250,9.7500,9.9000,9.8750
Washington,2021,8,no meet title,Mar-10-2021,Washington,Allie Smith,9.7500,,,9.8500
Washington,2021,8,no meet title,Mar-10-2021,Washington,Lauren Thomas,,8.8500,9.9000,
Washington,2021,8,no meet title,Mar-10-2021,Washington,Geneva Thompson,9.7750,9.8500,9.2000,9.8500
Washington,2021,8,no meet title,Mar-10-2021,Washington,Isa Weiss,9.7000,,,9.8000
Washington,2021,8,no meet title,Mar-10-2021,Washington,Gabi Wickman,,9.7250,,
Washington,2021,9,no meet title,Mar-14-2021,California,Morgan Bowles,,9.1000,9.8000,
Washington,2021,9,no meet title,Mar-14-2021,California,Amara Cunningham,9.8250,,,9.9500
Washington,2021,9,no meet title,Mar-14-2021,California,Cathy Eksteen,,,9.7250,
Washington,2021,9,no meet title,Mar-14-2021,California,Skylar Killough-Wilhelm,9.8750,9.8500,9.8750,9.8500
Washington,2021,9,no meet title,Mar-14-2021,California,Katie McNamara,9.7750,9.2000,9.8750,9.7500
Washington,2021,9,no meet title,Mar-14-2021,California,Taylor Russon,,,9.7500,
Washington,2021,9,no meet title,Mar-14-2021,California,Allie Smith,9.9250,,,9.8250
Washington,2021,9,no meet title,Mar-14-2021,California,Lauren Thomas,,9.7500,9.7750,
Washington,2021,9,no meet title,Mar-14-2021,California,Geneva Thompson,9.8750,9.8750,,9.9000
Washington,2021,9,no meet title,Mar-14-2021,California,Isa Weiss,9.5500,,,8.1500
Washington,2021,9,no meet title,Mar-14-2021,California,Gabi Wickman,,9.7250,,
Washington,2021,10,Pac-12 Conference,Mar-20-2021,,Morgan Bowles,,9.7250,8.4000,
Washington,2021,10,Pac-12 Conference,Mar-20-2021,,Amara Cunningham,9.8250,,,9.9000
Washington,2021,10,Pac-12 Conference,Mar-20-2021,,Cathy Eksteen,,,8.9500,
Washington,2021,10,Pac-12 Conference,Mar-20-2021,,Skylar Killough-Wilhelm,9.7500,9.8750,9.2500,9.7000
Washington,2021,10,Pac-12 Conference,Mar-20-2021,,Katie McNamara,9.7500,9.7000,9.7750,9.8250
