team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Rachel Blair,,,9.6250,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Madison Brent,,,,8.8000
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Meghan Chan,9.5500,,9.6250,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Isabella DOrazio,,9.3500,,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Samantha Engle,9.5000,,,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Casandra  Hageman,,,8.9000,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Emily Loughery,,,9.7250,9.5500
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Myranda Marshall,,9.4750,,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Lindsey Mathis,9.3250,9.0500,,9.4000
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Jordan Miranda,,9.3000,,
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Selena Swanger,9.5750,8.6750,9.7750,9.5500
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Kristen Torres,,,,9.4250
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Majesta Valentine,9.7500,9.6000,9.8500,9.9000
West Chester,2017,1,no meet title,Jan-12-2017,Ursinus College,Rose Wortman,9.4750,,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Rachel Blair,,,9.4000,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Madison Brent,,,,9.6250
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Meghan Chan,9.5500,,9.6000,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Isabella DOrazio,,9.3750,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Samantha Engle,9.4000,,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Casandra  Hageman,,,,9.5500
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Emily Loughery,,,9.4250,9.6000
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Myranda Marshall,,9.5250,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Jordan Miranda,,9.4250,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Sydne Powers,,9.0250,,
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Selena Swanger,9.5750,9.0500,9.4250,9.7000
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Kristen Torres,9.5000,,,9.2000
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Majesta Valentine,9.7500,9.6500,9.6750,9.8000
West Chester,2017,2,no meet title,Jan-15-2017,Southern Conn.,Rose Wortman,9.3250,,9.4500,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Rachel Blair,,,8.9000,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Madison Brent,,,,9.6500
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Meghan Chan,9.5500,,9.8000,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Isabella DOrazio,,9.4500,,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Samantha Engle,9.6500,,,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Casandra  Hageman,,,,9.5750
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Emily Loughery,,,8.6500,9.5250
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Myranda Marshall,,9.5250,,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Jordan Miranda,,9.4500,,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Sydne Powers,,9.0500,,
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Selena Swanger,9.5500,9.1500,9.6000,9.7250
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Kristen Torres,8.9500,,,9.2250
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Majesta Valentine,9.7250,8.8750,9.7500,9.8250
West Chester,2017,3,no meet title,Jan-21-2017,Rutgers,Rose Wortman,9.5250,,9.5000,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Sarah Boyd,,,9.7750,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Madison Brent,,,,9.8000
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Meghan Chan,9.1500,,9.6250,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Isabella DOrazio,,9.5250,,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Samantha Engle,9.6750,,,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Casandra  Hageman,,,9.5750,9.7500
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Emily Loughery,,,,9.8000
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Myranda Marshall,,9.7500,,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Lindsey Mathis,,9.6500,,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Jordan Miranda,,9.4000,,
West Chester,2017,4,no meet title,Jan-28-2017,West Chester,Selena Swanger,9.6000,9.0250,8.9500,9.7500
