team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Brittany Aragon,9.6250,,,9.7000
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Jessica Buis,9.7500,,9.6750,
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Anna Corbett,9.7500,9.8000,9.7000,9.8000
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Kelsey Hood,9.7500,9.2500,9.6000,9.8000
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Kira Hoy,,,9.6750,9.7750
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Jessica Juncaj,,9.6750,,
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Audry Merritt,9.7000,7.5000,,
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Jessie Peszek,,9.5000,9.8000,9.7250
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Rachael Underwood,9.6500,,9.7250,9.8250
Western Michigan,2016,1,no meet title,Jan-09-2016,Western Michigan,Kayla Weber,,9.7000,,
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Brittany Aragon,9.7750,,,
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Jessica Buis,9.6500,,9.8500,
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Kendall Carlson,,9.8000,,
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Anna Corbett,9.7750,9.7750,9.8000,9.7750
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Kelsey Hood,9.7500,9.7750,9.7500,9.5000
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Kira Hoy,,,9.8250,9.7500
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Jessica Juncaj,,9.7000,,
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Audry Merritt,9.6750,,,9.7500
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Jessie Peszek,,9.7750,9.6750,9.6000
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Rachael Underwood,9.6750,,9.8750,9.8250
Western Michigan,2016,2,no meet title,Jan-17-2016,Western Michigan,Kayla Weber,,9.2750,,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Rachel Binkley,9.6750,,,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Jessica Buis,9.7250,,9.5500,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Kendall Carlson,,9.0500,,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Anna Corbett,9.8250,9.7000,9.4750,9.8000
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Kelsey Hood,9.7500,9.7500,9.7250,9.6000
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Kira Hoy,,,8.5750,9.7750
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Katie Jennings,9.7000,,,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Jessica Juncaj,,9.6500,,
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Audry Merritt,,,,9.7250
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Jessie Peszek,,9.8000,9.7250,9.6750
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Rachael Underwood,9.7500,,9.5500,9.8750
Western Michigan,2016,3,no meet title,Jan-31-2016,Western Michigan,Kayla Weber,,8.2000,,
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Rachel Binkley,9.7250,,8.9500,9.7000
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Jessica Buis,9.7750,,9.7500,
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Kendall Carlson,,9.8250,,
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Anna Corbett,9.8500,9.7500,9.7750,9.8000
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Kelsey Hood,9.7000,9.8000,9.7750,9.7500
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Katie Jennings,9.6750,,,
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Jessica Juncaj,,9.7500,,
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Audry Merritt,,,,9.8000
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Jessie Peszek,,9.6250,9.8500,9.7250
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Rachael Underwood,9.7750,,9.2000,9.8000
Western Michigan,2016,4,no meet title,Feb-06-2016,Western Michigan,Kayla Weber,,9.0500,,
Western Michigan,2016,5,no meet title,Feb-14-2016,Northern Illinois,Rachel Binkley,9.6500,,9.4750,9.7500
