team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Jaidyn Bryant,9.4000,8.9500,9.5250,9.3750
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Diamond Cook,,,8.4500,9.5000
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Emily Herrera,9.2500,,,
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Promise Jean-Marie,9.2500,8.2500,8.8250,8.9500
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Madison Kelly,,7.4500,,
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Sadara Mayhorn,9.4250,,9.2000,8.2750
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Kiora Peart-Williams,9.3500,9.5000,9.2750,8.2750
Wilberforce,2025,1,American Gold Women's Collegiate Gymnastics Classic,Jan-04-2025,,Saniah Smith,,8.3000,8.8500,9.3750
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Jaidyn Bryant,9.5000,6.2000,9.3000,9.5750
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Mackenzie Butler,,,7.8500,
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Diamond Cook,,,8.3250,9.6250
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Promise Jean-Marie,,7.8250,,8.4750
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Sadara Mayhorn,9.4250,,8.7250,6.9500
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Kiora Peart-Williams,9.3250,9.4000,9.0500,9.4500
Wilberforce,2025,2,no meet title,Jan-10-2025,Kent State,Saniah Smith,,,8.3750,8.8000
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Jaidyn Bryant,8.7000,,9.1250,9.7000
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Mackenzie Butler,,,9.4500,
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Diamond Cook,,,8.4750,9.6000
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Emily Herrera,8.7750,,,
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Promise Jean-Marie,9.1000,6.9500,,8.7000
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Danielle Johnson,,6.9000,,
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Madison Kelly,,7.3750,,
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Sadara Mayhorn,9.0500,8.0250,9.7250,
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Kiora Peart-Williams,9.1500,8.8500,9.6000,9.5500
Wilberforce,2025,3,no meet title,Jan-13-2025,Fisk,Saniah Smith,,,9.0500,9.7500
Wilberforce,2025,4,Windy City,Jan-17-2025,,Mackenzie Butler,,,8.9750,
Wilberforce,2025,4,Windy City,Jan-17-2025,,Diamond Cook,9.3750,7.6500,8.0500,9.7000
Wilberforce,2025,4,Windy City,Jan-17-2025,,Emily Herrera,9.1750,,,
Wilberforce,2025,4,Windy City,Jan-17-2025,,Promise Jean-Marie,9.2000,8.7500,,9.0500
Wilberforce,2025,4,Windy City,Jan-17-2025,,Danielle Johnson,8.4750,6.6250,,
Wilberforce,2025,4,Windy City,Jan-17-2025,,Sadara Mayhorn,9.2500,8.7750,8.0500,8.6750
Wilberforce,2025,4,Windy City,Jan-17-2025,,Kiora Peart-Williams,9.4000,9.3500,8.9500,9.5000
Wilberforce,2025,4,Windy City,Jan-17-2025,,Saniah Smith,,,9.0750,9.4500
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Mackenzie Butler,,,8.0500,
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Diamond Cook,9.3500,7.7500,9.2500,9.5000
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Emily Herrera,8.5750,,,
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Promise Jean-Marie,9.3250,8.7500,,8.5500
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Danielle Johnson,,7.2000,,
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Sadara Mayhorn,9.4750,7.3000,7.1500,8.2000
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Kiora Peart-Williams,9.4250,9.4250,9.0250,9.3500
Wilberforce,2025,5,no meet title,Jan-26-2025,Ball State,Saniah Smith,,,8.6500,8.8000
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Jaidyn Bryant,,7.8000,8.8500,
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Mackenzie Butler,8.0750,,8.0500,
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Mikayla Clements,8.6750,,,
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Diamond Cook,9.2750,,9.3750,9.6250
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Promise Jean-Marie,9.0750,7.7750,8.6250,9.3750
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Madison Kelly,,8.9000,,
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Sadara Mayhorn,,,,8.0500
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Kiora Peart-Williams,9.4750,9.6500,9.4250,9.1500
Wilberforce,2025,6,no meet title,Feb-09-2025,Bridgeport,Saniah Smith,,7.3500,9.2500,9.5250
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Jaidyn Bryant,,8.6500,9.5000,8.5000
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Mackenzie Butler,,,8.6250,
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Mikayla Clements,8.9250,,,6.5500
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Diamond Cook,9.3000,,8.8500,9.7250
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Emily Herrera,9.1000,,,
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Promise Jean-Marie,9.0750,8.7500,9.0000,8.6000
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Danielle Johnson,8.0000,6.8500,,
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Madison Kelly,,7.5500,,
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Kiora Peart-Williams,9.6250,9.5000,9.5750,9.3750
Wilberforce,2025,7,Isla HBCU Classic,Feb-16-2025,,Saniah Smith,,5.3250,9.2500,8.9000
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Jaidyn Bryant,,8.8500,8.2750,
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Mackenzie Butler,,,7.1000,
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Mikayla Clements,8.9750,,,7.0000
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Diamond Cook,9.3750,,9.1000,9.6250
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Promise Jean-Marie,8.9750,7.7500,8.0250,8.5000
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Danielle Johnson,8.3750,6.7500,,
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Madison Kelly,,8.3500,,8.2500
Wilberforce,2025,8,no meet title,Feb-27-2025,Eastern Michigan,Kiora Peart-Williams,9.6500,9.5000,9.4500,8.8000
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Jaidyn Bryant,,8.9500,9.2000,
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Mackenzie Butler,,,8.8250,
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Mikayla Clements,9.0000,,,6.8250
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Diamond Cook,8.7250,,8.8750,8.9500
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Promise Jean-Marie,,9.2000,8.4250,6.7000
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Danielle Johnson,8.4000,7.4250,,
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Madison Kelly,9.2000,8.3000,8.9750,9.0250
Wilberforce,2025,9,no meet title,Mar-02-2025,Bowling Green,Kiora Peart-Williams,9.5250,9.6000,9.5000,8.8500
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Jaidyn Bryant,,8.8000,8.7000,
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Mackenzie Butler,,,8.8000,
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Mikayla Clements,8.9500,,,7.1250
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Diamond Cook,9.0750,,8.4500,8.6750
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Promise Jean-Marie,9.3750,8.9500,9.4750,9.3250
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Danielle Johnson,,6.5250,,
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Madison Kelly,9.2500,8.6750,9.4000,9.0000
Wilberforce,2025,10,no meet title,Mar-08-2025,Western Michigan,Kiora Peart-Williams,9.6250,9.5000,9.4750,9.4250
Wilberforce,2025,11,WCGNIC Prelims I,Apr-11-2025,,Diamond Cook,,,,9.7500
