team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Briana Gironda,9.5000,9.7750,9.7000,
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Alyssa Glass,9.6750,9.6250,,9.6000
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Larson Lasek,9.6500,9.7250,9.7000,9.7500
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Maggie Lundeen,,,8.9750,9.8250
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Olivia O'Connor,9.6500,,9.7500,9.7500
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Monica Ouellet,9.3250,9.7000,,
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Brandy Stover,,8.7500,9.7750,9.5500
William & Mary,2015,1,no meet title,Jan-17-2015,William & Mary,Brittany Stover,9.8500,9.7750,9.0500,9.7250
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Briana Gironda,9.5250,8.9000,9.4250,
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Alyssa Glass,9.5250,8.9250,,9.6500
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Larson Lasek,9.6500,8.9750,9.6750,9.7250
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Maggie Lundeen,,,,9.7250
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Olivia O'Connor,9.6000,,9.4500,9.7000
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Monica Ouellet,,9.5250,,
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Stacia Ruse,,,9.5500,
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Brandy Stover,,9.1750,9.7250,9.5000
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Brittany Stover,9.8750,9.4500,9.7250,9.7500
William & Mary,2015,2,no meet title,Jan-25-2015,Towson,Fallon Way,9.3250,,,
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Bree Gawron,9.4000,9.7250,8.4500,
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Alyssa Glass,8.7000,9.3750,,9.5250
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Larson Lasek,9.7250,9.5250,9.6750,9.6500
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Maggie Lundeen,,,,9.8000
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Olivia O'Connor,9.1000,9.5250,9.7000,9.6000
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Monica Ouellet,,8.9750,,
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Stacia Ruse,,,9.4000,
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Brandy Stover,,,9.8000,9.5500
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Brittany Stover,9.8750,9.7250,9.7250,9.8000
William & Mary,2015,3,no meet title,Jan-31-2015,North Carolina State,Kristie Wei,9.4500,,,
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Briana Gironda,9.5500,9.6250,9.5750,
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Alyssa Glass,9.6500,9.6500,,9.5250
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Larson Lasek,9.7250,9.6250,9.7500,9.6250
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Maggie Lundeen,,,,9.8000
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Olivia O'Connor,9.6500,9.5000,9.6250,9.4000
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Monica Ouellet,,9.4250,,
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Stacia Ruse,,,9.1500,
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Brandy Stover,,,9.6500,9.4250
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Brittany Stover,9.8750,9.7000,9.6000,9.6750
William & Mary,2015,4,no meet title,Feb-07-2015,North Carolina,Kristie Wei,9.3250,,,
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Briana Gironda,9.5000,9.8250,9.6500,
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Alyssa Glass,9.6500,9.5750,,8.8500
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Larson Lasek,9.8250,9.6500,9.7000,9.8250
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Maggie Lundeen,,,,9.9000
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Olivia O'Connor,9.7000,9.5000,9.6500,9.8250
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Monica Ouellet,,9.6750,,
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Stacia Ruse,,,9.6250,
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Brandy Stover,,,9.6750,9.7250
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Brittany Stover,9.8500,9.7250,9.7250,9.7000
William & Mary,2015,5,no meet title,Feb-14-2015,North Carolina State,Kristie Wei,9.4750,,,
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Briana Gironda,9.5500,9.7000,8.5500,
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Alyssa Glass,9.0500,9.2500,,9.6500
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Larson Lasek,9.8250,9.5000,9.1250,9.7750
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Maggie Lundeen,,,,9.8250
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Olivia O'Connor,9.6750,9.5250,9.5750,9.7000
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Monica Ouellet,,8.8750,,
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Stacia Ruse,,,9.3750,
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Brandy Stover,,,9.0500,8.9000
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Brittany Stover,9.8750,8.8000,9.7750,9.6250
William & Mary,2015,6,no meet title,Feb-20-2015,Maryland,Kristie Wei,9.3000,,,
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Briana Gironda,9.4250,9.7250,9.6750,
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Alyssa Glass,9.3750,9.7000,,9.4750
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Larson Lasek,9.6000,9.6500,9.7000,9.6750
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Maggie Lundeen,,,,9.8250
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Olivia O'Connor,9.4500,9.0500,9.7000,9.4000
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Monica Ouellet,,9.5500,,
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Stacia Ruse,,,8.4000,
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Brandy Stover,,,9.7750,9.5500
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Brittany Stover,9.7500,9.8000,9.7750,9.8000
William & Mary,2015,7,no meet title,Feb-28-2015,Cornell,Kristie Wei,8.7750,,,
