team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Hailey Bryant,9.0250,9.1250,,9.2000
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Allison Crescimanno,,8.4250,,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Katie Curtis,9.1250,,,8.5500
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Ava Gaudet,,,8.4000,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Breanna Ho,9.0250,9.1250,,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Gabrielle Johnson,,,8.7250,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Izzy Kropiwiec,9.1250,8.9750,8.5250,9.6000
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Camdyn McSweeney,,,8.7250,8.8000
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Kennedy O'Connor,9.4500,,,8.6750
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Ashley Roth,,8.6750,,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Bryce Stoltz,,,8.2500,
Winona State,2022,1,no meet title,Jan-14-2022,Hamline,Kaitlyn West,9.2750,8.6250,9.0250,8.4000
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Lydia Anderson,,,8.9000,
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Hailey Bryant,9.1750,9.1500,,9.2500
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Allison Crescimanno,,8.1000,,
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Gabrielle Gray,,,,8.9000
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Breanna Ho,9.3000,9.2250,8.7500,
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Gabrielle Johnson,,,8.6250,
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Izzy Kropiwiec,9.2000,7.4000,7.6500,9.4750
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Kennedy O'Connor,9.2250,,,9.1750
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Ashley Roth,,8.2250,,
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Bryce Stoltz,9.0250,,9.1250,9.0500
Winona State,2022,2,no meet title,Jan-21-2022,Winona State,Kaitlyn West,9.2500,8.0750,9.1250,9.3250
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Lydia Anderson,,,9.0000,
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Hailey Bryant,8.9000,8.7000,,9.1750
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Allison Crescimanno,,9.1250,,
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Breanna Ho,9.4500,8.4500,8.4500,
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Gabrielle Johnson,,,9.2250,
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Izzy Kropiwiec,9.4500,8.5750,,9.7500
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Camdyn McSweeney,,,7.3000,9.5000
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Kennedy O'Connor,9.7000,,,9.5250
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Bryce Stoltz,9.3750,8.4250,9.0750,9.3000
Winona State,2022,3,no meet title,Jan-30-2022,Winona State,Kaitlyn West,9.3750,8.4750,9.3250,9.2000
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Lydia Anderson,,,9.2000,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Hailey Bryant,,8.4500,,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Allison Crescimanno,,8.4750,,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Katie Curtis,9.2250,,,9.1250
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Ava Gaudet,,,9.2500,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Breanna Ho,9.2500,9.2500,7.9500,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Gabrielle Johnson,,,9.3000,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Izzy Kropiwiec,9.3000,,,8.1000
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Camdyn McSweeney,,,,9.3750
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Kennedy O'Connor,9.3500,,,9.1000
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Ashley Roth,,8.3000,,
Winona State,2022,4,no meet title,Feb-04-2022,Gustavus Adolphus,Bryce Stoltz,8.9500,9.0750,9.5500,9.4000
