team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Kiarra Alleyne,,,9.1250,8.9250
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Jacey Baldovino,9.6500,9.5500,9.7250,9.7250
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Jade Buford,9.5500,8.0500,9.7000,9.7000
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Rebecca Chong,9.6500,,,9.4500
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Charlotte Cooperman,,,9.6500,
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Emma Firmstone,9.5500,9.1500,9.7750,9.7750
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Alyssa Firth,9.6250,,,
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Megan Ryan,,9.7500,,
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Sloane Smith,,,,9.5250
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Roxanne Trachtenberg,9.5500,9.1000,,
Yale,2018,1,no meet title,Jan-13-2018,Rutgers,Jessica Wang,,9.8250,8.7000,
Yale,2018,2,no meet title,Jan-20-2018,Yale,Kiarra Alleyne,,,9.7250,9.6250
Yale,2018,2,no meet title,Jan-20-2018,Yale,Jacey Baldovino,9.6500,9.4750,9.5750,9.6500
Yale,2018,2,no meet title,Jan-20-2018,Yale,Jade Buford,9.6500,9.5250,9.0250,9.6750
Yale,2018,2,no meet title,Jan-20-2018,Yale,Rebecca Chong,9.7250,,,
Yale,2018,2,no meet title,Jan-20-2018,Yale,Emma Firmstone,9.5250,,8.2000,9.7500
Yale,2018,2,no meet title,Jan-20-2018,Yale,Alyssa Firth,9.6500,8.5000,9.5500,9.4750
Yale,2018,2,no meet title,Jan-20-2018,Yale,Carly Israel,,,9.4250,
Yale,2018,2,no meet title,Jan-20-2018,Yale,Megan Ryan,,9.2250,,
Yale,2018,2,no meet title,Jan-20-2018,Yale,Sloane Smith,,,,9.6250
Yale,2018,2,no meet title,Jan-20-2018,Yale,Roxanne Trachtenberg,8.8250,9.6250,,
Yale,2018,2,no meet title,Jan-20-2018,Yale,Jessica Wang,,9.8000,,
Yale,2018,3,no meet title,Jan-26-2018,Towson,Kiarra Alleyne,,,9.2000,9.1250
Yale,2018,3,no meet title,Jan-26-2018,Towson,Jacey Baldovino,9.6750,9.8000,9.6000,9.7500
Yale,2018,3,no meet title,Jan-26-2018,Towson,Jade Buford,9.7250,9.6500,9.4500,9.8000
Yale,2018,3,no meet title,Jan-26-2018,Towson,Rebecca Chong,9.7500,,,
Yale,2018,3,no meet title,Jan-26-2018,Towson,Emma Firmstone,9.5250,,9.3250,9.7000
Yale,2018,3,no meet title,Jan-26-2018,Towson,Alyssa Firth,9.6250,9.1750,9.2750,9.0500
Yale,2018,3,no meet title,Jan-26-2018,Towson,Megan Ryan,,9.7500,,
Yale,2018,3,no meet title,Jan-26-2018,Towson,Sloane Smith,,,,9.7000
Yale,2018,3,no meet title,Jan-26-2018,Towson,Roxanne Trachtenberg,9.6250,9.7000,,
Yale,2018,3,no meet title,Jan-26-2018,Towson,Jessica Wang,,9.8000,9.2250,
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Kiarra Alleyne,,,9.6250,
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Jacey Baldovino,9.7250,9.7250,9.8250,9.6750
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Jade Buford,9.7250,9.6250,9.7250,9.7000
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Rebecca Chong,9.6750,,,
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Emma Firmstone,9.5750,9.1750,9.8500,9.6250
Yale,2018,4,no meet title,Feb-02-2018,Iowa State,Alyssa Firth,,,,9.5250
