
. 
. tab team year

                     |                    year
                team |      2015       2016       2017       2018 |     Total
---------------------+--------------------------------------------+----------
             Arizona |       310          0          0        277 |       587 
       Arizona State |         0        264          0          0 |       264 
            Arkansas |         0        313          0        328 |     1,555 
              Auburn |       360          0        317          0 |     1,519 
         Boise State |       292        266        266          0 |     1,114 
       Bowling Green |         0        336          0          0 |       626 
          California |         0        313          0          0 |       313 
    Central Michigan |         0          0          0        336 |       336 
              Denver |         0          0          0          0 |       360 
             Florida |       343          0        335          0 |     1,644 
             Georgia |         0        384          0        316 |     1,518 
            Illinois |         0          0          0        316 |       700 
      Illinois State |         0        288          0          0 |       288 
          Iowa State |         0          0        316          0 |       316 
            Kentucky |         0        319          0        336 |     1,793 
                 LSU |       318          0        361          0 |     1,758 
          Lindenwood |         0          0          0        342 |       342 
            Michigan |         0          0          0        315 |       674 
      Michigan State |         0          0          0          0 |       338 
           Minnesota |         0          0          0          0 |       337 
            Missouri |         0        316          0        312 |     1,517 
      North Carolina |         0          0          0        277 |       588 
   Northern Illinois |         0        292          0        321 |       903 
            Oklahoma |       370          0          0        360 |       993 
       S.E. Missouri |         0        319          0        328 |       946 
           Talladega |         0          0          0          0 |       210 
              Temple |         0          0          0          0 |       314 
       Texas Woman's |         0          0          0        345 |       345 
                 UIC |         0        267          0        316 |       583 
       West Virginia |         0        312          0          0 |       312 
    Western Michigan |         0          0          0          0 |       266 
---------------------+--------------------------------------------+----------
               Total |     1,993      3,989      1,595      4,825 |    23,359 


                     |                    year
                team |      2019       2020       2021       2022 |     Total
---------------------+--------------------------------------------+----------
             Arizona |         0          0          0          0 |       587 
       Arizona State |         0          0          0          0 |       264 
            Arkansas |         0        240          0        314 |     1,555 
              Auburn |       337          0        216          0 |     1,519 
         Boise State |         0          0          0          0 |     1,114 
       Bowling Green |       290          0          0          0 |       626 
          California |         0          0          0          0 |       313 
    Central Michigan |         0          0          0          0 |       336 
              Denver |       360          0          0          0 |       360 
             Florida |       295          0        312          0 |     1,644 
             Georgia |         0        240          0        288 |     1,518 
            Illinois |         0          0          0          0 |       700 
      Illinois State |         0          0          0          0 |       288 
          Iowa State |         0          0          0          0 |       316 
            Kentucky |         0        240        266        294 |     1,793 
                 LSU |       407          0        288          0 |     1,758 
          Lindenwood |         0          0          0          0 |       342 
            Michigan |       359          0          0          0 |       674 
      Michigan State |         0          0          0          0 |       338 
           Minnesota |         0          0          0          0 |       337 
            Missouri |         0        240          0        312 |     1,517 
      North Carolina |         0          0          0        311 |       588 
   Northern Illinois |       290          0          0          0 |       903 
            Oklahoma |         0        263          0          0 |       993 
       S.E. Missouri |       299          0          0          0 |       946 
           Talladega |         0          0          0          0 |       210 
              Temple |       314          0          0          0 |       314 
       Texas Woman's |         0          0          0          0 |       345 
                 UIC |         0          0          0          0 |       583 
       West Virginia |         0          0          0          0 |       312 
    Western Michigan |         0          0          0        266 |       266 
---------------------+--------------------------------------------+----------
               Total |     2,951      1,223      1,082      1,785 |    23,359 


                     |         year
                team |      2023       2024 |     Total
---------------------+----------------------+----------
             Arizona |         0          0 |       587 
       Arizona State |         0          0 |       264 
            Arkansas |         0        360 |     1,555 
              Auburn |       289          0 |     1,519 
         Boise State |       290          0 |     1,114 
       Bowling Green |         0          0 |       626 
          California |         0          0 |       313 
    Central Michigan |         0          0 |       336 
              Denver |         0          0 |       360 
             Florida |       359          0 |     1,644 
             Georgia |         0        290 |     1,518 
            Illinois |         0        384 |       700 
      Illinois State |         0          0 |       288 
          Iowa State |         0          0 |       316 
            Kentucky |         0        338 |     1,793 
                 LSU |       384          0 |     1,758 
          Lindenwood |         0          0 |       342 
            Michigan |         0          0 |       674 
      Michigan State |       338          0 |       338 
           Minnesota |         0        337 |       337 
            Missouri |         0        337 |     1,517 
      North Carolina |         0          0 |       588 
   Northern Illinois |         0          0 |       903 
            Oklahoma |         0          0 |       993 
       S.E. Missouri |         0          0 |       946 
           Talladega |         0        210 |       210 
              Temple |         0          0 |       314 
       Texas Woman's |         0          0 |       345 
                 UIC |         0          0 |       583 
       West Virginia |         0          0 |       312 
    Western Michigan |         0          0 |       266 
---------------------+----------------------+----------
               Total |     1,660      2,256 |    23,359 

. 
. log close
