team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Cam Barber,.,9.725,9.85,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Grace Bardes,9.65,9.725,.,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Pixie Brock,.,.,9.75,9.85,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Brooke Bruder,9.5,.,.,9.75,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,1,1,Briona Carswell,.,.,9.775,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,1,1,Tyler Davis,9.8,.,.,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Jessica Kirkpatrick,9.75,8.95,.,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Natalie Meyer,.,.,.,9.8,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Heidi Sand,9.7,9.6,.,9.5,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Elizabeth Shearns,.,9.65,.,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Valerie Smith,.,.,9.775,.,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,0,0,Cameo Stapleton,.,.,9.65,9.7,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,12,SE Missouri,Houck Field House,0,0,1,1,Daija Stevenson,9.8,9.2,9.725,9.825,0,0,Denise Coats-Lauriat,Gina Fuller,Lois Colburn,Nichole Otterson,Evelyn Chandler,Tracy Brewer,Linda McDonald,Jan Eyman,Mark Welch,Terri Cooper,Shawn Ellis-Williams,Kevin Freeman,Robin Smith,Michelle Nietsche,Marilyn Blilie,Melissa Phillips,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Cam Barber,.,9.825,9.75,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Grace Bardes,9.7,9.575,.,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Pixie Brock,.,.,9.775,9.725,0.1,1,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Brooke Bruder,9.5,.,.,9.75,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,1,1,Briona Carswell,.,.,9.775,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Jessica Kirkpatrick,9.675,8.85,.,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Natalie Meyer,.,.,.,9.55,0.1,1,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Grace Nelson,9.55,.,.,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Heidi Sand,9.8,8.6,.,9.775,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Elizabeth Shearns,.,9.6,.,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Valerie Smith,.,.,9.675,.,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,0,0,Cameo Stapleton,.,.,8.9,9.8,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,11,Air Force,Cadet West Gym,0,0,1,1,Daija Stevenson,9.75,9.775,9.875,9.9,0,0,Janet Earl,Cindy Miyake,Jan Harrison,Anne Hansen,Anne Hansen,Janet Earl,Jan Harrison,Cindy Miyake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Cam Barber,.,9.75,9.85,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Grace Bardes,9.625,9.675,.,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Pixie Brock,9.475,8.925,9.7,9.75,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Brooke Bruder,.,.,.,9.525,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,1,1,Briona Carswell,.,.,9.85,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Jessica Kirkpatrick,9.725,8.975,.,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Natalie Meyer,.,.,.,9.45,0.1,1,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Grace Nelson,9.45,.,.,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Heidi Sand,9.7,9.475,.,9.575,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Valerie Smith,.,.,9.125,.,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,0,0,Cameo Stapleton,.,.,9.725,9.75,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,10,Arizona,McKale Center,0,0,1,1,Daija Stevenson,9.775,9.675,9.85,9.75,0,0,Terri Watermeier,Fran Earles,Dianne Grayson,Kylie Fortunato,Patricia Miller,Lindsay Abney,Debra Anderson,Karen Udowitch,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Air Force,2021,9,Eastern Michigan,Convocation Center,0,0,0,0,Cam Barber,.,9.775,9.7,.,0,0,Mark Welch,Allison Gudel,Augusta Lipsey,Richard Sabel,Donna Moretti,Tina Snyder,Jane Droese,Heidi Curtis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
