team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Jessica Castles,9.625,.,.,.,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,1,0,Elena Deets,.,9.75,.,9.825,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Alysen Fears,.,9.875,9.475,9.85,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,1,0,Malia Hargrove,9.825,9.875,9.875,9.875,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Caroline Herry,9.825,.,9.9,9.95,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Mackinzie Kane,.,9.8,.,.,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,1,0,Sirena Linton,.,.,9.875,.,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Halli Mayberry,9.675,.,9.825,.,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Bailey McCabe,.,9.225,.,.,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,10,BYU,Smith Fieldhouse,1,1,0,0,Emily Mueller,9.825,9.8,8.975,9.8,0,0,Paige Callaway,Michelle Ripple,Nanette Walker,Denise Jensen,Denise Jensen,Paige Callaway,Michelle Ripple,Nanette Walker,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
