team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Courtney Blackson,9.625,9.8,.,9.85,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Talia Little,.,9.775,9.725,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,1,0,Emily Lopez,9.825,9.9,9.775,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,1,0,Emma Loyim,.,.,.,9.8,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Hope Masiado,9.7,.,9.625,9.65,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Elaina McGovern,.,.,.,9.8,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Emily Muhlenhaupt,.,9.925,9.375,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Maddi Nilson,9.675,9.85,.,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Blake Pascal,.,.,.,8.9,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Adriana Popp,.,.,9.9,9.775,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Samantha Smith,9.775,.,.,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,0,0,Alexis Stokes,.,9.9,9.7,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,8,Arizona State,Desert Financial Arena,0,0,1,0,Alyssa Vulaj,9.825,.,.,.,0,0,Kevin Freeman,Crystal Gunter,Pamela Evans,Jeana Ely,Amanda Kay Turko,Augusta Lipsey,Debra Anderson,Alice Porter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,7,Illinois,Huff Hall,0,0,0,0,Courtney Blackson,9.9,9.3,.,9.85,0,0,Jami Pillasch,Gwyneth Milbrath,Brianna Spencer,Stacey Mooney,Judy Harwood,Patricia Boudreaux,Danielle Baxter,Shane Sanders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,7,Illinois,Huff Hall,0,0,0,0,Talia Little,.,9.825,9.775,.,0,0,Jami Pillasch,Gwyneth Milbrath,Brianna Spencer,Stacey Mooney,Judy Harwood,Patricia Boudreaux,Danielle Baxter,Shane Sanders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,7,Illinois,Huff Hall,0,0,1,0,Emily Lopez,9.9,9.95,9.85,.,0,0,Jami Pillasch,Gwyneth Milbrath,Brianna Spencer,Stacey Mooney,Judy Harwood,Patricia Boudreaux,Danielle Baxter,Shane Sanders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise State,2022,7,Illinois,Huff Hall,0,0,1,0,Emma Loyim,.,.,9.1,.,0,0,Jami Pillasch,Gwyneth Milbrath,Brianna Spencer,Stacey Mooney,Judy Harwood,Patricia Boudreaux,Danielle Baxter,Shane Sanders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
