team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Denver,2021,13,Neutral,Dickies Arena,0,1,1,1,Lynnzee Brown,9.3375,9.9,9.9125,9.9375,0,0,Paul Padron,Melissa Marcucci,Linda McDonald,Lisa Boylan,Donnalyn Trevethan,Jan Harrison,Jami Pillasch,Helena Brizzi,Claire Pore,Carole Ide,Lynne Clemente,Kelly Dornon,Laura DeFrancesco,Dianne Grayson,Cookie Batsche,Linda Fenton,Karen Tilton,Terri Watermeier,Mary Lou Dillard,John O'Dell,Kim Riley,Ricky Stakem,Denise Coats-Lauriat,Daren Renna
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,1,1,Lynnzee Brown,9.85,10,9.9,10,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,0,0,Rosie Casali,9.75,9.85,.,9.75,0.1,1,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,0,0,Jessica Hutchinson,9.875,9.825,9.775,9.95,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,1,0,Bella Mabanta,.,.,9.225,.,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,0,0,Rylie Mundell,9.875,9.85,.,.,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,1,0,Alexandria Ruiz,9.8,9.675,9.8,9.875,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,0,0,Mia Sundstrom,9.875,9.225,.,.,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,0,0,Abbie Thompson,.,.,9.9,9.9,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,12,Neutral,Stegeman Coliseum,0,0,1,0,Alexis Vasquez,.,.,9.95,.,0,0,Kim Riley,Laurie Volkmann,Linda Thorberg,Donagene Jones,Carole Ide,Kandra Graham,Lisa Boylan,Beth Renwick,Shelley Chapman,Jeanne de Keyserling,Dianne Grayson,Cynthia Davis,Patricia Boudreaux,Patty Colarossi,Mark Welch,Judy Durr,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,1,1,Lynnzee Brown,9.975,9.9,9.9,9.95,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,0,0,Rosie Casali,9.7,9.825,.,9.875,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,0,0,Emily Glynn,.,9.65,.,.,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,0,0,Jessica Hutchinson,9.85,9.875,9.875,9.9,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,1,0,Bella Mabanta,.,.,9.15,.,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,1,0,Alexandria Ruiz,9.775,9.725,9.775,9.8,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,0,0,Mia Sundstrom,9.85,9.35,.,.,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,0,0,Abbie Thompson,9.5,.,9.875,9.9,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,11,Neutral,Stegeman Coliseum,0,0,1,0,Alexis Vasquez,.,.,9.8,.,0,0,Lisa Boylan,Dianne Grayson,Kim Riley,Mark Welch,Linda Thorberg,Judy Durr,Carole Ide,Shelley Chapman,Patty Colarossi,Beth Renwick,Laurie Volkmann,Kandra Graham,Jeanne de Keyserling,Donagene Jones,Cynthia Davis,Patricia Boudreaux,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,1,1,Lynnzee Brown,9.9,10,9.875,9.95,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,0,0,Rosie Casali,9.8,9.9,.,9.875,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,0,0,Emily Glynn,9.9,9.875,.,9.875,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,0,0,Jessica Hutchinson,9.85,9.9,9.725,9.875,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,1,0,Bella Mabanta,.,.,9.9,.,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
Denver,2021,10,West Virginia,WVU Coliseum,0,0,1,0,Alexandria Ruiz,9.75,9.85,9.875,9.875,0,0,Jacqueline Brummer,Claire Pore,Toni Kardos,Helen Reading,Susan Leonelli,Jean Lippert,Janette Doucette,Martha Dunn,Tia Tedder,Julie Jarvis,Shawn Ellis-Williams,Christopher Bagneschi,Cynthia Hills,Kelly-Ann Rayle,Kim Silloway,Ricky Stakem,.,.,.,.,.,.,.,.
