team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,0,0,Isabella Decroo,.,8.3,.,9.85,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,Charlise Doctor,9.725,9.8,.,.,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,0,0,Isabelle Fox,9.375,.,9.725,9,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,J'Chelle Heard,9.75,.,.,.,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,0,0,Sofia Iribarren,.,9.9,.,.,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,Madison Kipp,.,9.85,9.775,.,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,Angelica Labat,9.925,9.8,9.85,9.875,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,Alana Laster,9.775,9.8,9.75,9.875,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,1,1,Jaye Mack,9.725,.,8.875,9.875,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Illinois State,2022,12,Illinois State,Redbird Arena,0,0,0,0,Mia Quigg,.,.,.,9.85,0,0,Patricia Faulkner,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Gwyneth Milbrath,Marilyn Wallace,Richard Sabel,Patricia Faulkner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
