team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Iowa,2017,15,Neutral,Chaifetz Arena,0,0,1,0,Clair Kaji,.,.,9.8625,.,0,0,Kathy Feldmann,Mary Ann West,Kelly Dornon,Winnie Witten,Cookie Batsche,Priscilla Hickey,Elizabeth Sue Kane,Evelyn Chandler,Diane Thompson,Kathleen Ortiz,Charlene Christensen,Paul Padron,Donnalyn Trevethan,Pamela Evans,Denise Coats-Lauriat,Ann Marie Heppner,Sylvia Lane,Jenna Karadbil,Kat Sgamba,Patty Vitale,Gail McGann,Nichole Otterson,Robin Smith,Amy Blee Fraser
Iowa,2017,15,Neutral,Chaifetz Arena,0,0,0,0,Angel Metcalf,9.725,9.8375,9.875,9.875,0,0,Kathy Feldmann,Mary Ann West,Kelly Dornon,Winnie Witten,Cookie Batsche,Priscilla Hickey,Elizabeth Sue Kane,Evelyn Chandler,Diane Thompson,Kathleen Ortiz,Charlene Christensen,Paul Padron,Donnalyn Trevethan,Pamela Evans,Denise Coats-Lauriat,Ann Marie Heppner,Sylvia Lane,Jenna Karadbil,Kat Sgamba,Patty Vitale,Gail McGann,Nichole Otterson,Robin Smith,Amy Blee Fraser
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Savannah Borman,.,.,9.875,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,1,0,Misty-Jade Carlson,9.7,.,.,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,1,0,Nicole Chow,.,.,.,9.775,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Mollie Drenth,9.7,9.85,9.325,9.775,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,1,0,Clair Kaji,.,9.7,9.95,9.85,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Angel Metcalf,9.7,9.8,9.95,9.85,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Lexi Mura,.,9.55,.,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Maria Ortiz,9.75,.,.,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Lanie Snyder,.,.,.,9.8,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Charlotte Sullivan,9.6,9.825,9.9,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Nikki Youd,.,.,9.925,.,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,14,Illinois,State Farm Center,0,0,0,0,Melissa Zurawaski,9.7,9.675,.,9.675,0,0,Linda Thorberg,Noelle Buell,Donnalyn Trevethan,Barbara Tebben,Charlene Christensen,John O'Dell,Jane Flynn,Linda McDonald,Vicki Smith,Gina Fuller,Stacey Mooney,Laura DeFrancesco,Kim Riley,Jeanelle Buseman,Windee Weiss,Anne-Michele Vogel,.,.,.,.,.,.,.,.
Iowa,2017,13,Rutgers,RAC,0,0,1,0,Misty-Jade Carlson,9.775,.,.,.,0,0,Alice Porter,Brant Lutska,Beth Renwick,Patty Vitale,Kim Riley,Jenna Karadbil,Terri Watermeier,Jane Ann Ingram,Elisabeth Hampe,Judy Durr,Elena Lowery,Marcy Blitz,Lynne Burke,Diana Lattimore,Ricky Stakem,Christopher Bagneschi,.,.,.,.,.,.,.,.
Iowa,2017,13,Rutgers,RAC,0,0,1,0,Nicole Chow,.,.,.,9.75,0,0,Alice Porter,Brant Lutska,Beth Renwick,Patty Vitale,Kim Riley,Jenna Karadbil,Terri Watermeier,Jane Ann Ingram,Elisabeth Hampe,Judy Durr,Elena Lowery,Marcy Blitz,Lynne Burke,Diana Lattimore,Ricky Stakem,Christopher Bagneschi,.,.,.,.,.,.,.,.
Iowa,2017,13,Rutgers,RAC,0,0,0,0,Mollie Drenth,9.8,.,9.925,9.825,0,0,Alice Porter,Brant Lutska,Beth Renwick,Patty Vitale,Kim Riley,Jenna Karadbil,Terri Watermeier,Jane Ann Ingram,Elisabeth Hampe,Judy Durr,Elena Lowery,Marcy Blitz,Lynne Burke,Diana Lattimore,Ricky Stakem,Christopher Bagneschi,.,.,.,.,.,.,.,.
