team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Penn State,2018,14,Neutral,Chaifetz Arena,0,0,0,0,Lauren Bridgens,9.8375,9.875,9.7375,9.7625,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Tompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Alissa Bonsall,9.75,.,.,9.775,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Lauren Bridgens,9.9,9.85,9.7,9.75,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,1,1,Kourtney Chinnery,9.8,.,.,.,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,1,0,Sabrina Garcia,9.7,9.75,9.7,9.7,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Mason Hosek,.,.,9.85,.,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Gianna LaGuardia,9.8,.,.,.,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Tess McCracken,.,9.75,9.7,.,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Kristen Politz,.,8.825,9.75,9.75,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
Penn State,2018,13,Penn State,Rec Hall,0,0,0,0,Peyton Schuller,.,.,.,9.8,0,0,Dean Ratliff,Lynn Day,Diane Thompson,Laurie DeFrancesco,Diane Grayson,Jane Flynn,Robin Ruegg,Katie Smigiel,Stephanie Kuhlmann,Stacey Mooney,Kelly Dornon,Erin Holly,Tina Paulos,Lynne Burke,Terri Watermeier,Cynthia Davis,.,.,.,.,.,.,.,.
