team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Alexis Belkoff,9.8,.,.,9.775,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Kendra Braida,.,.,9.85,.,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,1,1,Jordyn Brent,9.75,9.775,9.425,9.875,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Tara Catour,9.7,.,9,9.875,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Peyton Gillen,.,.,9.725,.,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,1,0,Amber Koeth,.,9.4,9.75,.,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,1,0,Bella Lahmidi,9.7,9.725,.,9.725,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Anna LeRoy,9.5,.,.,9.85,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Courtnee Marquez,.,8.875,.,.,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Shaye Mathias,.,9.575,.,.,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,10,Sac State,Hornets Nest,0,0,0,0,Taylor Weber,9,9.775,9.675,9.125,0,0,Laurie Russi,Jan Harrison,Diana Lattimore,Dianne Robinson,Diana Lattimore,Jan Harrison,Dianne Robinson,Laurie Russi,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Alexis Belkoff,9.675,.,.,9.575,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Kendra Braida,.,.,9.85,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,1,1,Jordyn Brent,9.7,9.85,9.8,9.825,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Tara Catour,9.6,.,9.1,9.65,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Peyton Gillen,.,.,9.65,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,1,0,Amber Koeth,.,9.625,9.9,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,1,0,Bella Lahmidi,9.575,9.55,.,9.675,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Anna LeRoy,.,.,.,9.775,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Kelly MacLeod,9.475,.,.,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Courtnee Marquez,.,9.75,.,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Shaye Mathias,.,9.625,.,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,1,1,Destiny Watley,9.7,9.65,.,6.65,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,9,Sac State,Hornets Nest,0,0,0,0,Taylor Weber,.,.,9.775,.,0,0,Leesa Berahovich,Judy Denny,Jamie O'Neil,Kathy Lopes,Kathy Lopes,Judy Denny,Jamie O'Neil,Leesa Berahovich,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Alexis Belkoff,9.65,.,.,9.7,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Kendra Braida,.,.,9.775,9.475,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,1,1,Jordyn Brent,9.675,9.6,9.675,9.85,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Tara Catour,9.125,.,9.775,9.775,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Peyton Gillen,9.575,.,9.775,.,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,1,0,Amber Koeth,.,.,9.775,.,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,1,0,Bella Lahmidi,9.075,9.05,.,9.525,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Anna LeRoy,.,.,.,9.775,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Courtnee Marquez,.,9.6,.,.,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sac State,2020,8,Boise State,ExtraMile Arena,0,0,0,0,Shaye Mathias,.,9.525,.,.,0,0,Noelle Buell,Delia Harvey,Terri Watermeier,Sherri McCullen,Janet Earl,Tracy Loffer,Cydni Medeiros,Diane Lohner,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
