team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
SUU,2022,10,SUU,America First Event Center,0,0,1,1,Morgan Alfaro,9.875,.,.,.,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,0,0,Mayson Bentley,.,9.25,.,.,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,0,0,Anna Hartley,9.775,.,.,.,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,0,0,Kayla Horton,.,.,.,9.825,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,1,0,Caitlin Kho,9.875,.,.,.,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,1,1,Karley McClain,.,9.825,9.725,9.875,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,1,0,Shylen Murakami,.,9.925,9.875,.,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,1,0,Hannah Nipp,.,9.825,9.925,9.9,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,0,0,Aubri Schwartze,.,9.825,9.925,9.8,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SUU,2022,10,SUU,America First Event Center,0,0,0,0,Rachel Smith,9.825,.,9.825,9.775,0,0,Robin Smith,Patricia Bryant,Cynthia Lord,Denise Jensen,Denise Jensen,Robin Smith,Patricia Bryant,Cynthia Lord,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
