team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
TWU,2018,16,TWU,Kitty Magee Arena,0,0,0,0,Schyler Jones,9.9125,9.85,9.825,9.9,0,0,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Lois Colburn,Marilyn Blilie,Mark Welch,Marline Blaze,Dawn Kiss,Rose Brady,Judy Durr,Denise Coats-Lauriat,.,.,.,.,.,.,.,.
TWU,2018,16,TWU,Kitty Magee Arena,0,0,0,0,Alyssa Kelly,.,.,9.825,.,0,0,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Lois Colburn,Marilyn Blilie,Mark Welch,Marline Blaze,Dawn Kiss,Rose Brady,Judy Durr,Denise Coats-Lauriat,.,.,.,.,.,.,.,.
TWU,2018,16,TWU,Kitty Magee Arena,0,0,0,0,Mallory Moredock,9.8875,.,.,9.05,0,0,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Lois Colburn,Marilyn Blilie,Mark Welch,Marline Blaze,Dawn Kiss,Rose Brady,Judy Durr,Denise Coats-Lauriat,.,.,.,.,.,.,.,.
TWU,2018,16,TWU,Kitty Magee Arena,0,0,0,0,Bria Northrop,.,9.775,.,.,0,0,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Lois Colburn,Marilyn Blilie,Mark Welch,Marline Blaze,Dawn Kiss,Rose Brady,Judy Durr,Denise Coats-Lauriat,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Erin Alderman,.,.,9.725,9.85,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Morgan Colee,9.75,9.525,.,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Madison Dickson,.,.,9.475,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Megan Gentry,9.85,.,.,9.725,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Schyler Jones,9.9,9.775,9.825,9.925,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Alyssa Kelly,.,9.825,9.875,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Brandi Lazarus,9.8,.,.,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Mallory Moredock,9.875,.,9.825,9.9,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Bria Northrop,.,9.9,.,9.85,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Hope Parkin ,9.775,.,.,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Abigail Versemann,.,9.7,.,9.7,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,15,TWU,Kitty Magee Arena,0,0,0,0,Hunter Vincent,.,9.825,9.8,.,0,0,Rose Brady,Marilyn Blilie,Mark Welch,Denise Coats-Lauriat,Lois Colburn,Dawn Kiss,Judy Durr,Marline Blaze,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Erin Alderman,9.1,.,9.875,9.625,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Morgan Colee,.,9.75,.,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Madison Dickson,.,.,9.8,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Megan Gentry,9.725,.,.,9.85,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Schyler Jones,9.85,9.9,9.925,9.925,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Alyssa Kelly,.,9,9.85,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Brandi Lazarus,9.725,.,.,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Mallory Moredock,9.775,.,9.775,9.95,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Bria Northrop,.,9.85,.,9.8,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Hope Parkin ,9.7,.,.,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Abigail Versemann,.,9.7,9.65,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,14,TWU,Kitty Magee Arena,0,0,0,0,Hunter Vincent,.,9.325,9.7,.,0,0,Mark Welch,Marline Blaze,Lois Colburn,Marilyn Blilie,Judy Durr,Denise Coats-Lauriat,Dawn Kiss,Rose Brady,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,13,Alabama,Coleman Coliseum,0,0,0,0,Schyler Jones,9.825,.,.,.,0,0,Jami Pillasch,Sibby Lane,Evelyn Chandler,Christine Shaw,Linda Morton,Rebecca Oppenheimer,Pamela Evans,Nichole Otterson,Mark Welch,Brooke Bennett,Jeana Ely,Anne-Michele Vogel,Jan Harrison,Jasmine Swyningan,Jo Ann Borda,Mary Hoagland,.,.,.,.,.,.,.,.
TWU,2018,13,Alabama,Coleman Coliseum,0,0,0,0,Mallory Moredock,.,.,9.15,.,0,0,Jami Pillasch,Sibby Lane,Evelyn Chandler,Christine Shaw,Linda Morton,Rebecca Oppenheimer,Pamela Evans,Nichole Otterson,Mark Welch,Brooke Bennett,Jeana Ely,Anne-Michele Vogel,Jan Harrison,Jasmine Swyningan,Jo Ann Borda,Mary Hoagland,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Morgan Colee,9.55,9.625,.,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Madison Dickson,.,.,9.625,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Megan Gentry,9.75,.,.,9.7,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Schyler Jones,9.8,9.6,9.9,9.85,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Alyssa Kelly,.,9.825,9.8,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Brandi Lazarus,9.775,8.325,8.45,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Mallory Moredock,9.675,.,9.9,9.875,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Bria Northrop,.,9.75,.,9.35,0.1,1,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Hope Parkin ,9.575,.,.,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Bridgette Peterson,.,.,.,9.675,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Abigail Versemann,.,.,.,9.625,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,12,Lindenwood,Hyland Arena,0,0,0,0,Hunter Vincent,.,9.725,9.6,.,0,0,Judy Durr,JoAnne Connell,Nichole Otterson,Jennifer Sampson,Robin Ruegg,Paige Callaway,Jane Flynn,Rebecca Dangrove,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,11,TWU,Kitty Magee Arena,0,0,0,0,Erin Alderman,9.675,.,8.6,8.65,0,0,Kathrynn Murray,Tracy Brewer,Paige Callaway,Amanda Heidel,Tracy Brewer,Paige Callaway,Kathrynn Murray,Amanda Heidel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,11,TWU,Kitty Magee Arena,0,0,0,0,Megan Gentry,9.725,.,.,.,0,0,Kathrynn Murray,Tracy Brewer,Paige Callaway,Amanda Heidel,Tracy Brewer,Paige Callaway,Kathrynn Murray,Amanda Heidel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TWU,2018,11,TWU,Kitty Magee Arena,0,0,0,0,Schyler Jones,9.85,9.8,9.85,9.9,0,0,Kathrynn Murray,Tracy Brewer,Paige Callaway,Amanda Heidel,Tracy Brewer,Paige Callaway,Kathrynn Murray,Amanda Heidel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
