team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Alicia Gallarzo,9.8625,.,9.725,9.7375,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,1,Kyana George,9.825,9.8875,9.8125,9.8125,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,0,0,Cassidy Keelen,9.7875,.,9.75,.,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,1,Arianna Robinson,9.875,.,.,9.7875,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Nina Schank,.,9.825,.,.,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Sofie Seilnacht,.,9.85,9.725,9.6,0.1,1,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Sylvie Seilnacht,9.85,.,.,9.7875,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Chelsea Shu,.,.,9.85,.,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,1,0,Yuleen Sternberg,.,9.8125,.,.,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
UC Berkeley,2018,14,Neutral,Chaifetz Arena,0,1,0,0,Emi Watterson,.,9.8375,.,.,0,0,Jennifer Spering,Linda Thorberg,Denise Green,Paul Padron,Marilyn Blilie,Donnalyn Trevethan,Mary Ann West,Carole Bunge,Evelyn Chandler,Kim Riley,Lois Colburn,Gay-Anne Valkoun,Linda Fenton,Laurie DeFrancesco,Diane Thompson,Amanda Kay Turko,Marian DeWane,Mary Joe Roehrig,Gina Fuller,Sylvia Lane,Maureen Blair,Linda McDonald,Janine Dent,Robin Smith
