team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Alexia Burch,9.8125,.,9.7625,.,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Hunter Dula,.,9.8375,.,.,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,1,0,Kari Lee,9.8375,9.7875,9.8,9.825,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,MaKenna Merrell-Giles,9.9,9.875,9.0875,9.875,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Adrienne Randall,.,.,9.7125,9.7125,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Missy Reinstadtler,.,9.8625,.,.,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Macey Roberts,9.75,.,.,9.8375,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,MyKayla Skinner,9.925,9.9125,9.775,9.9375,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,0,0,Sydney Soloski,.,.,9.8125,9.8375,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,15,Neutral,Fort Worth,0,0,1,0,Kim Tessen,9.225,9.8375,.,.,0,0,Linda Thorberg,Denise Green,Marilyn Blilie,Lois Colburn,Carole Bunge,Paul Padron,Evelyn Chandler,Donnalyn Trevethan,Kelly Dornon,Diane Cote-Burk,Rebecca Oppenheimer,Marian DeWane,Mary Lou Dillard,Laurie DeFrancesco,Charlene Christensen,Linda McDonald,Robin Smith,Beth Renwick,Kim Riley,Karen Pleasants,Winnie Witten,Mark Welch,Brant Lutska,Andrea Alameda
Utah,2019,14,LSU,Baton Rouge,0,0,0,0,Alexia Burch,9.85,.,9.825,.,0,0,Laurie Reid,Susan Leonelli,Winnie Witten,Mark Welch,Linda McDonald,Sally Buchanan,Lois Colburn,Karen Pleasants,Nichole Otterson,Kathryn Shiller,Beth Renwick,Sibby Lane,Janine Bissonnette,Joann Borda,Linda Fenton,Sandra Evanoff,.,.,.,.,.,.,.,.
