team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,0,0,Molly Arnold,9.775,9,.,9.825,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,0,0,Carley Bayles,.,.,9.8,.,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,0,0,Brianna Brooks,9.775,9.8,9.75,.,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,1,1,Trinity Brown,9.825,.,.,9.875,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,1,1,Brie Clark,9.575,.,9.85,9.925,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,1,1,Amari Evans,.,.,.,9.8,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,0,0,Maia Fishwick,.,9.825,.,.,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,1,0,Jessica Gutierrez,.,9.825,.,.,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,1,1,Eve Jackson,9.775,8.725,.,9.8,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Utah State,2022,11,Minnesota,"Minneapolis, MN",0,0,0,0,Kielyn McCright,.,.,9.6,.,0,0,Kylie Fortunato,Jennifer Battaglia,Amy Blee,Cynthia Davis,Jane Ann Ingram,Anna Nikolaeva,Tammye Goehring,Jasmine Swyningan,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
