team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Ashley Blum,9.75,.,.,9.75,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Morgan Bowles,.,8.8,.,.,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,1,1,Brenna Brooks,9.65,9.8,9.925,.,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,1,1,Amara Cunningham,9.875,.,.,9.925,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Kennedi Davis,9.8,.,9.9,.,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Skylar Killough-Wilhelm,.,9.9,9.925,9.85,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,1,0,Lana Navarro,9.775,.,9.775,9.85,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Taylor Russon,.,9.725,9.85,.,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Lauren Thomas,.,9.85,9.825,.,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Washington,2022,11,Washington,Alaska Airlines Arena,0,0,0,0,Geneva Thompson,9.9,9.825,.,9.9,0,0,Noelle Buell,Erin Jacobsen,Nola Ayres,Anne Brown,Nola Ayres,Erin Jacobsen,Anne Brown,Noelle Buell,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
