team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Ariana Desouza,9.4250,,,9.6500
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Montana Fairbairn,9.6000,9.0750,9.5250,9.7500
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Silje Hildebrand,9.2250,,8.5000,8.8000
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Jessica Johnson,,9.5250,9.6750,
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Brooklyn Kopsack,9.5750,,,
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Claudia Lessig,,9.5500,9.0000,8.6000
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Maddy Murphy,9.6250,,,8.7000
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Hayley Perkins,,8.1500,,9.3750
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Paola  Ruano Barahona,,7.4250,,
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Breeann Spain,,,9.3000,
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Avery Tillmanns,9.4500,,,
Alaska,2024,1,no meet title,Jan-19-2024,Alaska,Emily Walker,,9.8000,8.7000,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Marcela Bonifasi,,,9.6250,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Ariana Desouza,9.5000,,,9.7250
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Montana Fairbairn,9.7000,9.0750,9.7750,9.8000
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Madelyn Gomez,,9.3500,,9.4000
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Silje Hildebrand,9.6750,,,9.6750
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Jessica Johnson,,8.2500,9.7750,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Brooklyn Kopsack,9.5000,,,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Claudia Lessig,,8.8500,9.6750,9.4750
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Maddy Murphy,9.6250,,,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Hayley Perkins,,9.6000,,9.4000
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Breeann Spain,,,8.3750,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Avery Tillmanns,9.5000,,,
Alaska,2024,2,no meet title,Jan-21-2024,Alaska,Emily Walker,,9.6000,9.6500,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Marcela Bonifasi,,,8.7750,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Ariana Desouza,9.5000,,,9.7250
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Montana Fairbairn,9.6250,,9.3000,8.1000
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Madelyn Gomez,,9.7250,,9.1750
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Silje Hildebrand,9.4750,,,9.4750
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Jessica Johnson,,9.6500,9.6000,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Brooklyn Kopsack,9.5500,,,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Claudia Lessig,,9.6750,9.7500,9.1750
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Maddy Murphy,9.5750,,,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Jada Niles,,9.7500,,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Hayley Perkins,,9.7250,,9.4000
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Paola  Ruano Barahona,,,9.6500,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Avery Tillmanns,9.4500,,,
Alaska,2024,3,no meet title,Jan-26-2024,Bridgeport,Emily Walker,,9.8000,9.4750,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Ariana Desouza,9.4750,,9.7250,9.5500
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Montana Fairbairn,9.7000,,9.8500,9.7750
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Madelyn Gomez,,8.9500,,9.4000
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Silje Hildebrand,9.2750,,,9.6500
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Jessica Johnson,,9.3500,9.7250,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Brooklyn Kopsack,9.5250,,,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Claudia Lessig,,9.6750,9.7500,9.3250
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Maddy Murphy,9.7750,,,9.6250
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Jada Niles,,9.4750,,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Hayley Perkins,,9.5750,,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Paola  Ruano Barahona,,,9.7500,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Avery Tillmanns,9.4250,,,
Alaska,2024,4,no meet title,Jan-28-2024,Brown,Emily Walker,,9.6500,9.3000,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Marcela Bonifasi,,,9.7250,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Ariana Desouza,9.4500,,9.7750,9.6750
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Montana Fairbairn,9.6250,,9.1250,9.7000
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Madelyn Gomez,,,,9.4750
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Silje Hildebrand,9.1000,,,9.8250
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Jessica Johnson,,8.2000,9.8500,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Brooklyn Kopsack,9.3000,,,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Claudia Lessig,,9.7250,9.8750,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Maddy Murphy,9.4750,,,9.6250
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Jada Niles,,9.6250,,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Hayley Perkins,,9.5750,,9.4000
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Paola  Ruano Barahona,,8.9500,,
Alaska,2024,5,no meet title,Feb-09-2024,Centenary College,Avery Tillmanns,9.3750,,,
