team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Juliette Boyer,9.7750,9.8250,9.7250,9.8000
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Sarah Clark,,9.8500,8.6750,9.6750
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Cairo Leonard-Baker,9.8250,9.8250,9.0000,9.8000
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Jada Mangahas,9.7750,,,9.5750
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Gracie Reeves,9.7250,9.7750,9.7250,
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Hannah Scharf,9.7500,9.8250,9.7000,9.6750
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Anaya Smith,9.8500,,,
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Megan Thompson,,,9.8000,9.6750
Arizona State,2021,1,no meet title,Jan-10-2021,Oklahoma,Emily White,,9.8500,,
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Cassi Barbanente,9.7500,,,
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Juliette Boyer,9.7000,9.8250,9.3250,9.8500
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Sarah Clark,,9.7500,9.9000,9.8000
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Cairo Leonard-Baker,9.7250,9.8750,,
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Jada Mangahas,9.7250,,,9.7750
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Gracie Reeves,,9.7000,9.8500,
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Hannah Scharf,9.8250,9.8500,9.9250,9.9000
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Anaya Smith,9.8500,,,
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Megan Thompson,,,9.8500,9.7250
Arizona State,2021,2,no meet title,Jan-16-2021,Arizona State,Emily White,,9.8250,9.7000,9.6500
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Cassi Barbanente,9.6250,,,
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Juliette Boyer,9.7250,9.8250,,9.6250
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Sarah Clark,,9.7500,9.8250,9.6750
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Cairo Leonard-Baker,,9.8500,,
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Jada Mangahas,9.8000,,9.7750,9.8500
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Gracie Reeves,,9.7250,9.8000,
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Hannah Scharf,9.8750,9.8750,9.8500,9.8750
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Anaya Smith,9.7750,,,
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Megan Thompson,,,9.7250,9.6750
Arizona State,2021,3,no meet title,Jan-23-2021,UCLA,Emily White,9.8000,9.8500,9.8500,9.6500
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Juliette Boyer,,9.8000,,9.8000
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Sarah Clark,,9.9000,9.8250,9.8000
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Cairo Leonard-Baker,9.8500,9.8750,,9.8000
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Jada Mangahas,9.5000,,9.7000,9.8250
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Gracie Reeves,9.5250,9.7500,9.7250,9.7500
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Hannah Scharf,9.8000,9.8750,9.8500,9.8500
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Anaya Smith,9.8750,,,
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Megan Thompson,,,9.8250,
Arizona State,2021,4,no meet title,Jan-29-2021,Arizona State,Emily White,9.7500,9.8500,9.8250,
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Cassi Barbanente,9.8250,,,
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Juliette Boyer,,9.9250,,9.5750
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Sarah Clark,,9.9000,9.8500,9.8750
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Cairo Leonard-Baker,9.9000,9.8750,,9.9000
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Jada Mangahas,9.8500,,9.7500,9.8500
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Gracie Reeves,,9.7500,9.7750,9.8500
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Hannah Scharf,9.9000,9.8750,9.7750,9.9250
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Anaya Smith,9.8750,,,
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Megan Thompson,,,9.8000,
Arizona State,2021,5,no meet title,Feb-06-2021,Arizona State,Emily White,9.8250,9.8000,9.8250,
Arizona State,2021,6,no meet title,Feb-14-2021,California,Cassi Barbanente,9.7750,,,
Arizona State,2021,6,no meet title,Feb-14-2021,California,Juliette Boyer,,9.8250,,9.8750
Arizona State,2021,6,no meet title,Feb-14-2021,California,Sarah Clark,,9.7750,9.9500,9.8250
Arizona State,2021,6,no meet title,Feb-14-2021,California,Cairo Leonard-Baker,9.8000,9.3500,,9.9000
Arizona State,2021,6,no meet title,Feb-14-2021,California,Jada Mangahas,9.7750,,9.7000,9.8250
Arizona State,2021,6,no meet title,Feb-14-2021,California,Gracie Reeves,,9.7500,9.7500,9.7250
Arizona State,2021,6,no meet title,Feb-14-2021,California,Hannah Scharf,9.8750,9.8750,9.0250,9.9000
Arizona State,2021,6,no meet title,Feb-14-2021,California,Anaya Smith,9.9250,,,
Arizona State,2021,6,no meet title,Feb-14-2021,California,Megan Thompson,,,9.8000,
Arizona State,2021,6,no meet title,Feb-14-2021,California,Emily White,9.8250,9.8500,9.8500,
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Juliette Boyer,,9.2750,,9.8000
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Sarah Clark,,9.9000,9.7750,9.8500
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Jasmine Gutierrez,,,9.8500,
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Jordyn Jaslow,9.8000,,,
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Cairo Leonard-Baker,9.8750,9.9000,,9.9000
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Jada Mangahas,9.8500,,,9.8500
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Gracie Reeves,,9.8250,9.8500,9.8250
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Hannah Scharf,9.8750,9.8500,9.8750,9.9500
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Anaya Smith,9.9000,,,
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Megan Thompson,,,9.8750,
Arizona State,2021,7,no meet title,Feb-24-2021,Arizona State,Emily White,9.8250,9.9250,9.9000,
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Juliette Boyer,,9.8250,,9.9000
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Sarah Clark,,9.9250,9.8000,9.7000
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Jasmine Gutierrez,,,9.8000,
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Jordyn Jaslow,9.5000,,,
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Cairo Leonard-Baker,9.8250,9.9000,,9.9250
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Jada Mangahas,9.8250,,,9.8750
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Gracie Reeves,,9.8000,8.9250,9.8000
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Hannah Scharf,9.8500,9.8750,9.9000,9.8750
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Anaya Smith,9.9000,,,
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Megan Thompson,,,9.8250,
Arizona State,2021,8,no meet title,Feb-28-2021,Washington,Emily White,9.8000,9.7750,9.8250,
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Juliette Boyer,,9.8500,,9.8250
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Sarah Clark,,9.8750,9.1250,9.8000
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Jasmine Gutierrez,,,9.8250,9.8500
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Cairo Leonard-Baker,9.8000,9.9000,,9.9000
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Jada Mangahas,9.7500,,,9.9000
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Gracie Reeves,9.6750,9.7250,9.7250,
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Hannah Scharf,9.8500,9.8000,9.2750,9.9250
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Anaya Smith,9.9000,,,
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Megan Thompson,,,9.7500,
Arizona State,2021,9,no meet title,Mar-06-2021,Arizona State,Emily White,9.7750,9.7750,9.8500,
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Cassi Barbanente,9.7750,9.7750,,
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Juliette Boyer,,9.8750,,9.8500
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Sarah Clark,,8.8500,9.1500,9.8500
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Jasmine Gutierrez,,,9.7750,9.7500
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Cairo Leonard-Baker,9.8500,9.9000,,9.9250
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Jada Mangahas,9.6500,,,9.7250
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Gracie Reeves,,,9.7500,
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Hannah Scharf,9.8000,9.9000,9.8500,9.9250
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Anaya Smith,9.8750,,,
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Megan Thompson,,,9.8500,
Arizona State,2021,10,no meet title,Mar-12-2021,Boise State,Emily White,9.7500,9.8000,9.8750,
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Cassi Barbanente,9.7750,9.7750,,
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Juliette Boyer,,9.8750,,9.6500
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Sarah Clark,,9.8250,9.7500,9.8000
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Jasmine Gutierrez,,,9.6250,9.7250
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Cairo Leonard-Baker,9.8500,9.8750,,9.7000
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Jada Mangahas,9.7750,,,9.9000
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Gracie Reeves,,,9.7500,
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Hannah Scharf,9.8750,9.7750,9.8500,9.8500
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Anaya Smith,9.9250,,,
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Megan Thompson,,,9.8500,
Arizona State,2021,11,Pac-12 Conference,Mar-20-2021,,Emily White,9.7250,9.7750,9.8750,
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Cassi Barbanente,9.8000,9.8000,,
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Juliette Boyer,,9.8500,,
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Sarah Clark,,9.8500,9.1500,9.8000
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Jasmine Gutierrez,,,9.7250,9.8500
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Cairo Leonard-Baker,9.8250,9.9500,,9.8750
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Jada Mangahas,9.8250,,,9.8250
Arizona State,2021,12,Utah Regional 2,Apr-02-2021,,Gracie Reeves,,,9.7250,9.8000
