team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Mackenzie Barile,,,9.8250,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Payton Bellows,9.8000,,,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Jessica Castles,,,9.9000,9.7500
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Elena Deets,,9.8750,9.2000,9.7500
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Malia Hargrove,9.8500,9.7750,,9.0250
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Caroline Herry,9.7000,,9.8000,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Laura Leigh Horton,9.7000,,,9.8000
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Mackinzie Kane,,5.0000,,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Sirena Linton,,9.7250,9.8500,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Bailey McCabe,,9.8000,,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Danielle Nosek,9.7250,,,9.6500
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Libby Orman,,,,9.8250
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Taylor Raskin,,9.7750,,
Arizona,2021,1,no meet title,Jan-23-2021,Utah,Avery Stauffacher,,,9.7750,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Mackenzie Barile,,,9.3750,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Payton Bellows,9.8000,,,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Jessica Castles,9.8250,,9.8750,9.8750
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Elena Deets,,9.8000,9.8000,9.8000
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Malia Hargrove,9.8750,9.6000,,9.9000
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Caroline Herry,9.7000,,9.8000,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Laura Leigh Horton,9.6500,,,9.7750
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Mackinzie Kane,,9.7000,,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Sirena Linton,,9.7250,9.8500,
Arizona,2021,2,no meet title,Jan-31-2021,Arizona,Bailey McCabe,,9.2500,,
