team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Amanda Elswick,9.8500,,9.8250,
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Kiara Gianfagna,,9.7750,9.7750,
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Kennedy Hambrick,9.8250,9.8500,9.8250,9.8500
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Madison Hickey,9.7750,,,9.8000
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Maddie Jones,,,,9.8000
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Emma Kelley,9.8000,9.6500,,9.0500
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Bailey Lovett,,,9.3500,9.8750
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Maggie O'Hara,,9.8000,,
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Savannah Pennese,9.8250,,,9.7750
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Jensen Scalzo,,9.1500,,
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Makenzie Sedlacek,9.7000,,9.8250,
Arkansas,2022,1,no meet title,Jan-07-2022,Arkansas,Sarah Shaffer,,8.1000,9.8000,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Amanda Elswick,9.9000,,9.8750,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Kiara Gianfagna,,,9.8250,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Kennedy Hambrick,9.7750,9.9250,9.9500,9.8750
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Madison Hickey,,,,9.8250
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Bailey Lovett,,,9.9000,9.8750
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Maggie O'Hara,,9.9500,,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Savannah Pennese,9.7750,,,9.8750
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Jensen Scalzo,,9.9000,,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Makenzie Sedlacek,9.8000,9.7000,9.7500,
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Sarah Shaffer,,9.9250,,9.8000
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Leah Smith,9.8000,9.8500,9.6750,9.8500
Arkansas,2022,2,no meet title,Jan-14-2022,Arkansas,Cami Weaver,9.3000,,,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Amanda Elswick,9.7000,,9.9250,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Kiara Gianfagna,,9.6250,9.8000,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Kennedy Hambrick,9.8500,9.8500,9.9250,9.8500
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Madison Hickey,,,,9.7750
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Bailey Lovett,,,9.9250,9.9000
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Maggie O'Hara,,9.0250,,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Savannah Pennese,9.7750,,,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Jensen Scalzo,,9.7750,,
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Makenzie Sedlacek,9.7750,,9.7500,9.8500
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Sarah Shaffer,9.8500,9.7250,,9.6750
Arkansas,2022,3,no meet title,Jan-28-2022,Florida,Leah Smith,9.7750,9.8000,9.9000,9.8250
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Amanda Elswick,9.9000,,9.9500,
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Kiara Gianfagna,,,9.6000,
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Kennedy Hambrick,9.9250,9.5250,9.9750,9.9500
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Madison Hickey,,,,9.9000
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Maddie Jones,,9.8500,,9.8750
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Emma Kelley,9.7750,,,
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Bailey Lovett,,,9.7750,9.9250
Arkansas,2022,4,no meet title,Feb-06-2022,Arkansas,Maggie O'Hara,,9.3750,,
