team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Caitlin Atkinson,9.8750,9.2500,9.8500,9.6500
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Lexus Demers,9.7750,,9.8500,9.8250
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Sarah Garcia,8.6750,,,
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Bri Guy,,9.7750,9.8000,
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Kullen Hlawek,,9.6500,,
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Caryn Kadous,,,8.9250,
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Kait Kluz,9.2000,9.7500,,9.7750
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Kelsey Kopec,,9.7000,,
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,MJ Rott,9.7750,,9.3250,1.0000
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Megan Walker,,9.8000,9.8250,9.6250
Auburn,2015,1,no meet title,Jan-09-2015,North Carolina,Brittany Webster,9.6250,,,9.7000
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Caitlin Atkinson,9.9000,9.8250,9.9250,9.8500
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Lexus Demers,9.8250,,8.9750,9.8250
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Bri Guy,9.8000,9.7750,9.8750,
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Kullen Hlawek,,9.7250,,
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Caryn Kadous,,,9.8750,
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Kait Kluz,9.7750,9.7500,,9.8000
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Kelsey Kopec,,9.8000,,
Auburn,2015,2,no meet title,Jan-16-2015,Florida,MJ Rott,9.8500,,9.4750,9.6500
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Megan Walker,,9.8000,9.3250,9.7750
Auburn,2015,2,no meet title,Jan-16-2015,Florida,Brittany Webster,9.6500,,,9.8250
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Caitlin Atkinson,9.8500,9.9250,9.8250,9.8500
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Lexus Demers,9.6750,,9.8750,9.7750
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Bri Guy,9.8000,9.9000,9.8750,
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Kullen Hlawek,,9.8250,,
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Caryn Kadous,,,9.6750,
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Kait Kluz,9.8250,9.9250,,9.8500
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Kelsey Kopec,,9.9000,,
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,MJ Rott,9.9000,,9.1500,9.8500
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Megan Walker,,9.8750,9.9000,9.8250
Auburn,2015,3,no meet title,Jan-23-2015,Auburn,Brittany Webster,9.7500,,,9.9000
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Caitlin Atkinson,9.8250,9.8500,9.8250,9.9000
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Lexus Demers,9.9250,,9.8250,9.7500
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Bri Guy,9.7750,9.8000,9.8000,
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Kullen Hlawek,,,,9.8250
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Caryn Kadous,,,9.7750,
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Kait Kluz,9.2250,9.8250,,9.8500
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Kelsey Kopec,,9.8250,,
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Abby Milliet,,9.7000,9.7250,
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,MJ Rott,9.8250,,,9.8500
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Megan Walker,,9.8750,9.8500,
Auburn,2015,4,no meet title,Jan-30-2015,Auburn,Brittany Webster,9.7750,,,9.8250
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Caitlin Atkinson,9.9000,9.8750,9.9000,9.8000
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Lexus Demers,9.9250,,9.9000,9.7250
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Bri Guy,9.8000,9.7500,9.7250,
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Caryn Kadous,,,9.8500,
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Kait Kluz,9.8000,9.8500,,9.8000
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Kelsey Kopec,,9.7750,,
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Abby Milliet,,9.8250,9.8500,
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,MJ Rott,9.9000,,,9.8250
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Megan Walker,,9.2750,9.9000,9.8000
Auburn,2015,5,no meet title,Feb-06-2015,Alabama,Brittany Webster,9.7500,,,9.8000
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Caitlin Atkinson,9.9000,9.8750,9.8500,
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Lexus Demers,9.9500,,9.7250,9.8750
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Bri Guy,9.8500,9.7250,9.8750,
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Kullen Hlawek,,,,9.8000
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Caryn Kadous,,,9.8750,
Auburn,2015,6,no meet title,Feb-13-2015,Auburn,Kait Kluz,9.8500,9.8500,,9.8750
