team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
BYU,2019,1,no meet title,Jan-11-2019,BYU,Rebekah Bean Ripley,9.8250,,,
BYU,2019,1,no meet title,Jan-11-2019,BYU,Avery Bennett,9.8250,,,
BYU,2019,1,no meet title,Jan-11-2019,BYU,Helody Cyrenne,,9.8000,9.8500,
BYU,2019,1,no meet title,Jan-11-2019,BYU,Shannon Evans,9.8250,9.8750,9.8000,9.9000
BYU,2019,1,no meet title,Jan-11-2019,BYU,Cheyenne Hill,,,9.8000,
BYU,2019,1,no meet title,Jan-11-2019,BYU,Natasha Marsh,,9.8500,9.9000,9.0750
BYU,2019,1,no meet title,Jan-11-2019,BYU,Abbey Miner Alder,9.8000,9.6500,9.9000,9.8250
BYU,2019,1,no meet title,Jan-11-2019,BYU,Briana Pearson,,,,9.8000
BYU,2019,1,no meet title,Jan-11-2019,BYU,Haley Pitou,9.7750,9.8000,,
BYU,2019,1,no meet title,Jan-11-2019,BYU,Abby Stainton,,9.7500,9.8750,9.7250
BYU,2019,1,no meet title,Jan-11-2019,BYU,Brittney Vitkauskas,,,,9.7750
BYU,2019,1,no meet title,Jan-11-2019,BYU,Angel Zhong,9.7250,,,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Rebekah Bean Ripley,9.7500,,,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Avery Bennett,8.8250,,,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Helody Cyrenne,,9.7250,9.6000,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Shannon Evans,9.8750,9.7500,9.6500,9.8500
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Cheyenne Hill,,,8.9500,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Gabrielle Hubbard,,9.7000,,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Natasha Marsh,,9.7750,9.7500,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Abbey Miner Alder,9.8250,,9.4250,9.7750
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Sadie Miner-Van Tassell,,,,9.7250
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Briana Pearson,,,,9.8000
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Haley Pitou,9.8000,9.0750,,
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Abby Stainton,,9.6750,9.6750,9.7000
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Brittney Vitkauskas,,,,9.7500
BYU,2019,2,no meet title,Jan-18-2019,Utah State,Angel Zhong,9.7000,,,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Rebekah Bean Ripley,9.8000,,,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Avery Bennett,9.7500,,,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Helody Cyrenne,,9.7250,9.8500,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Shannon Evans,9.8000,9.9000,9.8250,9.9000
BYU,2019,3,no meet title,Jan-25-2019,BYU,Cheyenne Hill,,,9.8250,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Gabrielle Hubbard,,9.7750,,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Natasha Marsh,,9.7500,9.9000,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Abbey Miner Alder,9.7750,,9.8250,9.8750
BYU,2019,3,no meet title,Jan-25-2019,BYU,Sadie Miner-Van Tassell,9.6250,,,9.8250
BYU,2019,3,no meet title,Jan-25-2019,BYU,Briana Pearson,,,,9.9000
BYU,2019,3,no meet title,Jan-25-2019,BYU,Haley Pitou,9.7250,9.7750,,
BYU,2019,3,no meet title,Jan-25-2019,BYU,Abby Stainton,,9.8000,9.8750,9.8250
BYU,2019,3,no meet title,Jan-25-2019,BYU,Brittney Vitkauskas,,,,9.8000
