team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Shelby Arms,9.4000,,,9.7250
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Kayla Beckler,,9.5250,9.2000,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Baylee Bell,,,9.7500,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Denasiha Christian,9.3250,,9.6750,9.8500
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Angela Durkac,,9.6500,,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Sarah Ebeyer,9.6500,,,9.6750
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Brooke Evans,,,,9.3250
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Sydney Finke,,,8.5000,9.5000
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Jillian Hacker,,8.7000,,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Katie Honarmand,,9.4000,,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Miranda Kuehl,,9.4750,,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Kaitlyn Menzione,,,9.7000,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Erin Patchey,9.8000,,,9.7750
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Jordyn Penny,9.8000,9.1250,9.2500,
Ball State,2016,1,no meet title,Jan-08-2016,Kentucky,Jala Washington,9.7250,,,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Shelby Arms,9.7000,,,9.6750
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Kayla Beckler,,9.7000,9.7250,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Baylee Bell,,,9.6750,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Juliana Booth,,9.4500,,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Denasiha Christian,9.8000,,9.8250,9.8250
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Clare Collins,,,,9.6500
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Sarah Ebeyer,9.7250,,9.6500,9.7500
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Sydney Finke,,,,9.7500
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Jillian Hacker,,9.4250,,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Katie Honarmand,,9.7000,,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Miranda Kuehl,,8.7250,,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Kaitlyn Menzione,9.6750,,8.9000,9.7250
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Jordyn Penny,9.7750,9.7750,9.7500,
Ball State,2016,2,no meet title,Jan-17-2016,Ball State,Jala Washington,9.7000,,,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Shelby Arms,9.6750,,,9.7750
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Kayla Beckler,,9.6250,9.6500,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Baylee Bell,,,9.2500,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Denasiha Christian,9.7250,,9.2250,9.8500
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Clare Collins,,,,9.8000
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Angela Durkac,,8.9250,,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Sarah Ebeyer,9.7250,,9.3750,9.8000
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Sydney Finke,,,,9.7250
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Katie Honarmand,,8.9500,,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Madison Howell,,9.7500,,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Miranda Kuehl,,9.2500,,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Kaitlyn Menzione,9.7000,,8.8750,9.5750
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Jordyn Penny,9.7500,9.8000,9.6250,
Ball State,2016,3,no meet title,Jan-22-2016,Illinois State,Jala Washington,9.7000,,,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Shelby Arms,9.7500,,,9.7750
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Kayla Beckler,,9.7250,9.7250,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Baylee Bell,,,9.1250,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Denasiha Christian,9.8000,,9.7250,9.8500
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Clare Collins,9.6750,,,9.2750
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Angela Durkac,,9.7250,,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Sarah Ebeyer,9.2750,,8.8500,9.8000
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Sydney Finke,,,9.7500,9.5750
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Katie Honarmand,,9.6750,,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Madison Howell,,8.5000,,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Miranda Kuehl,,9.2250,,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Kaitlyn Menzione,,,,9.7750
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Jordyn Penny,9.2750,9.3250,9.7250,
Ball State,2016,4,no meet title,Jan-24-2016,Ball State,Jala Washington,9.7000,,,
Ball State,2016,5,no meet title,Jan-31-2016,Central Michigan,Shelby Arms,9.7000,,,9.6750
Ball State,2016,5,no meet title,Jan-31-2016,Central Michigan,Kayla Beckler,,9.7500,9.8000,
Ball State,2016,5,no meet title,Jan-31-2016,Central Michigan,Baylee Bell,,,9.8000,
Ball State,2016,5,no meet title,Jan-31-2016,Central Michigan,Denasiha Christian,9.8000,,9.6250,9.8250
Ball State,2016,5,no meet title,Jan-31-2016,Central Michigan,Clare Collins,,,,9.6750
