team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Isabella Amado,9.6250,,9.8750,9.7250
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Tatum Bruden,9.8000,9.8250,,9.8000
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Gabriela Cavinta,9.8250,9.8500,9.6500,
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Erin Elkabchi,,,9.7500,9.7750
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Hope Masiado,,,9.8000,
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Courtney McGregor,8.6000,9.8750,,
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Emily Muhlenhaupt,,9.9250,9.8750,
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Maddi Nilson,9.6000,9.8500,,9.6500
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Adriana Popp,,,9.8500,9.4500
Boise State,2020,1,no meet title,Jan-12-2020,UCLA,Samantha Smith,9.7500,,,9.0000
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Isabella Amado,9.7250,,9.8750,9.7750
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Tatum Bruden,9.7750,9.7750,,9.7750
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Gabriela Cavinta,9.8000,9.2000,9.7250,
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Erin Elkabchi,,,9.8500,8.5250
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Hope Masiado,9.8250,9.8500,9.8250,
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Emily Muhlenhaupt,,9.9250,9.2250,
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Maddi Nilson,9.7000,9.8250,,9.6250
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Adriana Popp,,,9.7750,8.9750
Boise State,2020,2,no meet title,Jan-20-2020,Washington,Samantha Smith,9.5500,,,9.3750
Boise State,2020,3,no meet title,Jan-26-2020,San Jose State,Isabella Amado,9.7250,,9.7000,9.8000
Boise State,2020,3,no meet title,Jan-26-2020,San Jose State,Tatum Bruden,9.7750,9.8500,,9.8000
Boise State,2020,3,no meet title,Jan-26-2020,San Jose State,Gabriela Cavinta,9.8250,9.8250,9.7000,
