team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Lauren Bannister,9.6750,9.3000,,
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Lexi Bornhorn,,8.2500,,
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Emily Castiglia,,,9.7500,9.6500
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Kayla  Chan,,,8.9500,9.7500
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Katelyn Goldstrom,9.4750,9.5250,,
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Lily Harsch,9.7000,9.5000,9.6750,8.7250
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Taylor Jensen,9.8250,9.3250,9.6750,9.8750
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Brooke McNamara,9.6500,,,9.5250
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Tess Muir,,9.2250,,
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Sarina Ross,,,9.6500,
Bowling Green,2022,1,no meet title,Jan-07-2022,North Carolina,Kathryn Weilbacher,9.7750,,9.7250,9.8250
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Lauren Bannister,9.6000,9.4250,,9.7250
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Emily Castiglia,,,9.7750,8.8250
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Kayla  Chan,,,,9.7500
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Katelyn Goldstrom,,9.5250,,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Lily Harsch,9.6500,9.6500,,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Taylor Jensen,9.8000,9.3750,9.7750,8.5750
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Brooke McNamara,9.6500,,,9.8000
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Katrina Mendez Abolnik,9.8000,9.4250,9.5000,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Tess Muir,,9.4000,,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Sarina Ross,,,9.6750,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Dahlia Solorzano-Caruso,,,9.7500,
Bowling Green,2022,2,no meet title,Jan-15-2022,Michigan State,Kathryn Weilbacher,9.7500,,9.7000,9.5500
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Lauren Bannister,9.6000,6.6500,,9.6250
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Emily Castiglia,,,9.6500,
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Kayla  Chan,,,,9.7000
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Katelyn Goldstrom,,7.6500,,
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Lily Harsch,9.6750,9.6250,9.4250,
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Taylor Jensen,9.7000,9.6500,9.3250,9.8000
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Brooke McNamara,9.6000,,,9.7250
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Katrina Mendez Abolnik,9.7500,9.1250,9.5500,9.6000
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Tess Muir,,9.4750,,
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Dahlia Solorzano-Caruso,,,9.7750,
Bowling Green,2022,3,no meet title,Jan-21-2022,Bowling Green,Kathryn Weilbacher,9.8250,,9.0000,9.7750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Lauren Bannister,9.6750,9.6500,,9.7750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Lexi Bornhorn,,9.5000,,
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Emily Castiglia,,,9.0000,9.5750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Kayla  Chan,9.6500,,,9.6750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Lily Harsch,9.6500,9.0250,9.7750,
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Taylor Jensen,9.8000,9.7000,9.2500,9.8750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Brooke McNamara,9.6000,,,9.7500
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Katrina Mendez Abolnik,9.7750,9.3750,9.7000,9.6750
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Tess Muir,,9.6250,,
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Sarina Ross,,,8.9500,
Bowling Green,2022,4,no meet title,Jan-23-2022,Western Michigan,Dahlia Solorzano-Caruso,,,9.8500,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Paige Bachner,,9.6750,,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Lauren Bannister,9.6000,,,9.5000
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Lexi Bornhorn,,9.6250,,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Emily Castiglia,,,9.7750,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Megan Decious,,,,9.7250
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Lily Harsch,9.5750,9.8000,9.5750,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Taylor Jensen,9.8750,9.7500,9.8000,9.9250
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Brooke McNamara,9.5500,,,9.8250
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Katrina Mendez Abolnik,9.5500,,9.8000,9.7750
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Tess Muir,,9.5500,,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Dahlia Solorzano-Caruso,,,9.4250,
Bowling Green,2022,5,no meet title,Jan-30-2022,Bowling Green,Kathryn Weilbacher,9.6750,9.6750,9.7500,9.8250
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Paige Bachner,,9.5500,,
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Lexi Bornhorn,9.4750,9.7250,,
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Emily Castiglia,,,9.7000,
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Megan Decious,,,,9.6250
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Lily Harsch,9.6500,9.6750,8.4500,
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Taylor Jensen,9.8250,9.6750,9.6750,8.9000
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Baylie Lawrence,,,,8.8750
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Brooke McNamara,,,,9.8000
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Katrina Mendez Abolnik,9.8000,9.7500,9.7000,9.8250
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Dahlia Solorzano-Caruso,9.7500,9.7000,9.7500,
Bowling Green,2022,6,no meet title,Feb-05-2022,Bowling Green,Kathryn Weilbacher,9.7500,,9.8500,9.9000
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Paige Bachner,,9.5750,,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Lauren Bannister,9.4500,,,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Lexi Bornhorn,,9.6750,,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Megan Decious,,,,9.4750
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Lily Harsch,9.7750,9.7500,9.6750,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Taylor Jensen,9.6500,9.6750,9.5500,9.7500
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Brooke McNamara,,,,9.7250
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Katrina Mendez Abolnik,9.7000,9.6500,9.7250,9.5500
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Tess Muir,,,9.5750,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Sarina Ross,,,9.6750,
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Dahlia Solorzano-Caruso,9.2750,9.6750,,8.9000
Bowling Green,2022,7,no meet title,Feb-13-2022,Ball State,Kathryn Weilbacher,9.6500,,9.1000,9.7750
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Paige Bachner,,9.5750,,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Lauren Bannister,9.6750,9.5750,,9.6000
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Sydney Bennett,9.6750,,,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Lexi Bornhorn,,9.7500,,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Emily Castiglia,,,9.8000,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Megan Decious,,,,9.5500
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Lily Harsch,9.7500,9.7250,8.5000,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Taylor Jensen,9.8500,9.7250,9.2250,9.0000
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Brooke McNamara,,,,9.7750
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Katrina Mendez Abolnik,9.7500,9.7000,8.5500,9.6750
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Sarina Ross,,,9.6750,
Bowling Green,2022,8,no meet title,Feb-20-2022,Kent State,Kathryn Weilbacher,9.7250,,9.7750,9.8000
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Lauren Bannister,9.5500,,,9.7250
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Sydney Bennett,9.3750,,,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Lexi Bornhorn,,9.7000,,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Emily Castiglia,,,9.8250,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Lily Harsch,9.6250,9.7250,,9.7250
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Taylor Jensen,9.8750,9.6500,9.7750,9.7750
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Brooke McNamara,,,,9.8750
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Katrina Mendez Abolnik,9.8000,9.6250,9.7750,9.8000
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Tess Muir,,,9.7750,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Sarina Ross,,,9.7750,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Dahlia Solorzano-Caruso,,9.3500,,
Bowling Green,2022,9,no meet title,Feb-26-2022,Bowling Green,Kathryn Weilbacher,9.6750,9.6750,9.8500,9.8000
