team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Lauren Blair,9.3000,,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Taylor Bushey,,8.8000,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Alexis Castellaneta,9.7250,,9.5250,9.8250
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Kyra Figurelli,9.5250,8.4000,,9.6250
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Natalie Galioto,,,9.4250,9.6250
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Gabbi Gare,,9.5000,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Nicole Jackson,9.4000,,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Kirsten Paultre,,,,9.5500
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Maya Pecoraro,,,9.3000,9.5250
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Emma Grace Sargent,9.6500,7.7000,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Sydney Schumaker,9.2750,9.3250,9.3750,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Olivia Stinnette,,,8.6500,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Rachel Swick,,8.5250,,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Dorothy Wernick,,,9.3500,
Brockport,2022,1,no meet title,Jan-15-2022,Brockport,Emmie White,,,,8.8250
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Lauren Blair,9.4750,,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Taylor Bushey,,9.5750,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Alexis Castellaneta,9.7500,,9.2000,9.7250
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Kyra Figurelli,9.5500,9.2500,,9.5000
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Natalie Galioto,,,9.4750,9.3750
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Gabbi Gare,,8.7750,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Naimah Muhammad,,,,9.4750
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Kirsten Paultre,,,,9.4750
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Emma Grace Sargent,9.6500,9.4500,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Sydney Schumaker,9.6750,9.5000,9.1500,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Laken Sooy,9.4500,,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Olivia Stinnette,,,9.3750,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Rachel Swick,,8.4250,,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Dorothy Wernick,,,9.0000,
Brockport,2022,2,no meet title,Jan-22-2022,Rhode Island College,Emmie White,,,8.4000,9.3500
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Lauren Blair,8.8500,,,
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Taylor Bushey,,9.7500,,
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Alexis Castellaneta,9.7000,,9.7500,9.6500
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Kyra Figurelli,9.4750,9.4500,,9.2750
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Natalie Galioto,,,9.7500,9.5250
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Gabbi Gare,,9.7750,,
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Nicole Jackson,9.4750,,,
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Naimah Muhammad,,,,9.8000
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Kirsten Paultre,,,,9.7250
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Maya Pecoraro,,,9.2750,9.1250
Brockport,2022,3,no meet title,Jan-30-2022,Ithaca College,Emma Grace Sargent,9.5750,9.7000,,
