team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Julia Bedell,9.8500,,,9.9000
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Maya Davis,,9.5250,9.2500,8.7250
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Sophia Dewar,9.8000,9.2000,,9.8500
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Asta-Sollilja Farrell,9.5750,9.7500,,
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Emily Ford,9.6000,8.4750,9.8250,9.8500
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Lauren Kramer,9.7250,,8.9000,9.8250
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Liza Marcus,,8.9500,9.8000,9.7000
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Lauren Mckeown,,9.5500,9.8000,
Brown,2024,1,no meet title,Jan-21-2024,Oregon State,Angela Xing,9.6500,,9.5500,
Brown,2024,2,no meet title,Jan-28-2024,Brown,Julia Bedell,9.7500,,,9.8500
Brown,2024,2,no meet title,Jan-28-2024,Brown,Maya Davis,,9.6250,,
Brown,2024,2,no meet title,Jan-28-2024,Brown,Sophia Dewar,9.6250,8.8000,,9.8000
Brown,2024,2,no meet title,Jan-28-2024,Brown,Asta-Sollilja Farrell,9.4500,9.7500,,
Brown,2024,2,no meet title,Jan-28-2024,Brown,Emily Ford,9.6500,8.9500,9.8750,9.6500
Brown,2024,2,no meet title,Jan-28-2024,Brown,Lauren Kramer,9.6000,,9.1000,9.7250
Brown,2024,2,no meet title,Jan-28-2024,Brown,Jessica Lin,,,9.9000,
Brown,2024,2,no meet title,Jan-28-2024,Brown,Liza Marcus,,9.7000,9.6750,9.7750
Brown,2024,2,no meet title,Jan-28-2024,Brown,Lauren Mckeown,,9.5500,9.1250,
Brown,2024,2,no meet title,Jan-28-2024,Brown,Angela Xing,9.6250,,9.7000,9.5250
Brown,2024,3,no meet title,Feb-04-2024,Brown,Julia Bedell,9.8000,,,9.9000
Brown,2024,3,no meet title,Feb-04-2024,Brown,Maya Davis,,9.2750,,9.8000
