team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
California,2022,1,no meet title,Jan-16-2022,California,Maya Bordas,9.7750,9.8500,9.9000,9.7750
California,2022,1,no meet title,Jan-16-2022,California,Milan Clausi,9.8500,,9.1000,9.8750
California,2022,1,no meet title,Jan-16-2022,California,Nevaeh DeSouza,9.9000,9.8500,9.8500,9.8750
California,2022,1,no meet title,Jan-16-2022,California,Maya Green,,9.8750,,
California,2022,1,no meet title,Jan-16-2022,California,Jordan Kane,,,9.0000,
California,2022,1,no meet title,Jan-16-2022,California,Mya Lauzon,9.8500,,9.8500,9.8000
California,2022,1,no meet title,Jan-16-2022,California,Andi Li,9.7500,9.8500,9.9250,9.9000
California,2022,1,no meet title,Jan-16-2022,California,Grace Quinn,,,,8.9750
California,2022,1,no meet title,Jan-16-2022,California,Nina Schank,9.8000,9.2250,,
California,2022,1,no meet title,Jan-16-2022,California,Madelyn Williams,,9.8750,,
California,2022,2,no meet title,Jan-22-2022,Washington,Maya Bordas,9.8500,9.9000,9.8750,9.8000
California,2022,2,no meet title,Jan-22-2022,Washington,Milan Clausi,9.8500,,9.8000,9.8250
California,2022,2,no meet title,Jan-22-2022,Washington,Nevaeh DeSouza,9.8000,9.7250,9.6750,9.7750
California,2022,2,no meet title,Jan-22-2022,Washington,Jordan Kane,,,,
California,2022,2,no meet title,Jan-22-2022,Washington,Mya Lauzon,9.5000,9.8250,9.8250,9.8250
California,2022,2,no meet title,Jan-22-2022,Washington,Andi Li,9.7250,9.9250,9.7750,9.9000
California,2022,2,no meet title,Jan-22-2022,Washington,Nina Schank,9.8500,9.8500,,9.7750
California,2022,2,no meet title,Jan-22-2022,Washington,Madelyn Williams,,9.8750,9.8250,
California,2022,3,no meet title,Jan-29-2022,California,Maya Bordas,9.8250,9.8750,9.7500,9.8000
California,2022,3,no meet title,Jan-29-2022,California,Milan Clausi,9.8250,,9.9000,9.9250
California,2022,3,no meet title,Jan-29-2022,California,Nevaeh DeSouza,9.8500,9.8750,9.7750,9.8500
California,2022,3,no meet title,Jan-29-2022,California,Mya Lauzon,9.5250,9.8250,9.8250,9.9000
California,2022,3,no meet title,Jan-29-2022,California,Andi Li,9.8500,9.8750,9.8750,9.9250
California,2022,3,no meet title,Jan-29-2022,California,Nina Schank,9.8250,9.9250,,9.8000
California,2022,3,no meet title,Jan-29-2022,California,Emi Watterson,,,9.9250,
California,2022,3,no meet title,Jan-29-2022,California,Madelyn Williams,,9.9250,,
California,2022,4,no meet title,Feb-04-2022,Stanford,Maya Bordas,9.7500,9.8500,9.8250,9.7500
California,2022,4,no meet title,Feb-04-2022,Stanford,Nevaeh DeSouza,9.8750,9.8250,9.8500,9.7500
California,2022,4,no meet title,Feb-04-2022,Stanford,Maya Green,,9.7500,,
California,2022,4,no meet title,Feb-04-2022,Stanford,Mya Lauzon,9.7250,,9.9000,9.8500
California,2022,4,no meet title,Feb-04-2022,Stanford,Andi Li,9.8000,9.9500,9.8750,9.9000
California,2022,4,no meet title,Feb-04-2022,Stanford,Gabby Perea,,,,
California,2022,4,no meet title,Feb-04-2022,Stanford,Grace Quinn,,,,9.9250
California,2022,4,no meet title,Feb-04-2022,Stanford,Nina Schank,9.8500,9.9000,,9.7750
California,2022,4,no meet title,Feb-04-2022,Stanford,Abi Solari,9.6750,,,
California,2022,4,no meet title,Feb-04-2022,Stanford,Emi Watterson,,,9.8750,
California,2022,4,no meet title,Feb-04-2022,Stanford,Madelyn Williams,,9.8500,9.8500,
California,2022,5,no meet title,Feb-12-2022,California,Maya Bordas,9.8000,9.8250,9.8250,9.9000
California,2022,5,no meet title,Feb-12-2022,California,Nevaeh DeSouza,9.9500,9.8750,9.9000,9.9000
California,2022,5,no meet title,Feb-12-2022,California,Andi Li,9.8500,9.9500,9.9000,9.9500
California,2022,5,no meet title,Feb-12-2022,California,Gabby Perea,,9.9000,,9.8250
California,2022,5,no meet title,Feb-12-2022,California,Grace Quinn,,,,9.8250
California,2022,5,no meet title,Feb-12-2022,California,Nina Schank,9.9000,9.7750,9.7750,9.9000
California,2022,5,no meet title,Feb-12-2022,California,Abi Solari,8.1500,,,
California,2022,5,no meet title,Feb-12-2022,California,Emi Watterson,,,9.1500,
California,2022,5,no meet title,Feb-12-2022,California,Madelyn Williams,9.8500,9.9000,9.8500,
California,2022,6,no meet title,Feb-21-2022,California,Maya Bordas,9.8500,9.9500,9.9500,9.8250
California,2022,6,no meet title,Feb-21-2022,California,Milan Clausi,9.8500,,9.9000,9.8500
California,2022,6,no meet title,Feb-21-2022,California,Nevaeh DeSouza,9.9000,9.8500,9.8750,9.9000
California,2022,6,no meet title,Feb-21-2022,California,Andi Li,9.8500,9.9250,9.8750,9.2000
California,2022,6,no meet title,Feb-21-2022,California,Gabby Perea,,9.8500,,
California,2022,6,no meet title,Feb-21-2022,California,Grace Quinn,,,,9.9250
California,2022,6,no meet title,Feb-21-2022,California,Nina Schank,9.8500,9.8500,,9.8500
California,2022,6,no meet title,Feb-21-2022,California,Emi Watterson,,,9.2000,
California,2022,6,no meet title,Feb-21-2022,California,Madelyn Williams,9.7500,9.8750,9.8750,
California,2022,7,no meet title,Feb-27-2022,Arizona State,Maya Bordas,9.8500,9.9250,9.9000,9.8500
California,2022,7,no meet title,Feb-27-2022,Arizona State,Milan Clausi,9.8000,,9.6500,9.9000
California,2022,7,no meet title,Feb-27-2022,Arizona State,Nevaeh DeSouza,9.7750,9.7750,9.8250,9.8000
California,2022,7,no meet title,Feb-27-2022,Arizona State,Andi Li,9.9000,9.9250,9.7500,9.9500
California,2022,7,no meet title,Feb-27-2022,Arizona State,Gabby Perea,,9.6500,,
California,2022,7,no meet title,Feb-27-2022,Arizona State,Grace Quinn,,,,9.9250
California,2022,7,no meet title,Feb-27-2022,Arizona State,Nina Schank,9.8500,9.8500,,9.7500
California,2022,7,no meet title,Feb-27-2022,Arizona State,Emi Watterson,,,9.8000,
California,2022,7,no meet title,Feb-27-2022,Arizona State,Madelyn Williams,9.7750,9.8500,9.3250,
California,2022,8,no meet title,Mar-06-2022,UCLA,Maya Bordas,9.8250,9.0000,9.8250,9.8500
