team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Kendall Arasmith,9.3250,9.3000,,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Delia Ardoin,,,8.4000,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Cami Bea Austin,,,,9.0250
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Evelyn  Harris,9.6000,9.2500,9.6000,9.5250
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Aspen Hattley,,9.2000,,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Olivia Hirsch,,,,9.7500
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Navia  Jordan,,,,9.7250
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Taylor Le Moal,9.4000,,,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Elizabeth Sander,,,8.2500,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Natalie Scates,,8.1500,,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Allison Scates,8.9250,9.6250,9.0750,
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Tavia  Smith,9.4250,7.4500,9.4750,9.1500
Centenary College,2017,1,Ozone Classic,Jan-14-2017,,Ashley White,9.6250,,9.6750,8.9250
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Kendall Arasmith,,9.1000,9.6250,
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Delia Ardoin,,,9.6500,
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Cami Bea Austin,9.5000,,,9.7750
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Aspen Hattley,9.5250,9.0500,,
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Olivia Hirsch,,,,9.6750
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Navia  Jordan,,,,9.8750
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Taylor Le Moal,9.5000,,8.8750,9.1500
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Mackenzie Packer,,9.2000,,
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Allison Scates,9.4750,9.8750,9.6750,
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Tavia  Smith,9.5750,8.6500,9.6000,9.6250
Centenary College,2017,2,no meet title,Jan-27-2017,Centenary College,Ashley White,9.7000,9.8500,9.7500,9.3250
Centenary College,2017,3,no meet title,Jan-29-2017,Centenary College,Kendall Arasmith,,9.0000,8.5000,
