team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Courtney Campbell,,9.6000,,9.5750
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Katy Clements,9.6750,,9.9000,9.9000
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Caroline Fitzpatrick,,9.6750,9.9000,
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Macey Hilliker,7.9000,,,
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Bryttany Kaplan,9.4500,9.7000,,9.7750
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Skyler Memmel,,,,9.7250
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Kailey Miller,9.3750,8.6500,,9.7750
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Denelle Pedrick,9.6250,9.6750,9.7000,9.8500
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Gianna Plaksa,9.6000,8.9750,8.8250,
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Hayley Porter,,,9.1750,
Central Michigan,2017,1,no meet title,Jan-08-2017,Central Michigan,Shaila Segal,,,9.0250,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Courtney Campbell,,9.6250,,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Katy Clements,9.7500,,9.8500,9.7750
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Caroline Fitzpatrick,,9.8250,9.7500,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Kasey Janowicz,,9.8000,,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Bryttany Kaplan,9.5750,9.8750,,9.5500
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Skyler Memmel,,,9.7750,9.5500
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Kailey Miller,,,,9.6250
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Denelle Pedrick,9.7500,9.7000,9.8250,9.7750
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Gianna Plaksa,9.7000,9.8500,,9.8000
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Hayley Porter,,,9.7750,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Shaila Segal,,,9.7500,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Kirstin Stambaugh,9.5500,,,
Central Michigan,2017,2,no meet title,Jan-15-2017,Western Michigan,Charlie Wright,9.6250,,,
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Courtney Campbell,,9.6250,,
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Katy Clements,9.7750,,9.8500,9.9250
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Caroline Fitzpatrick,,9.7250,9.6750,
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Macey Hilliker,,,,9.9250
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Kasey Janowicz,,9.5750,,
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Bryttany Kaplan,9.7500,9.8750,,9.8000
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Skyler Memmel,,,9.0750,9.6500
Central Michigan,2017,3,no meet title,Jan-20-2017,Central Michigan,Denelle Pedrick,9.8500,9.6750,8.9250,9.8000
