team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Morgan Chall,,,,9.6500
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Lyanda Dudley,9.5250,9.7500,9.5750,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Kaitlin Green,,,9.5250,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Claire Haklik,,,,9.8250
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Samantha Henry,,,,9.7750
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Izzy Herczeg,,,9.1250,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Kelsy Kurfirst,9.5500,9.6500,,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Miranda Lund,,9.3250,,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Christina Luniewicz,,9.4750,,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Malia Mackey,9.5250,,9.4500,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Sara Maughan,9.4750,,,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Payton Murphy,,,9.0250,
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Maci Prescott,9.5250,,,9.6250
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Maddison Smith,,9.4000,8.5000,9.7750
Cornell,2019,1,Lindsey Ferris Invite,Jan-13-2019,George Washington,Donna Webster,8.8750,9.5250,,9.6000
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Emily Carr,,8.9750,,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Morgan Chall,,,,9.5000
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Lyanda Dudley,,8.8500,9.5500,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Kaitlin Green,,,9.6250,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Claire Haklik,,,,9.6500
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Samantha Henry,9.6000,,,9.8250
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Izzy Herczeg,,,7.7750,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Kelsy Kurfirst,9.4750,9.7500,,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Miranda Lund,,,9.7500,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Christina Luniewicz,,9.5500,,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Malia Mackey,9.7500,,9.5750,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Sara Maughan,9.7000,,,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Payton Murphy,,,9.5750,
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Maci Prescott,9.7000,,,9.7000
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Maddison Smith,,9.5500,,9.7000
Cornell,2019,2,no meet title,Jan-18-2019,Towson,Donna Webster,9.7250,8.9750,,9.4500
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Emily Carr,,8.9000,,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Morgan Chall,,,,9.5500
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Lyanda Dudley,9.0000,9.8000,9.7250,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Kaitlin Green,,,9.7000,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Claire Haklik,,,,9.8000
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Samantha Henry,9.3000,,,9.8250
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Kelsy Kurfirst,9.4500,9.8000,,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Miranda Lund,,,9.7250,8.9500
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Christina Luniewicz,,9.8250,,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Malia Mackey,,,9.7750,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Sara Maughan,9.5500,,,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Payton Murphy,,,9.6500,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Evelyn Patient,,8.4500,9.6500,
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Maci Prescott,9.5500,,,9.6000
Cornell,2019,3,no meet title,Jan-26-2019,Cornell,Donna Webster,9.4750,9.5750,,9.5750
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Morgan Chall,,,,9.6000
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Lyanda Dudley,9.6500,9.8250,9.1500,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Kaitlin Green,,,9.6750,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Claire Haklik,,,,9.8000
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Samantha Henry,,,,9.8000
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Izzy Herczeg,,,9.5750,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Kelsy Kurfirst,9.5250,9.5750,,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Miranda Lund,,,9.5750,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Christina Luniewicz,,9.7500,,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Malia Mackey,9.6250,,8.9500,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Sara Maughan,9.6500,,,8.5500
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Payton Murphy,,9.2000,9.5500,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Evelyn Patient,,8.7500,,
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Maci Prescott,9.6500,,,9.6250
Cornell,2019,4,no meet title,Feb-03-2019,Pennsylvania,Donna Webster,9.0250,9.4750,,8.8500
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Morgan Chall,,,,9.5750
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Lyanda Dudley,9.7000,9.7250,9.7250,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Kaitlin Green,,,9.7500,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Claire Haklik,,,,9.9000
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Samantha Henry,,,,9.7750
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Izzy Herczeg,,,,9.8500
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Kelsy Kurfirst,9.5250,9.6500,,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Miranda Lund,,,9.1750,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Christina Luniewicz,,9.7250,,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Malia Mackey,9.7750,,9.8000,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Sara Maughan,9.7250,,,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Payton Murphy,,9.5500,9.7250,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Evelyn Patient,,9.3000,9.1000,
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Maci Prescott,9.7500,,,9.7250
Cornell,2019,5,no meet title,Feb-09-2019,Cornell,Donna Webster,9.8750,8.8500,,9.8000
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Morgan Chall,,,,9.0250
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Lyanda Dudley,9.6000,9.7250,9.6250,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Kaitlin Green,,,9.5750,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Claire Haklik,9.5500,,,9.7000
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Samantha Henry,,,,9.7500
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Izzy Herczeg,,,9.7000,9.8750
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Kelsy Kurfirst,9.6250,9.7500,,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Miranda Lund,,,9.5500,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Christina Luniewicz,,9.8000,,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Sara Maughan,9.6250,,,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Payton Murphy,,9.5250,9.4250,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Evelyn Patient,,9.0250,9.6500,
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Maci Prescott,8.7750,,,9.2000
Cornell,2019,6,no meet title,Feb-17-2019,West Virginia,Donna Webster,9.7500,9.7000,,9.8000
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Morgan Chall,,,,8.7750
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Lyanda Dudley,9.7000,9.6500,9.0000,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Kaitlin Green,,,9.8000,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Claire Haklik,9.7500,,,9.9000
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Samantha Henry,,,,9.8500
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Izzy Herczeg,,,9.3500,9.8000
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Kelsy Kurfirst,9.7000,9.7000,,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Miranda Lund,,,9.0000,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Christina Luniewicz,,9.8500,,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Sara Maughan,9.7250,,,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Payton Murphy,,9.0750,9.6750,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Evelyn Patient,,9.7250,9.5750,
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Maci Prescott,9.7750,,,9.7750
Cornell,2019,7,Ivy Classic,Feb-24-2019,Pennsylvania,Donna Webster,9.8000,9.7500,,9.7750
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Morgan Chall,,,,8.8750
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Lyanda Dudley,9.7750,9.8000,9.6500,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Claire Haklik,9.6250,,8.7750,9.8250
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Samantha Henry,,,,9.8250
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Izzy Herczeg,,,,9.8750
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Kelsy Kurfirst,9.5750,9.6750,,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Miranda Lund,,,9.8000,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Christina Luniewicz,,9.7750,,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Sara Maughan,9.7250,,,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Payton Murphy,,9.4250,9.8250,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Evelyn Patient,,9.7000,9.7250,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Maci Prescott,9.2250,,,9.7250
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Rebecca  Thron,,,9.5500,
Cornell,2019,8,no meet title,Mar-02-2019,Penn State,Donna Webster,9.8500,9.5750,,9.7000
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Morgan Chall,,,,9.6250
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Lyanda Dudley,,9.1750,,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Kaitlin Green,,,9.6500,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Claire Haklik,9.6500,,,9.8000
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Samantha Henry,9.7000,,,9.7250
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Kelsy Kurfirst,9.6500,9.5500,,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Miranda Lund,,,9.7250,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Christina Luniewicz,,9.7500,7.5750,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Sara Maughan,9.7250,,,9.6000
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Payton Murphy,,9.7500,9.0000,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Evelyn Patient,,9.3250,8.9500,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Maci Prescott,9.7500,,,9.6250
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Rebecca  Thron,,,7.9750,
Cornell,2019,9,no meet title,Mar-09-2019,Bridgeport,Donna Webster,9.7750,9.5750,,9.5000
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Morgan Chall,,,,9.6250
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Lyanda Dudley,,9.7750,9.6750,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Kaitlin Green,,,9.7500,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Claire Haklik,9.2750,,,9.8250
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Samantha Henry,9.7000,,,9.8750
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Izzy Herczeg,,,9.5250,9.9000
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Kelsy Kurfirst,9.6250,9.7000,,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Miranda Lund,,,9.7250,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Christina Luniewicz,,9.7500,,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Sara Maughan,9.7000,,,9.3000
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Payton Murphy,,,8.2500,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Evelyn Patient,,8.6500,8.4000,
Cornell,2019,10,no meet title,Mar-16-2019,West Chester,Maci Prescott,9.7250,,,
