team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Abby Bang,8.9250,8.2000,,9.3000
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Glynis Curcione,,9.1750,,
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Gracie Gallagher,,8.3250,,
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Julie Giardina,,,8.7250,8.5000
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Megan Hanley,9.3000,8.8750,8.2000,9.2500
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Samantha Nothnagel,9.1750,,,
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Genna Orlik,,,8.9750,
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Kamryn Rodriguez,9.3750,,8.2000,8.5000
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Emma Schulz,9.4000,,9.6250,9.7000
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Emily Speciale,9.2000,8.5500,8.5750,9.3000
Cortland State,2020,1,no meet title,Jan-07-2020,Brockport,Vivian Trevisani,,8.9500,,
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Abby Bang,9.2250,8.8000,7.9500,9.3750
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Glynis Curcione,,8.7000,,
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Gracie Gallagher,,9.0250,,
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Julie Giardina,,,9.1500,9.4750
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Megan Hanley,8.8500,9.4500,8.8000,9.0250
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Samantha Nothnagel,8.6000,9.0000,9.3750,
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Kamryn Rodriguez,9.4250,,9.4250,8.9000
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Emma Schulz,9.5500,,9.8000,9.0500
Cortland State,2020,2,no meet title,Jan-12-2020,Ursinus College,Emily Speciale,9.1750,9.3000,,9.0000
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Abby Bang,9.3000,8.9250,,9.5500
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Glynis Curcione,,9.4500,,
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Gracie Gallagher,,7.8500,,
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Julie Giardina,,,9.3000,9.2750
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Megan Hanley,9.3750,9.2750,9.6750,8.4500
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Samantha Nothnagel,9.0750,7.9500,9.2500,
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Genna Orlik,,,8.4500,
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Kamryn Rodriguez,8.9000,,8.6750,9.1000
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Emma Schulz,9.5500,,9.7000,9.4250
Cortland State,2020,3,no meet title,Jan-18-2020,Temple,Emily Speciale,9.3250,9.4000,,9.5000
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Abby Bang,9.4000,8.5500,,
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Bianca Carr,,,,8.6500
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Glynis Curcione,,9.5500,,
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Julie Giardina,,,8.3000,9.4000
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Megan Hanley,9.4000,9.5000,8.4500,9.3000
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Samantha Nothnagel,9.4750,8.7000,9.0500,
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Kamryn Rodriguez,,,9.7750,9.7250
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Ashley Scarantino,9.3500,,,
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Emma Schulz,9.6000,,9.7500,9.7750
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Emily Speciale,9.3250,9.6750,9.2500,9.4500
Cortland State,2020,4,no meet title,Jan-25-2020,Centenary College,Vivian Trevisani,,9.2500,,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Abby Bang,9.5250,9.1000,,9.6250
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Bianca Carr,,9.0500,,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Glynis Curcione,,9.6750,,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Julie Giardina,,,,9.3250
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Megan Hanley,9.0750,8.8250,9.5000,8.9750
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Samantha Nothnagel,9.2750,,,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Genna Orlik,,,9.6500,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Kamryn Rodriguez,9.2250,,9.7500,8.4000
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Ashley Scarantino,8.9000,,8.6000,
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Emma Schulz,9.4500,,9.8000,9.7750
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Emily Speciale,,9.4250,9.3250,9.3250
Cortland State,2020,5,no meet title,Feb-09-2020,West Chester,Vivian Trevisani,,9.1750,,
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Abby Bang,9.4500,9.1500,,9.5500
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Bianca Carr,,9.2500,,
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Glynis Curcione,,9.7500,,
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Julie Giardina,,,8.6000,8.9750
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Megan Hanley,9.2250,9.6500,9.5750,9.5500
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Genna Orlik,,,8.7500,
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Kamryn Rodriguez,8.8500,,9.7500,9.5250
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Ashley Scarantino,8.9500,,,
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Emma Schulz,9.3000,,9.8250,9.8750
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Emily Speciale,9.2250,9.5250,9.5750,9.4250
Cortland State,2020,6,no meet title,Feb-16-2020,Cornell,Vivian Trevisani,,9.3000,,
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Abby Bang,9.6250,9.0500,,9.4250
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Bianca Carr,,9.0250,,
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Glynis Curcione,,9.6500,,
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Julie Giardina,,,9.6000,9.3500
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Megan Hanley,9.4750,9.3500,9.4250,9.3250
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Kamryn Rodriguez,8.8000,,9.5250,9.5000
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Ashley Scarantino,9.5500,,8.8250,
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Emma Schulz,9.5750,,9.1250,9.7000
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Emily Speciale,9.3250,9.4500,8.9250,9.4000
Cortland State,2020,7,no meet title,Feb-19-2020,Ithaca College,Vivian Trevisani,,9.1250,,
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Bianca Carr,,9.2000,,9.3250
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Glynis Curcione,,9.4250,,
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Gracie Gallagher,,8.8750,,
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Julie Giardina,,,9.5000,9.6000
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Megan Hanley,9.2500,8.5250,9.4000,9.4000
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Genna Orlik,,,8.5750,
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Kamryn Rodriguez,9.2750,,9.4250,9.5500
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Ashley Scarantino,9.3000,,,
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Emma Schulz,9.3750,,9.6750,9.8000
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Emily Speciale,9.0000,9.4000,9.3000,9.6500
Cortland State,2020,8,no meet title,Mar-01-2020,Cortland State,Vivian Trevisani,8.4500,8.2500,,
Cortland State,2020,9,no meet title,Mar-08-2020,Cortland State,Abby Bang,9.5250,,,9.6000
Cortland State,2020,9,no meet title,Mar-08-2020,Cortland State,Bianca Carr,,8.9000,,
