team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Cortney Bezold,,9.8000,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Emili Dobronics,9.7750,,9.8500,9.8500
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Shannon Gregory,,,9.8250,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Cali Harden,9.6000,,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Arileyah  Harris,,9.7000,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Hannah Hartung,,9.7000,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Carly Kosanovich,9.6500,,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Molly Parris,9.6000,9.3750,,
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Brianna Price,,,9.7750,9.6250
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Karalyn Roberts,9.7250,9.7500,9.6750,9.7750
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Jada Rondeau,9.5000,9.8500,9.7750,9.8000
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Caitlin Satler,,,9.8750,9.5000
Eastern Michigan,2020,1,no meet title,Jan-11-2020,Bowling Green,Mickayla Stuckey,,,,9.5750
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Cortney Bezold,,9.8500,,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Emili Dobronics,9.7000,,9.7750,9.8000
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Shannon Gregory,,,9.5250,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Cali Harden,9.7500,9.7500,,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Arileyah  Harris,,9.7250,,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Hannah Hartung,9.6750,8.9000,,9.4500
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Carly Kosanovich,9.6500,,,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Molly Parris,8.4000,,,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Brianna Price,,,9.7500,9.7000
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Karalyn Roberts,9.7500,9.7000,9.6500,9.7750
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Jada Rondeau,,9.7500,9.7500,
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Caitlin Satler,,,9.2000,9.6750
Eastern Michigan,2020,2,no meet title,Jan-19-2020,Eastern Michigan,Mickayla Stuckey,,,,9.5750
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Cortney Bezold,,9.8500,,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Emili Dobronics,9.8000,,9.1500,9.8250
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Shannon Gregory,,,9.7250,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Cali Harden,9.7000,9.7000,,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Arileyah  Harris,,9.7250,9.0000,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Hannah Hartung,9.7750,8.9250,,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Carly Kosanovich,9.5000,,,
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Brianna Price,,,9.7250,9.7000
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Karalyn Roberts,9.7250,9.7750,9.7000,9.8000
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Jada Rondeau,9.7250,9.8000,9.8250,9.8250
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Caitlin Satler,,,,9.8000
Eastern Michigan,2020,3,no meet title,Jan-24-2020,Eastern Michigan,Mickayla Stuckey,,,,9.4500
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Cortney Bezold,,9.9000,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Emili Dobronics,9.7750,,9.8750,9.8500
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Cali Harden,9.7500,9.6250,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Arileyah  Harris,,8.6000,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Hannah Hartung,9.7500,,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Carly Kosanovich,9.6250,,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Brianna Price,,,9.7750,9.8000
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Charlotte Reynolds,,9.2000,,
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Karalyn Roberts,9.8000,9.7250,9.1750,9.8250
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Jada Rondeau,9.7250,9.7500,9.8750,9.7750
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Caitlin Satler,,,9.8750,9.8500
Eastern Michigan,2020,4,no meet title,Feb-02-2020,Lindenwood,Mickayla Stuckey,,,9.8250,9.7500
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Cortney Bezold,,9.8250,,
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Emili Dobronics,9.7500,,9.8250,9.8500
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Shannon Gregory,,,9.6250,
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Cali Harden,9.7500,8.6500,,
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Arileyah  Harris,,9.1750,,
Eastern Michigan,2020,5,no meet title,Feb-07-2020,Eastern Michigan,Hannah Hartung,9.7000,9.0750,,
