team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Zanna Brewer,,9.4750,,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Zyia Coleman,,,,8.8500
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Jordynn Cromartie,,,,8.0500
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Breyana Daniels,9.2500,,,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Liberty Mora,,,9.5500,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Naimah Muhammad,,,,8.8250
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Morgan Price,9.7000,9.8500,9.8750,9.6000
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Aliyah Reed-Hammon,8.7750,,9.8000,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Kiara  Richmon,,9.6500,,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Ciniah Rosby,9.1000,9.5000,9.5500,9.5000
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Sydney Smith,9.2250,9.5500,,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Aniyah Taylor,9.7250,,9.7250,
Fisk,2024,1,no meet title,Jan-12-2024,Florida,Alyssa Wiggins,,9.5250,9.6000,9.5500
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Zyia Coleman,9.5500,9.7750,,9.6750
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Jordynn Cromartie,,,,9.7250
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Breyana Daniels,9.4750,,,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Liberty Mora,,,9.6250,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Naimah Muhammad,,,,9.1750
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Morgan Price,9.8750,9.8750,9.8250,9.8250
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Aliyah Reed-Hammon,9.7750,,9.6500,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Kiara  Richmon,,9.7250,,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Ciniah Rosby,9.6250,,9.6500,8.4000
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Sydney Smith,,9.6250,,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Aniyah Taylor,9.1000,9.8000,9.4250,
Fisk,2024,2,Tennesse Collegiate Classic,Jan-19-2024,,Alyssa Wiggins,,9.6750,8.7250,9.6750
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Zyia Coleman,9.4500,,,9.6750
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Jordynn Cromartie,,,,9.6750
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Kaylei McDonald,,,9.5750,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Liberty Mora,,,9.6000,9.7000
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Morgan Price,9.8250,9.8000,9.3250,9.7500
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Jada Reece,,,,9.5500
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Aliyah Reed-Hammon,9.6500,,9.0250,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Kiara  Richmon,,9.5750,,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Ciniah Rosby,9.7500,9.6750,9.5000,9.6500
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Kiana Session,9.4250,,,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Sydney Smith,,9.5250,,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Aniyah Taylor,9.1500,9.1250,9.6750,
Fisk,2024,3,no meet title,Feb-02-2024,Auburn,Alyssa Wiggins,,8.2000,,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Zanna Brewer,,8.1000,,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Zyia Coleman,9.3750,,,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Jordynn Cromartie,,,,9.5750
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Kaylei McDonald,,,9.7250,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Liberty Mora,,,9.8250,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Morgan Price,9.8000,9.7250,9.9500,9.8000
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Jada Reece,9.4500,,,9.7250
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Aliyah Reed-Hammon,9.7750,,9.3750,9.5250
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Kiara  Richmon,,9.4500,,9.6000
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Ciniah Rosby,9.8000,9.6000,9.6500,9.3000
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Sydney Smith,,9.5000,,
Fisk,2024,4,no meet title,Feb-11-2024,Bowling Green,Aniyah Taylor,9.6000,8.4000,9.8250,
Fisk,2024,5,no meet title,Feb-16-2024,S.E. Missouri,Madison Baucom,,8.5000,,
Fisk,2024,5,no meet title,Feb-16-2024,S.E. Missouri,Zanna Brewer,,8.5000,,
