team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Florida,2022,1,no meet title,Jan-07-2022,Florida,Alyssa Baumann,,,9.9250,9.9750
Florida,2022,1,no meet title,Jan-07-2022,Florida,Sloane Blakely,9.7750,9.8250,9.9500,9.9000
Florida,2022,1,no meet title,Jan-07-2022,Florida,Leah Clapper,,,9.9500,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Chloi Clark,9.8250,,,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Bri Edwards,9.8250,,,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Riley McCusker,,9.8250,,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Nya Reed,9.9000,,,9.9500
Florida,2022,1,no meet title,Jan-07-2022,Florida,Payton Richards,,,9.8750,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Savannah Schoenherr,,9.8750,,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Megan Skaggs,9.7500,9.8500,9.8500,9.9500
Florida,2022,1,no meet title,Jan-07-2022,Florida,Halley Taylor,,,,9.5750
Florida,2022,1,no meet title,Jan-07-2022,Florida,Trinity Thomas,9.9500,9.8500,,
Florida,2022,1,no meet title,Jan-07-2022,Florida,Leanne Wong,,9.8750,9.7000,9.8000
Florida,2022,2,no meet title,Jan-16-2022,Florida,Alyssa Baumann,,,9.6250,9.7500
Florida,2022,2,no meet title,Jan-16-2022,Florida,Sloane Blakely,,9.7750,9.9250,9.7250
Florida,2022,2,no meet title,Jan-16-2022,Florida,Leah Clapper,,,9.7750,
Florida,2022,2,no meet title,Jan-16-2022,Florida,Bri Edwards,9.7750,,,
Florida,2022,2,no meet title,Jan-16-2022,Florida,Ellie Lazzari,,,9.1500,
Florida,2022,2,no meet title,Jan-16-2022,Florida,Riley McCusker,,9.7500,,
Florida,2022,2,no meet title,Jan-16-2022,Florida,Nya Reed,9.9750,,,10.0000
Florida,2022,2,no meet title,Jan-16-2022,Florida,Savannah Schoenherr,9.6250,9.8250,,
Florida,2022,2,no meet title,Jan-16-2022,Florida,Megan Skaggs,9.8750,9.8750,9.8750,9.9000
Florida,2022,2,no meet title,Jan-16-2022,Florida,Trinity Thomas,10.0000,9.7500,,10.0000
Florida,2022,2,no meet title,Jan-16-2022,Florida,Leanne Wong,9.7250,9.7500,9.9000,9.9250
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Alyssa Baumann,,,9.0750,9.8750
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Sloane Blakely,,9.8250,9.6750,9.7250
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Leah Clapper,,,9.7500,9.8000
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Chloi Clark,9.7250,,,
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Riley McCusker,,9.8000,,
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Nya Reed,9.9500,,,9.9500
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Savannah Schoenherr,9.8750,9.8000,,
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Megan Skaggs,9.8750,9.9000,9.8750,9.8750
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Halley Taylor,,,,
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Trinity Thomas,9.7250,9.9750,9.9500,
Florida,2022,3,no meet title,Jan-21-2022,Georgia,Leanne Wong,9.8250,9.9750,9.7750,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Alyssa Baumann,,,9.9250,9.8500
Florida,2022,4,no meet title,Jan-28-2022,Florida,Sloane Blakely,,9.8500,9.8750,9.8750
Florida,2022,4,no meet title,Jan-28-2022,Florida,Leah Clapper,,,9.9750,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Chloi Clark,,,,9.7500
Florida,2022,4,no meet title,Jan-28-2022,Florida,Bri Edwards,9.7500,,,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Riley McCusker,,9.9250,,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Nya Reed,9.9000,,,9.9500
Florida,2022,4,no meet title,Jan-28-2022,Florida,Savannah Schoenherr,9.9500,9.9750,,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Megan Skaggs,9.8750,9.9000,9.8750,9.7500
Florida,2022,4,no meet title,Jan-28-2022,Florida,Trinity Thomas,9.9750,9.9250,10.0000,
Florida,2022,4,no meet title,Jan-28-2022,Florida,Leanne Wong,9.8500,10.0000,9.9250,9.8500
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Alyssa Baumann,,,9.9000,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Sloane Blakely,9.6750,9.8500,9.9250,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Leah Clapper,,,9.9000,9.8500
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Chloi Clark,9.7250,,,9.8250
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Bri Edwards,9.8000,,,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Gabrielle Gallentine,,9.8500,,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Nya Reed,9.8750,,,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Payton Richards,,,,9.0000
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Savannah Schoenherr,9.9000,9.9000,,
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Megan Skaggs,,9.8750,9.9250,9.8750
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Trinity Thomas,9.9000,9.9250,9.9750,9.9500
Florida,2022,5,no meet title,Feb-04-2022,Missouri,Leanne Wong,,9.9500,9.7750,9.9500
Florida,2022,6,no meet title,Feb-11-2022,Florida,Alyssa Baumann,,,9.9000,9.9000
Florida,2022,6,no meet title,Feb-11-2022,Florida,Sloane Blakely,9.6750,8.5500,9.6000,9.9500
Florida,2022,6,no meet title,Feb-11-2022,Florida,Leah Clapper,,,9.9500,
Florida,2022,6,no meet title,Feb-11-2022,Florida,Riley McCusker,,9.8500,,
Florida,2022,6,no meet title,Feb-11-2022,Florida,Nya Reed,9.9000,,,10.0000
Florida,2022,6,no meet title,Feb-11-2022,Florida,Savannah Schoenherr,9.8750,9.9500,,
Florida,2022,6,no meet title,Feb-11-2022,Florida,Megan Skaggs,9.9000,9.8500,9.8750,9.9000
Florida,2022,6,no meet title,Feb-11-2022,Florida,Trinity Thomas,9.9750,9.9500,9.7000,9.9750
Florida,2022,6,no meet title,Feb-11-2022,Florida,Leanne Wong,9.9000,9.8500,9.9250,9.9750
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Alyssa Baumann,,,9.8500,9.8000
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Sloane Blakely,9.9250,9.8250,9.9250,9.7500
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Leah Clapper,,,9.8500,
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Riley McCusker,,9.8000,,
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Nya Reed,9.8250,,,9.9500
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Payton Richards,,,,9.7500
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Savannah Schoenherr,9.9000,9.8500,,
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Megan Skaggs,9.9000,9.8500,9.9500,
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Trinity Thomas,9.9000,9.8250,9.9750,10.0000
Florida,2022,7,no meet title,Feb-18-2022,Kentucky,Leanne Wong,9.9000,9.7250,9.8500,9.8500
Florida,2022,8,no meet title,Feb-25-2022,Florida,Alyssa Baumann,,,9.8500,9.9000
Florida,2022,8,no meet title,Feb-25-2022,Florida,Sloane Blakely,9.9250,9.9000,9.8500,9.9000
Florida,2022,8,no meet title,Feb-25-2022,Florida,Leah Clapper,,,9.8000,
Florida,2022,8,no meet title,Feb-25-2022,Florida,Riley McCusker,,9.8750,,
Florida,2022,8,no meet title,Feb-25-2022,Florida,Nya Reed,9.8500,,,9.9500
Florida,2022,8,no meet title,Feb-25-2022,Florida,Payton Richards,,,,9.8500
Florida,2022,8,no meet title,Feb-25-2022,Florida,Savannah Schoenherr,9.8500,9.9250,,
Florida,2022,8,no meet title,Feb-25-2022,Florida,Megan Skaggs,9.8500,9.9500,9.8750,9.9000
Florida,2022,8,no meet title,Feb-25-2022,Florida,Trinity Thomas,9.9250,9.9500,9.9750,10.0000
Florida,2022,8,no meet title,Feb-25-2022,Florida,Leanne Wong,9.8250,9.7250,9.9000,
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Alyssa Baumann,,,9.9000,9.9250
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Sloane Blakely,9.9500,9.9000,9.8250,10.0000
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Leah Clapper,,,9.1500,
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Riley McCusker,,9.2250,,
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Nya Reed,9.9250,,,9.9750
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Payton Richards,,,,9.9250
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Savannah Schoenherr,9.9000,9.8250,,
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Megan Skaggs,9.9500,9.9250,9.9250,9.9250
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Trinity Thomas,10.0000,9.9250,9.9750,
Florida,2022,9,no meet title,Mar-04-2022,Auburn,Leanne Wong,9.7000,9.9500,9.9500,9.9250
Florida,2022,10,no meet title,Mar-11-2022,North Carolina State,Alyssa Baumann,,,9.6500,9.8750
Florida,2022,10,no meet title,Mar-11-2022,North Carolina State,Sloane Blakely,9.9000,9.8250,9.9250,
Florida,2022,10,no meet title,Mar-11-2022,North Carolina State,Leah Clapper,,,9.6250,9.6500
