team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Deja Chambliss,9.8750,9.7250,9.1250,9.9000
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Hannah Cohen,,,9.8500,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Cydney Crasa,9.6750,,,9.2500
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Nora  Houseman,9.6500,,,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Rachel Kaplan,,,,9.8250
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Katya Karpova,,,9.4500,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Hannah Munnelly,9.6250,8.7000,,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Olivia Raymond,,9.5500,,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Anneliese Silverman,,8.7750,8.8250,
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Anna Warhol,9.8250,9.7250,,9.7750
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Kendall Whitman,9.8750,,9.8000,9.9500
George Washington,2021,1,no meet title,Feb-12-2021,Towson,Olivia Zona,,9.6500,9.7000,9.0500
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Deja Chambliss,,9.8000,,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Hannah Cohen,,,9.7500,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Cydney Crasa,,,,9.7500
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Nora  Houseman,9.5750,,,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Rachel Kaplan,,,,9.6500
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Katya Karpova,,,9.1250,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Payton Lynch,,,,9.0500
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Hannah Munnelly,9.7500,9.7500,,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Olivia Norman,9.2000,,,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Olivia Raymond,,9.6500,,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Katherine Shek,9.7500,,9.7000,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Anneliese Silverman,,9.7500,9.6000,
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Anna Warhol,9.7500,9.7000,,9.7250
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Kendall Whitman,9.7500,,9.5500,9.6750
George Washington,2021,2,no meet title,Feb-19-2021,North Carolina State,Olivia Zona,,9.7000,8.9000,9.8000
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Deja Chambliss,9.9000,9.8500,9.6750,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Hannah Cohen,,,9.8250,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Cydney Crasa,9.7500,,,9.8750
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Rachel Kaplan,,9.3750,,9.7750
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Katya Karpova,,,,9.1500
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Hannah Munnelly,9.6750,9.7500,,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Olivia Raymond,,9.8000,,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Katherine Shek,9.7750,,9.7000,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Anneliese Silverman,,,9.7750,
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Anna Warhol,9.6500,9.8000,,9.7500
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Kendall Whitman,9.8250,,9.8000,9.8000
George Washington,2021,3,no meet title,Mar-05-2021,Temple,Olivia Zona,,9.7250,9.5750,9.8750
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Deja Chambliss,9.8750,9.8000,9.7750,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Hannah Cohen,,,9.8750,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Cydney Crasa,9.7750,,,9.8250
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Rachel Kaplan,,9.8500,,9.7750
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Payton Lynch,,,,9.7750
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Hannah Munnelly,9.6000,9.7500,,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Olivia Raymond,,9.7750,,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Katherine Shek,9.2000,,9.7750,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Anneliese Silverman,,,9.7250,
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Anna Warhol,9.7500,9.4000,,9.7500
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Kendall Whitman,9.8500,,9.8250,9.6000
George Washington,2021,4,no meet title,Mar-07-2021,George Washington,Olivia Zona,,9.7500,9.7500,9.7750
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Deja Chambliss,9.8500,9.7000,9.2000,9.8000
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Hannah Cohen,,,9.8000,
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Cydney Crasa,9.7000,,,9.8500
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Rachel Kaplan,,,,9.7250
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Hannah Munnelly,9.7250,9.8000,,
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Olivia Raymond,,9.7750,,
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Katherine Shek,9.6750,,9.8250,
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Anneliese Silverman,,9.8250,9.8250,
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Anna Warhol,9.8000,9.7750,,9.8500
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Kendall Whitman,9.7750,,9.7750,9.9000
George Washington,2021,5,EAGL Conference,Mar-20-2021,Pittsburgh,Olivia Zona,,9.5000,9.6250,9.8250
George Washington,2021,6,Utah Regional 2,Apr-02-2021,,Deja Chambliss,9.8250,,,
