team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Vivi Babalis,,,9.7500,9.8250
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Mary Beth Box,,,9.8000,9.9000
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Ashlyn Broussard,9.7500,,8.9000,
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Gracie  Cherrey,,9.7500,9.5000,
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Brandie Jay,9.8000,9.8250,,9.2250
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,GiGi Marino,9.3000,,,9.8750
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Brittany Rogers,9.7000,9.8750,9.8000,9.7250
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Rachel Schick,,9.2500,9.1500,
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Sydney Snead,9.8750,9.9000,,9.8250
Georgia,2016,1,no meet title,Jan-09-2016,Michigan,Natalie Vaculik,9.8000,9.7750,,
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Vivi Babalis,,,9.6250,9.7250
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Mary Beth Box,,,9.8750,9.8500
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Ashlyn Broussard,9.8250,,9.8750,
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Gracie  Cherrey,,9.8000,9.2250,
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Brandie Jay,9.9500,9.8250,,9.8750
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,GiGi Marino,9.8750,,,9.8500
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Brittany Rogers,9.8750,9.9000,9.9000,9.7500
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Rachel Schick,,9.8250,9.8250,
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Sydney Snead,9.8500,9.2000,,9.7750
Georgia,2016,2,no meet title,Jan-15-2016,Arkansas,Natalie Vaculik,9.8250,9.8500,,
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Vivi Babalis,,,9.8000,9.7750
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Mary Beth Box,,,9.3750,9.9000
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Ashlyn Broussard,9.8500,,9.8000,
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Gracie  Cherrey,,9.7250,9.2250,
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Brandie Jay,9.9750,9.9000,,9.8250
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,GiGi Marino,9.9000,,,9.9000
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Brittany Rogers,9.9500,9.9250,9.2750,9.8250
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Rachel Schick,,9.8750,9.3500,
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Sydney Snead,9.8250,9.8250,,9.8500
Georgia,2016,3,no meet title,Jan-18-2016,Georgia,Natalie Vaculik,9.7750,9.8250,,
Georgia,2016,4,Pink Out,Jan-22-2016,Missouri,Vivi Babalis,,,9.0750,9.7250
Georgia,2016,4,Pink Out,Jan-22-2016,Missouri,Mary Beth Box,,,9.8750,9.9000
Georgia,2016,4,Pink Out,Jan-22-2016,Missouri,Ashlyn Broussard,9.8250,,9.1500,
Georgia,2016,4,Pink Out,Jan-22-2016,Missouri,Gracie  Cherrey,,9.7500,,
