team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Sienna Blake,,8.4500,,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Madison Carter,9.2250,8.9000,,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Isabella Feltman,9.3000,,8.6500,8.3500
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Ellery Gilmer,,,8.8000,9.6500
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Audra Kaiser,,,,9.5000
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Ashlie Leage,9.4750,9.6500,9.4250,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Rachel Miller,9.4000,,,9.7500
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Amara Nelson,9.5250,9.4750,9.4500,9.5500
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Reagan Rodriguez,,8.4500,,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Alessia Russo,,7.7000,,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Elli Schnieders,9.2250,,,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Doree Shelton,,,8.9500,
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Taylor Templin,,,,9.6250
Greenville,2024,1,no meet title,Jan-12-2024,Illinois State,Olivia Tocco,,,9.0500,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Sienna Blake,,9.2250,,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Madison Carter,9.3250,8.4000,,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Isabella Feltman,9.5750,,9.3500,9.3250
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Ellery Gilmer,,,8.6000,9.7000
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Audra Kaiser,,,,9.3500
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Ashlie Leage,9.4750,9.4000,8.9500,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Rachel Miller,9.4000,,,9.4500
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Amara Nelson,8.8500,9.3250,9.8000,8.0250
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Reagan Rodriguez,,7.9750,,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Alessia Russo,,8.3000,,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Elli Schnieders,9.3000,,,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Doree Shelton,,,9.7000,
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Taylor Templin,,,,9.6500
Greenville,2024,2,no meet title,Jan-14-2024,Lindenwood,Olivia Tocco,,,9.6000,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Sienna Blake,,8.9750,,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Madison Carter,,8.3500,,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Isabella Feltman,9.0250,,9.4500,9.2500
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Molly Froman,,,8.6500,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Ellery Gilmer,,,,9.4750
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Audra Kaiser,,,,9.2500
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Ashlie Leage,9.5250,9.5750,8.9500,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Rachel Miller,9.4750,,,9.7250
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Amara Nelson,9.5750,9.2750,9.7250,9.2000
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Reagan Rodriguez,,8.4000,,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Alessia Russo,,8.9250,9.6500,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Elli Schnieders,9.3500,,,
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Taylor Templin,,,,9.6750
Greenville,2024,3,no meet title,Jan-20-2024,Simpson,Olivia Tocco,8.8750,,9.4750,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Sienna Blake,,8.9750,,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Madison Carter,9.0000,8.9000,,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Isabella Feltman,9.0500,,,9.1250
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Molly Froman,,,8.1500,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Ellery Gilmer,,,8.4500,9.6000
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Audra Kaiser,,,,9.2000
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Ashlie Leage,9.2750,9.2000,9.6500,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Rachel Miller,9.4250,,,9.4500
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Amara Nelson,9.6500,9.2750,9.5500,8.7500
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Reagan Rodriguez,,8.5000,,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Alessia Russo,,6.5500,9.5500,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Elli Schnieders,9.2250,,,
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Taylor Templin,,,,9.5500
Greenville,2024,4,no meet title,Jan-27-2024,Greenville,Olivia Tocco,,,9.1500,
Greenville,2024,5,no meet title,Feb-02-2024,UW-La Crosse,Sienna Blake,,9.3500,,
Greenville,2024,5,no meet title,Feb-02-2024,UW-La Crosse,Madison Carter,,8.5500,,
Greenville,2024,5,no meet title,Feb-02-2024,UW-La Crosse,Isabella Feltman,9.4250,,9.6000,8.9250
Greenville,2024,5,no meet title,Feb-02-2024,UW-La Crosse,Ellery Gilmer,,,,9.6000
