team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Katy Cash,9.0500,8.4750,,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Annie Corbett,,8.7000,9.0250,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Emma Esteb,,,8.6000,9.3250
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Annie Gladistch,,,8.0250,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Caylee Greeder,,,,8.3000
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Brooke Merila,,8.5000,,9.3250
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Sophia Nelson,9.2500,,,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Sophia Redding,,8.0500,8.2500,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Kendra Smaby,,8.7000,9.2000,8.4500
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Lauren Smith,9.1750,,,8.1250
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Alyssa Teper,9.2750,,,
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,Abby Willis,9.4250,8.8500,,9.1500
Gustavus Adolphus,2021,1,no meet title,Feb-26-2021,Gustavus Adolphus,McKenna Zelenka,,,7.7250,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Katy Cash,8.5250,8.4250,,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Annie Corbett,9.3250,8.8000,9.2500,8.9750
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Emma Esteb,9.2500,,8.6000,9.2000
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Annie Gladistch,,,7.9750,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Caylee Greeder,,,,8.4000
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Brooke Merila,,7.1750,,9.1000
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Sophia Nelson,9.1250,,,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Sophia Redding,,8.2250,8.0250,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Kendra Smaby,,9.0750,8.4750,
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Alyssa Teper,9.0500,,,9.0750
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,Abby Willis,9.4000,8.6750,,9.3000
Gustavus Adolphus,2021,2,no meet title,Mar-12-2021,Gustavus Adolphus,McKenna Zelenka,,,7.8000,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Katy Cash,,8.5000,,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Annie Corbett,9.5000,9.3750,9.1250,9.4500
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Emma Esteb,9.3250,,9.2000,9.3000
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Annie Gladistch,,,8.9500,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Jenna Griffith,,,,9.3000
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Brooke Merila,9.1500,8.9750,8.8250,9.3750
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Sophia Nelson,9.1000,,,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Sophia Redding,,9.0500,8.9500,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Kendra Smaby,,8.5250,9.2750,
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Alyssa Teper,9.2250,,,8.4000
Gustavus Adolphus,2021,3,no meet title,Mar-18-2021,UW-Eau Claire,Abby Willis,9.2500,9.1250,,9.3000
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Shae Anderson,,,,
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Katy Cash,9.2500,8.5000,8.3500,
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Annie Corbett,9.3750,9.1750,9.3750,9.4500
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Emma Esteb,9.2250,,9.3500,9.2500
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Annie Gladistch,,,8.8000,
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Jenna Griffith,,,,9.3000
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Brooke Merila,9.1250,8.2500,8.7500,9.3750
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Sophia Redding,,7.5500,,
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Kendra Smaby,,7.3000,8.6500,
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Alyssa Teper,9.1250,,,8.8750
Gustavus Adolphus,2021,4,no meet title,Apr-01-2021,Winona State,Abby Willis,9.1750,8.9000,,9.1750
