team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Caitlin Cooper,9.1750,8.0500,,9.2000
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Bailee Davis,9.3000,,,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Lydia Ingram,,8.8250,9.3250,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Danielle Jaworski,9.0000,,,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Nikki Johnsen,9.2250,6.8250,9.2500,8.9250
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Katie Kalland,,,8.7250,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Mary Kelly,,8.7000,,8.2750
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Madison Lieurance,,,8.6500,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Tisana Lowe,9.3250,,,9.5500
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Emma Patterson,,8.7500,,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Carolina Schlawiedt,,9.1000,,
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Madeline Sowinski,9.0250,,9.4500,8.1250
Hamline,2020,1,no meet title,Jan-10-2020,Hamline,Katie Viles,,,9.5250,9.1500
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Caitlin Cooper,9.4250,,,9.1250
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Bailee Davis,9.3250,,8.6500,8.6250
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Lydia Ingram,,9.0500,9.1250,
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Danielle Jaworski,9.1500,,,
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Katie Kalland,,,8.9000,
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Mary Kelly,,9.1750,,9.1500
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Madison Lieurance,9.1000,,9.0000,
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Tisana Lowe,8.8500,,,9.2250
Hamline,2020,2,no meet title,Jan-18-2020,Hamline,Emma Patterson,,8.8750,,
