team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Nirel Bart-Williams,9.6250,9.6000,9.6500,9.7000
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Leah Davis,,,9.5000,
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Kaitlyn Donovan,9.7000,,,9.6000
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Julia Heiner,,9.6750,,
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Madison Kipp,,,9.8500,
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Angelica Labat,9.6250,9.8250,9.6500,9.7750
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Alana Laster,9.7000,,,
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Jaye Mack,9.7250,9.6250,8.9000,9.7500
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Mya Robinson,9.6500,9.6500,,9.3000
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Sara Wabi,,8.7000,,9.6500
Illinois State,2023,1,no meet title,Jan-08-2023,Western Michigan,Joy Ziegenfelder,,,8.9250,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Nirel Bart-Williams,9.8250,9.1000,9.7250,9.8500
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Leah Davis,,,9.6750,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Kaitlyn Donovan,9.6750,,,9.8500
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Mackenzie Flutman,,,9.5750,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,J'Chelle Heard,9.0750,,,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Julia Heiner,,9.8500,,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Madison Kipp,,9.7000,9.7500,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Angelica Labat,9.8250,9.8250,9.2750,9.7500
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Alana Laster,9.7750,,,9.7750
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Jaye Mack,9.8000,,,9.8750
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Mya Robinson,,8.4000,,
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Sara Wabi,,9.2250,,9.8000
Illinois State,2023,2,no meet title,Jan-13-2023,Illinois State,Joy Ziegenfelder,,,9.6500,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Nirel Bart-Williams,9.8250,9.1500,9.7750,9.8250
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Leah Davis,,,9.0000,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Kaitlyn Donovan,9.3000,,,9.6750
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Mackenzie Flutman,,,9.6250,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Carly Hawksworth,,9.5000,,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,J'Chelle Heard,9.5250,,,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Julia Heiner,,9.6250,,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Madison Kipp,,9.6250,9.8000,
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Angelica Labat,9.8000,9.7000,9.3250,9.6500
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Alana Laster,9.7250,,,9.7250
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Jaye Mack,9.8250,,,9.8500
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Sara Wabi,,9.7500,,9.8250
Illinois State,2023,3,no meet title,Jan-15-2023,Illinois State,Joy Ziegenfelder,,,9.5500,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Nirel Bart-Williams,9.8250,9.6750,9.7250,9.7750
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Leah Davis,,,9.7250,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Isabella Decroo,,,,9.0250
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Kaitlyn Donovan,9.7500,,,9.6750
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Mackenzie Flutman,,,8.7750,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Carly Hawksworth,,8.7250,,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Julia Heiner,,9.6500,,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Madison Kipp,,9.6500,9.7000,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Angelica Labat,9.0500,9.7750,9.8000,9.7500
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Alana Laster,9.7500,9.7000,,9.7250
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Jaye Mack,9.7000,,,9.8250
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Mia Oh,9.7000,,,
Illinois State,2023,4,no meet title,Jan-21-2023,Greenville,Joy Ziegenfelder,,,9.7500,
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Nirel Bart-Williams,9.0750,9.8000,9.7750,9.8000
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Leah Davis,,,9.5000,
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Isabella Decroo,9.6250,,,9.1500
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Kaitlyn Donovan,9.6500,,9.1000,9.8000
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Carly Hawksworth,,9.8000,,
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Madison Kipp,,9.7250,9.8500,
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Angelica Labat,9.7000,9.8500,9.4500,9.8250
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Alana Laster,9.7250,9.7000,,9.8250
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Mia Oh,9.3750,,,
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Sara Wabi,,9.7500,,9.8250
Illinois State,2023,5,no meet title,Jan-27-2023,Illinois State,Joy Ziegenfelder,,,9.6250,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Nirel Bart-Williams,9.6250,9.1750,9.5750,9.9250
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Leah Davis,,,9.7500,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Isabella Decroo,9.6750,,,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Kaitlyn Donovan,9.7250,,,9.8000
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Carly Hawksworth,,9.7500,,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Madison Kipp,,9.7000,9.6500,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Angelica Labat,9.8250,9.7750,9.7250,9.8500
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Alana Laster,9.8500,9.7250,,9.8750
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Mia Oh,9.6000,,9.0000,
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Sara Wabi,,9.7250,,9.5500
Illinois State,2023,6,no meet title,Jan-29-2023,Northern Illinois,Joy Ziegenfelder,,,9.0500,9.7750
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Nirel Bart-Williams,9.8250,9.7500,9.7750,9.7500
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Leah Davis,,,8.9000,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Isabella Decroo,9.6500,,,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Kaitlyn Donovan,9.6250,,,9.8000
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Mackenzie Flutman,,,9.4500,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Carly Hawksworth,,9.5250,,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Julia Heiner,,9.8500,,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Madison Kipp,,9.6500,9.8000,
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Angelica Labat,9.5000,9.8750,9.8500,9.9000
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Alana Laster,9.6500,9.7750,9.7250,9.7750
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Jaye Mack,9.7750,,,9.8750
Illinois State,2023,7,no meet title,Feb-03-2023,Illinois State,Sara Wabi,,,,9.8250
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Nirel Bart-Williams,9.2500,9.7750,9.8500,9.9000
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Leah Davis,,,9.7750,
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Kaitlyn Donovan,9.7500,,,9.7750
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Carly Hawksworth,,9.6250,,
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,J'Chelle Heard,9.8000,,,
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Julia Heiner,,9.7500,,
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Madison Kipp,,9.7750,9.7250,
Illinois State,2023,8,Metroplex Challenge,Feb-11-2023,,Angelica Labat,9.8250,9.8500,9.7500,9.5250
