team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Rae Balthazor,9.7500,9.8750,9.8750,
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Nicole Biondi,9.1750,9.8000,9.7500,9.5500
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Rachael Donovan,,9.8250,,9.6000
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Lindsay Dwyer,,9.8000,,
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Jordyn Givens,9.7750,9.7250,,8.9750
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Bridget Hodan,9.8000,,9.8750,9.6000
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Karen Howell,,9.8750,9.8500,9.8000
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Kasey Meeks,9.8250,,,
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Kylie Noonan,,,9.0750,
Illinois,2018,1,no meet title,Jan-13-2018,Rutgers,Haylee Roe,9.6500,,9.7750,9.4500
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Rae Balthazor,9.7250,9.8250,9.6750,9.8750
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Nicole Biondi,9.7750,9.7750,9.7250,9.6500
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Rachael Donovan,,8.8750,,
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Lindsay Dwyer,,9.7000,,
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Jordyn Givens,9.7250,9.6000,,9.1250
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Bridget Hodan,9.7500,,9.9000,9.7250
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Karen Howell,,8.6500,9.7500,9.8000
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Kasey Meeks,9.8500,,,
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Kylie Noonan,,,9.7250,
Illinois,2018,2,no meet title,Jan-19-2018,Illinois,Haylee Roe,9.7500,,9.8000,9.7500
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Rae Balthazor,9.7750,9.7750,8.6000,9.8000
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Nicole Biondi,9.7250,9.7500,9.8500,9.7750
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Rachael Donovan,,9.7750,,
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Lindsay Dwyer,,9.7000,,
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Jordyn Givens,9.7250,9.8000,,9.7000
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Bridget Hodan,9.7500,,9.8750,9.8000
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Karen Howell,,9.8000,9.8250,7.1500
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Kasey Meeks,9.7750,,,
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Kylie Noonan,,,9.8000,
Illinois,2018,3,no meet title,Jan-27-2018,Penn State,Haylee Roe,9.6500,,9.8500,9.8250
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Rae Balthazor,9.7500,9.9000,9.8000,9.7500
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Nicole Biondi,9.7500,9.9000,9.8500,9.8250
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Rachael Donovan,,9.3500,,
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Lindsay Dwyer,,9.7500,,
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Jordyn Givens,9.7750,9.8250,,
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Bridget Hodan,9.8250,,9.2500,9.7750
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Karen Howell,,9.8250,9.3000,9.8000
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Kasey Meeks,9.8500,,,
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Kylie Noonan,,,9.2500,9.8500
Illinois,2018,4,no meet title,Feb-02-2018,Illinois,Haylee Roe,9.7750,,9.8250,9.8750
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Rae Balthazor,9.7500,8.1750,9.7250,9.7500
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Nicole Biondi,9.7500,9.8500,9.6250,9.7750
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Lindsay Dwyer,,9.7750,,
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Jordyn Givens,9.7750,9.8000,,
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Bridget Hodan,9.8000,,9.9000,9.7500
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Karen Howell,,9.2000,9.8500,9.6750
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Julia  Hutcherson,,,9.1250,
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Sarah Lyons,,9.8500,,
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Kasey Meeks,9.8250,,,
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Kylie Noonan,,,,9.7750
Illinois,2018,5,no meet title,Feb-09-2018,Minnesota,Haylee Roe,9.7000,,9.8000,9.7750
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Rae Balthazor,9.8250,9.8250,9.7750,9.5500
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Nicole Biondi,9.8250,9.7750,9.7000,9.7750
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Rachael Donovan,,9.1250,,
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Jordyn Givens,9.7750,9.8000,,
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Bridget Hodan,9.8000,,9.9250,9.8000
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Karen Howell,,9.8250,9.9000,9.8250
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Sarah Lyons,,9.7500,,
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Kasey Meeks,9.8500,,,
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Kylie Noonan,,,9.8250,9.8250
Illinois,2018,6,no meet title,Feb-17-2018,Michigan State,Haylee Roe,9.6250,,9.8750,9.7750
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Rae Balthazor,9.7250,9.8750,9.1750,8.8250
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Nicole Biondi,9.6750,9.7750,9.8000,9.7750
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Lindsay Dwyer,,9.8250,,
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Jordyn Givens,9.7750,9.8500,,
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Bridget Hodan,9.8000,,8.9500,9.8750
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Karen Howell,,9.9000,9.6500,9.8500
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Sarah Lyons,,9.7750,,
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Kasey Meeks,9.6500,,,
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Kylie Noonan,,,9.8250,9.7750
Illinois,2018,7,no meet title,Feb-25-2018,Illinois,Haylee Roe,9.7250,,9.8500,9.9000
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Rae Balthazor,9.7500,9.9000,9.8250,9.8500
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Nicole Biondi,9.6250,9.8000,9.8000,9.8000
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Lindsay Dwyer,,9.8250,,
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Jordyn Givens,9.7250,9.8250,,
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Bridget Hodan,9.7500,,9.8750,9.8000
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Karen Howell,,9.8250,9.8500,9.5750
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Sarah Lyons,,9.2750,,
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Kasey Meeks,9.7000,,,
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Kylie Noonan,,,9.8500,9.7250
Illinois,2018,8,Elevate the Stage,Mar-02-2018,,Haylee Roe,9.6250,,9.8250,9.7750
Illinois,2018,9,no meet title,Mar-04-2018,Illinois,Rae Balthazor,9.8000,9.9500,9.8000,9.8000
