team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Caitlin Brown,9.7750,9.7750,9.7750,9.7250
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Hilary Green,,9.7500,,9.7500
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Allie Hansen,9.4750,,9.5750,9.3750
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Briana Ledesma,9.5500,9.6000,,
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Alex Marasco,9.5750,,9.7750,
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Kelsey Paz,9.6500,9.6750,9.6500,9.5250
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Samantha Pearsall,,9.6750,,
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Lark Pokladnik,,,9.5750,9.5250
Iowa State,2015,1,no meet title,Jan-10-2015,Minnesota,Haylee Young,9.7500,9.6000,9.2500,9.8250
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Caitlin Brown,9.8250,9.8000,9.9500,9.8000
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Hilary Green,,9.8250,,9.7000
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Allie Hansen,,,9.8250,9.7250
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Briana Ledesma,9.6750,9.4000,,
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Alex Marasco,9.8000,,9.7000,
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Micole O'dell,9.7750,,,
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Kelsey Paz,9.7000,9.6750,9.8000,9.7750
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Samantha Pearsall,,9.7000,9.9500,
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Lark Pokladnik,,,,9.5500
Iowa State,2015,2,no meet title,Jan-18-2015,Iowa State,Haylee Young,9.8250,9.7500,9.9000,9.8500
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Caitlin Brown,9.8000,9.7500,9.9000,9.8500
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Kristen DeCosta,,,,9.7500
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Hilary Green,,9.8000,,9.7250
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Briana Ledesma,9.4250,9.7500,,
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Alex Marasco,9.8000,,9.8250,
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Micole O'dell,9.2250,,,
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Kelsey Paz,9.7500,9.7750,9.4250,9.7250
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Samantha Pearsall,,9.7250,8.8500,
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Lark Pokladnik,,,9.6000,9.7250
Iowa State,2015,3,no meet title,Jan-25-2015,West Virginia,Haylee Young,9.8250,9.7250,9.7500,9.9000
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Caitlin Brown,9.6750,9.8250,9.8750,9.7500
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Kristen DeCosta,,,,9.6500
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Hilary Green,,8.9000,,9.6750
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Allie Hansen,,,9.0500,
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Briana Ledesma,9.7000,9.8250,,
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Alex Marasco,9.6750,,9.7750,
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Courtney Middelkoop,,9.7250,,
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Micole O'dell,9.5750,,,
Iowa State,2015,4,Metroplex Challenge,Jan-31-2015,,Kelsey Paz,9.6500,,9.6750,9.0250
